Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='44', number='21967861', date=null, t1=0.000, t2=0.000, t3=0.002, total=0.002]
Counter[flat='45', number='21666907', date=null, t1=0.000, t2=0.000, t3=0.009, total=0.009]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.049, total=0.049]
Counter[flat='19', number='21967946', date=null, t1=0.149, t2=0.000, t3=0.825, total=0.974]
Counter[flat='101', number='21967802', date=null, t1=3.482, t2=1.478, t3=4.664, total=9.624]
Counter[flat='12', number='21948923', date=null, t1=5.516, t2=6.761, t3=7.032, total=19.309]
Counter[flat='20', number='21968040', date=null, t1=14.165, t2=8.152, t3=14.920, total=37.237]
Counter[flat='5', number='21712960', date=null, t1=10.684, t2=11.505, t3=15.156, total=37.345]
Counter[flat='58', number='21967732', date=null, t1=11.469, t2=13.484, t3=15.119, total=40.072]
Counter[flat='107', number='21971375', date=null, t1=13.500, t2=17.217, t3=16.850, total=47.567]
Counter[flat='111', number='21949373', date=null, t1=16.899, t2=12.206, t3=18.943, total=48.048]
Counter[flat='73', number='21967479', date=null, t1=15.113, t2=16.928, t3=19.652, total=51.693]
Counter[flat='108', number='21968246', date=null, t1=11.173, t2=0.000, t3=44.779, total=55.952]
Counter[flat='135', number='21967542', date=null, t1=17.723, t2=15.762, t3=24.226, total=57.711]
Counter[flat='140', number='21967475', date=null, t1=16.062, t2=16.943, t3=25.296, total=58.301]
Counter[flat='27', number='21666500', date=null, t1=20.614, t2=13.701, t3=26.521, total=60.836]
Counter[flat='65', number='21968139', date=null, t1=23.613, t2=15.303, t3=22.955, total=61.871]
Counter[flat='143', number='21967509', date=null, t1=16.597, t2=20.340, t3=24.974, total=61.911]
Counter[flat='116', number='21968082', date=null, t1=20.489, t2=16.969, t3=26.994, total=64.452]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='41', number='21666577', date=null, t1=21.042, t2=19.080, t3=25.493, total=65.615]
