Counter[flat='139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='17', number='21968056', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='60', number='21967979', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.016, total=0.016]
Counter[flat='19', number='21967946', date=null, t1=0.220, t2=0.003, t3=0.724, total=0.947]
Counter[flat='102', number='21968242', date=null, t1=7.228, t2=8.303, t3=8.845, total=24.376]
Counter[flat='108', number='21968246', date=null, t1=4.504, t2=0.000, t3=24.351, total=28.855]
Counter[flat='143', number='21967509', date=null, t1=9.130, t2=10.466, t3=11.719, total=31.315]
Counter[flat='72', number='21967501', date=null, t1=10.122, t2=11.323, t3=12.972, total=34.417]
Counter[flat='69', number='21967567', date=null, t1=10.557, t2=14.306, t3=14.624, total=39.487]
Counter[flat='45', number='21666907', date=null, t1=14.727, t2=14.537, t3=14.672, total=43.936]
Counter[flat='64', number='21968468', date=null, t1=13.400, t2=2.529, t3=28.880, total=44.809]
Counter[flat='94', number='21967987', date=null, t1=17.200, t2=11.923, t3=16.140, total=45.263]
Counter[flat='5', number='21712960', date=null, t1=16.957, t2=13.351, t3=18.651, total=48.959]
Counter[flat='111', number='21949373', date=null, t1=14.794, t2=13.879, t3=20.607, total=49.280]
Counter[flat='75', number='21968458', date=null, t1=20.059, t2=14.245, t3=20.434, total=54.738]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=15.000, t3=25.000, total=60.000]
Counter[flat='110', number='21949389', date=null, t1=22.605, t2=15.611, t3=21.901, total=60.117]
Counter[flat='65', number='21968139', date=null, t1=22.603, t2=17.017, t3=22.735, total=62.355]
Counter[flat='41', number='21666577', date=null, t1=18.131, t2=17.397, t3=28.702, total=64.230]
Counter[flat='68', number='21967522', date=null, t1=18.744, t2=20.374, t3=25.350, total=64.468]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='48', number='21968079', date=null, t1=19.333, t2=22.194, t3=24.414, total=65.941]
Counter[flat='38', number='21666552', date=null, t1=21.081, t2=18.587, t3=31.467, total=71.135]
Counter[flat='71', number='21967505', date=null, t1=19.293, t2=20.190, t3=32.615, total=72.098]
Counter[flat='76', number='21968202', date=null, t1=26.958, t2=13.478, t3=32.084, total=72.520]
Counter[flat='8', number='21967610', date=null, t1=22.122, t2=20.058, t3=32.262, total=74.442]
Counter[flat='107', number='21971375', date=null, t1=19.584, t2=26.842, t3=28.817, total=75.243]
Counter[flat='140', number='21967475', date=null, t1=22.792, t2=19.890, t3=34.601, total=77.283]
Counter[flat='124', number='21949405', date=null, t1=24.262, t2=21.678, t3=32.689, total=78.629]
Counter[flat='116', number='21968082', date=null, t1=20.610, t2=26.797, t3=33.874, total=81.281]
