Counter[flat='Квартира №78', number='40628580', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.002, total=0.002]
Counter[flat='Квартира №97', number='21967959', date=null, t1=2.311, t2=0.811, t3=5.561, total=8.683]
Counter[flat='Квартира №59', number='21968016', date=null, t1=3.761, t2=3.814, t3=9.266, total=16.841]
Counter[flat='Квартира №108', number='21968246', date=null, t1=3.239, t2=0.000, t3=15.344, total=18.583]
Counter[flat='Квартира №102', number='21968242', date=null, t1=7.445, t2=8.518, t3=9.556, total=25.519]
Counter[flat='Квартира №88', number='21967504', date=null, t1=9.524, t2=6.587, t3=9.608, total=25.719]
Counter[flat='Квартира №28', number='21666499', date=null, t1=13.744, t2=2.531, t3=11.726, total=28.001]
Counter[flat='Квартира №63', number='21968441', date=null, t1=9.411, t2=10.330, t3=11.406, total=31.147]
Counter[flat='Квартира №5', number='21712960', date=null, t1=9.504, t2=10.683, t3=11.972, total=32.159]
Counter[flat='Квартира №36', number='21712963', date=null, t1=9.362, t2=10.938, t3=12.091, total=32.391]
Counter[flat='Квартира №8', number='21967610', date=null, t1=9.218, t2=11.083, t3=12.899, total=33.200]
Counter[flat='Квартира №100', number='21967497', date=null, t1=10.300, t2=11.498, t3=12.904, total=34.702]
Counter[flat='Квартира №27', number='21666500', date=null, t1=10.735, t2=12.346, t3=13.833, total=36.914]
Counter[flat='Квартира №84', number='21967477', date=null, t1=11.446, t2=13.020, t3=14.489, total=38.955]
Counter[flat='Квартира №35', number='21948913', date=null, t1=8.491, t2=17.328, t3=13.979, total=39.798]
Counter[flat='Квартира №94', number='21967987', date=null, t1=13.130, t2=11.889, t3=16.995, total=42.014]
Counter[flat='Квартира №99', number='21968207', date=null, t1=13.649, t2=16.472, t3=19.718, total=49.839]
Counter[flat='Квартира №45', number='21666907', date=null, t1=11.550, t2=18.347, t3=21.029, total=50.926]
Counter[flat='Квартира №135', number='21967542', date=null, t1=14.749, t2=18.022, t3=19.569, total=52.340]
Counter[flat='Квартира №15', number='21666510', date=null, t1=16.212, t2=16.772, t3=21.044, total=54.028]
Counter[flat='Квартира №24', number='21968031', date=null, t1=20.162, t2=17.485, t3=22.271, total=59.918]
Counter[flat='Квартира №62', number='21971329', date=null, t1=15.606, t2=21.471, t3=24.035, total=61.112]
Counter[flat='Квартира №81', number='21967486', date=null, t1=19.252, t2=18.751, t3=24.490, total=62.493]
Counter[flat='Квартира №107', number='21971375', date=null, t1=14.570, t2=26.540, t3=22.706, total=63.816]
Counter[flat='Квартира №75', number='21968458', date=null, t1=20.115, t2=14.935, t3=29.928, total=64.978]
Counter[flat='Квартира №65', number='21968139', date=null, t1=23.682, t2=17.417, t3=24.173, total=65.272]
Counter[flat='Квартира №119', number='21967973', date=null, t1=17.306, t2=21.412, t3=26.643, total=65.361]
Counter[flat='Квартира №17', number='21968056', date=null, t1=21.433, t2=16.142, t3=30.038, total=67.613]
Counter[flat='Квартира №11', number='21949329', date=null, t1=13.265, t2=25.809, t3=28.913, total=67.987]
Counter[flat='Квартира №23', number='21967854', date=null, t1=23.626, t2=12.558, t3=32.227, total=68.411]
Counter[flat='Квартира №9', number='21948896', date=null, t1=23.141, t2=18.310, t3=27.982, total=69.433]
Counter[flat='Квартира №124', number='21949405', date=null, t1=21.630, t2=22.814, t3=28.242, total=72.686]
Counter[flat='Квартира №103', number='21971417', date=null, t1=25.632, t2=21.180, t3=27.552, total=74.364]
Counter[flat='Квартира №105', number='21971386', date=null, t1=27.417, t2=15.062, t3=32.157, total=74.636]
Counter[flat='Квартира №83', number='21968203', date=null, t1=18.759, t2=22.546, t3=34.557, total=75.862]
Counter[flat='Квартира №122', number='21949370', date=null, t1=33.847, t2=14.387, t3=28.840, total=77.074]
Counter[flat='Квартира №71', number='21967505', date=null, t1=23.535, t2=19.713, t3=34.590, total=77.838]
Counter[flat='Квартира №86', number='21967885', date=null, t1=28.289, t2=18.262, t3=32.995, total=79.546]
Counter[flat='Квартира №92', number='21967967', date=null, t1=30.269, t2=20.550, t3=28.873, total=79.692]
Counter[flat='Квартира №51', number='21666920', date=null, t1=29.896, t2=15.681, t3=34.458, total=80.035]
Counter[flat='Квартира №140', number='21967475', date=null, t1=25.357, t2=18.599, t3=36.918, total=80.874]
Counter[flat='Квартира №91', number='21968076', date=null, t1=23.576, t2=29.526, t3=28.939, total=82.041]
Counter[flat='Квартира №87', number='21967753', date=null, t1=25.366, t2=20.173, t3=38.955, total=84.494]
Counter[flat='Квартира №3', number='21967585', date=null, t1=31.818, t2=23.549, t3=30.793, total=86.160]
Counter[flat='Квартира №136', number='21967551', date=null, t1=32.958, t2=18.066, t3=36.513, total=87.537]
Counter[flat='Квартира №29', number='21667085', date=null, t1=27.817, t2=16.567, t3=44.757, total=89.141]
Counter[flat='Квартира №30', number='21667094', date=null, t1=30.689, t2=21.133, t3=37.433, total=89.255]
Counter[flat='Квартира №26', number='21666497', date=null, t1=27.025, t2=29.717, t3=32.659, total=89.401]
Counter[flat='Квартира №93', number='21967981', date=null, t1=27.977, t2=26.258, t3=35.713, total=89.948]
Counter[flat='Квартира №70', number='21967516', date=null, t1=21.386, t2=34.876, t3=33.792, total=90.054]
Counter[flat='Квартира №54', number='21666917', date=null, t1=33.128, t2=24.406, t3=40.459, total=97.993]
Counter[flat='Квартира №132', number='21967848', date=null, t1=29.971, t2=31.190, t3=36.902, total=98.063]
Counter[flat='Квартира №20', number='21968040', date=null, t1=34.764, t2=23.382, t3=39.925, total=98.071]
Counter[flat='Квартира №69', number='21967567', date=null, t1=37.973, t2=22.162, t3=42.093, total=102.228]
Counter[flat='Квартира №53', number='21666929', date=null, t1=38.888, t2=19.994, t3=46.026, total=104.908]
Counter[flat='Квартира №101', number='21967802', date=null, t1=37.680, t2=19.325, t3=49.951, total=106.956]
Counter[flat='Квартира №111', number='21949373', date=null, t1=26.434, t2=34.016, t3=46.963, total=107.413]
Counter[flat='Квартира №110', number='21949389', date=null, t1=28.311, t2=32.113, t3=47.672, total=108.096]
Counter[flat='Квартира №46', number='21967731', date=null, t1=30.365, t2=36.716, t3=42.992, total=110.073]
Counter[flat='Квартира №116', number='21968082', date=null, t1=30.940, t2=31.064, t3=53.366, total=115.370]
Counter[flat='Квартира №89', number='21967810', date=null, t1=38.309, t2=32.666, t3=45.221, total=116.196]
Counter[flat='Квартира №22', number='21968052', date=null, t1=45.407, t2=17.530, t3=54.482, total=117.419]
Counter[flat='Квартира №43', number='21712964', date=null, t1=32.426, t2=43.106, t3=42.746, total=118.278]
Counter[flat='Квартира №121', number='21971370', date=null, t1=41.020, t2=27.543, t3=49.745, total=118.308]
Counter[flat='Квартира №50', number='21666901', date=null, t1=42.588, t2=27.126, t3=51.476, total=121.190]
Counter[flat='Квартира №32', number='21712993', date=null, t1=38.945, t2=30.107, t3=52.366, total=121.418]
Counter[flat='Квартира №72', number='21967501', date=null, t1=33.179, t2=37.204, t3=51.747, total=122.130]
Counter[flat='Квартира №44', number='21967861', date=null, t1=37.118, t2=28.438, t3=56.951, total=122.507]
Counter[flat='Квартира №21', number='21968025', date=null, t1=34.114, t2=25.998, t3=65.069, total=125.181]
Counter[flat='Квартира №131', number='21968035', date=null, t1=31.036, t2=45.687, t3=48.638, total=125.361]
Counter[flat='Квартира №4', number='21967572', date=null, t1=36.324, t2=32.025, t3=57.979, total=126.328]
Counter[flat='Квартира №16', number='21666895', date=null, t1=43.876, t2=22.595, t3=62.609, total=129.080]
Counter[flat='Квартира №34', number='21712954', date=null, t1=45.878, t2=29.748, t3=54.687, total=130.313]
Counter[flat='Квартира №73', number='21967479', date=null, t1=39.883, t2=38.538, t3=55.395, total=133.816]
Counter[flat='Квартира №47', number='21967923', date=null, t1=36.041, t2=37.008, t3=63.107, total=136.156]
Counter[flat='Квартира №61', number='21968453', date=null, t1=42.390, t2=46.999, t3=47.396, total=136.785]
Counter[flat='Квартира №38', number='21666552', date=null, t1=42.942, t2=34.241, t3=60.489, total=137.672]
Counter[flat='Квартира №137', number='21967213', date=null, t1=41.867, t2=45.278, t3=51.880, total=139.025]
Counter[flat='Квартира №64', number='21968468', date=null, t1=47.819, t2=39.942, t3=52.765, total=140.526]
Counter[flat='Квартира №13', number='21967904', date=null, t1=45.887, t2=51.027, t3=46.824, total=143.738]
Counter[flat='Квартира №14', number='21967940', date=null, t1=43.222, t2=41.429, t3=60.079, total=144.730]
Counter[flat='Квартира №133', number='21967899', date=null, t1=50.018, t2=21.083, t3=74.078, total=145.179]
Counter[flat='Квартира №113', number='21949380', date=null, t1=55.569, t2=35.789, t3=54.404, total=145.762]
Counter[flat='Квартира №80', number='21967506', date=null, t1=41.373, t2=51.954, t3=56.528, total=149.855]
Counter[flat='Квартира №141', number='21967535', date=null, t1=40.640, t2=41.839, t3=67.455, total=149.934]
Counter[flat='Квартира №33', number='21948916', date=null, t1=44.647, t2=41.975, t3=64.980, total=151.602]
Counter[flat='Квартира №41', number='21666577', date=null, t1=43.005, t2=25.624, t3=84.119, total=152.748]
Counter[flat='Квартира №143', number='21967509', date=null, t1=50.291, t2=26.759, t3=77.302, total=154.352]
Counter[flat='Квартира №2', number='21949330', date=null, t1=54.122, t2=38.674, t3=64.152, total=156.948]
Counter[flat='Квартира №144', number='21968041', date=null, t1=53.696, t2=35.569, t3=68.210, total=157.475]
Counter[flat='Квартира №129', number='21967906', date=null, t1=55.976, t2=33.646, t3=67.870, total=157.492]
Counter[flat='Квартира №57', number='21967809', date=null, t1=44.013, t2=50.604, t3=63.279, total=157.896]
Counter[flat='Квартира №114', number='21949338', date=null, t1=54.695, t2=36.763, t3=67.063, total=158.521]
Counter[flat='Квартира №90', number='21968383', date=null, t1=27.846, t2=0.625, t3=131.752, total=160.223]
Counter[flat='Квартира №123', number='21949395', date=null, t1=58.765, t2=34.267, t3=68.143, total=161.175]
Counter[flat='Квартира №76', number='21968202', date=null, t1=50.339, t2=31.217, t3=79.649, total=161.205]
Counter[flat='Квартира №79', number='21967555', date=null, t1=52.994, t2=36.010, t3=74.952, total=163.956]
Counter[flat='Квартира №142', number='21968032', date=null, t1=49.013, t2=54.181, t3=63.633, total=166.827]
Counter[flat='Квартира №74', number='21968454', date=null, t1=44.810, t2=54.294, t3=75.426, total=174.530]
Counter[flat='Квартира №42', number='21666910', date=null, t1=65.544, t2=23.206, t3=86.091, total=174.841]
Counter[flat='Квартира №109', number='21949350', date=null, t1=51.961, t2=49.022, t3=75.610, total=176.593]
Counter[flat='Квартира №58', number='21967732', date=null, t1=46.904, t2=48.445, t3=81.839, total=177.188]
Counter[flat='Квартира №120', number='21967526', date=null, t1=47.576, t2=41.671, t3=88.623, total=177.870]
Counter[flat='Квартира №98', number='21967964', date=null, t1=71.898, t2=27.345, t3=79.289, total=178.532]
Counter[flat='Квартира №134', number='21967568', date=null, t1=54.401, t2=53.427, t3=80.050, total=187.878]
Counter[flat='Квартира №39', number='21666569', date=null, t1=57.237, t2=66.479, t3=65.174, total=188.890]
Counter[flat='Квартира №118', number='21971416', date=null, t1=53.722, t2=70.390, t3=64.909, total=189.021]
Counter[flat='Квартира №130', number='21967952', date=null, t1=60.429, t2=48.591, t3=84.589, total=193.609]
Counter[flat='Квартира №128', number='21968471', date=null, t1=55.546, t2=58.612, t3=81.102, total=195.260]
Counter[flat='Квартира №117', number='21967206', date=null, t1=54.836, t2=56.216, t3=94.583, total=205.635]
Counter[flat='Квартира №96', number='21968073', date=null, t1=60.293, t2=35.394, t3=121.620, total=217.307]
Counter[flat='Квартира №138', number='21967900', date=null, t1=74.268, t2=38.634, t3=104.773, total=217.675]
Counter[flat='Квартира №68', number='21967522', date=null, t1=71.118, t2=58.911, t3=88.693, total=218.722]
Counter[flat='Квартира №95', number='21967997', date=null, t1=78.319, t2=43.104, t3=97.330, total=218.753]
Counter[flat='Квартира №56', number='21968075', date=null, t1=61.477, t2=55.906, t3=107.552, total=224.935]
Counter[flat='Квартира №10', number='21967590', date=null, t1=57.448, t2=57.703, t3=112.096, total=227.247]
Counter[flat='Квартира №112', number='21971429', date=null, t1=87.809, t2=42.527, t3=100.895, total=231.231]
Counter[flat='Квартира №55', number='21967879', date=null, t1=67.942, t2=80.219, t3=95.710, total=243.871]
Counter[flat='Квартира №52', number='21666543', date=null, t1=69.115, t2=84.676, t3=94.391, total=248.182]
Counter[flat='Квартира №18', number='21967958', date=null, t1=73.479, t2=47.772, t3=130.898, total=252.149]
Counter[flat='Квартира №115', number='21967511', date=null, t1=71.875, t2=85.244, t3=99.998, total=257.117]
Counter[flat='Квартира №67', number='21967528', date=null, t1=81.289, t2=58.489, t3=117.503, total=257.281]
Counter[flat='Квартира №77', number='21968450', date=null, t1=73.746, t2=78.744, t3=111.844, total=264.334]
Counter[flat='Квартира №104', number='21971388', date=null, t1=98.708, t2=54.474, t3=113.226, total=266.408]
Counter[flat='Квартира №82', number='21967513', date=null, t1=76.308, t2=49.628, t3=141.234, total=267.170]
Counter[flat='Квартира №48', number='21968079', date=null, t1=79.941, t2=66.850, t3=130.278, total=277.069]
Counter[flat='Квартира №49', number='21666570', date=null, t1=104.223, t2=89.575, t3=145.735, total=339.533]
Counter[flat='Квартира №12', number='21948923', date=null, t1=113.987, t2=111.719, t3=144.884, total=370.590]
Counter[flat='Квартира №125', number='21949344', date=null, t1=140.375, t2=126.146, t3=153.252, total=419.773]
Counter[flat='Квартира №25', number='21667083', date=null, t1=142.329, t2=101.744, t3=177.926, total=421.999]
Counter[flat='Квартира №60', number='21967979', date=null, t1=121.010, t2=108.635, t3=196.627, total=426.272]
Counter[flat='Квартира №7', number='21712970', date=null, t1=154.395, t2=95.610, t3=177.204, total=427.209]
Counter[flat='Квартира №37', number='21666539', date=null, t1=119.074, t2=133.182, t3=219.794, total=472.050]
Counter[flat='Квартира №126', number='21949403', date=null, t1=180.753, t2=135.942, t3=252.647, total=569.342]
Counter[flat='Квартира №31', number='21712977', date=null, t1=173.017, t2=143.728, t3=254.127, total=570.872]
Counter[flat='Квартира №85', number='21967450', date=null, t1=224.348, t2=227.782, t3=294.173, total=746.303]
Counter[flat='Квартира №1', number='21666896', date=null, t1=260.823, t2=176.175, t3=355.216, total=792.214]
Counter[flat='Квартира №127', number='21967896', date=null, t1=261.186, t2=247.588, t3=342.331, total=851.105]
