Counter[flat='Квартира №23', number='21967854', date=null, t1=48.643, t2=14.589, t3=48.953, total=112.185]
Counter[flat='Квартира №136', number='21967551', date=null, t1=45.884, t2=21.811, t3=48.374, total=116.069]
Counter[flat='Квартира №131', number='21968035', date=null, t1=31.138, t2=39.146, t3=47.545, total=117.829]
Counter[flat='Квартира №15', number='21666510', date=null, t1=35.408, t2=28.706, t3=54.865, total=118.979]
Counter[flat='Квартира №32', number='21712993', date=null, t1=37.936, t2=24.855, t3=56.662, total=119.453]
Counter[flat='Квартира №107', number='21971375', date=null, t1=33.556, t2=44.458, t3=41.776, total=119.790]
Counter[flat='Квартира №22', number='21968052', date=null, t1=52.078, t2=20.924, t3=48.480, total=121.482]
Counter[flat='Квартира №39', number='21666569', date=null, t1=50.675, t2=27.135, t3=45.140, total=122.950]
Counter[flat='Квартира №59', number='21968016', date=null, t1=71.091, t2=17.109, t3=42.218, total=130.418]
Counter[flat='Квартира №26', number='21666497', date=null, t1=43.916, t2=27.156, t3=59.665, total=130.737]
Counter[flat='Квартира №70', number='21967516', date=null, t1=34.150, t2=51.245, t3=49.796, total=135.191]
Counter[flat='Квартира №129', number='21967906', date=null, t1=48.908, t2=31.744, t3=56.195, total=136.847]
Counter[flat='Квартира №119', number='21967973', date=null, t1=47.114, t2=32.717, t3=59.896, total=139.727]
Counter[flat='Квартира №4', number='21967572', date=null, t1=37.835, t2=56.664, t3=48.748, total=143.247]
Counter[flat='Квартира №21', number='21968025', date=null, t1=46.955, t2=23.768, t3=72.852, total=143.575]
Counter[flat='Квартира №50', number='21666901', date=null, t1=56.834, t2=26.797, t3=62.200, total=145.831]
Counter[flat='Квартира №34', number='21712954', date=null, t1=56.200, t2=32.208, t3=58.788, total=147.196]
Counter[flat='Квартира №73', number='21967479', date=null, t1=50.153, t2=34.867, t3=64.505, total=149.525]
Counter[flat='Квартира №137', number='21967213', date=null, t1=47.613, t2=44.156, t3=63.634, total=155.403]
Counter[flat='Квартира №68', number='21967522', date=null, t1=51.044, t2=32.099, t3=73.533, total=156.676]
Counter[flat='Квартира №110', number='21949389', date=null, t1=43.173, t2=39.417, t3=74.595, total=157.185]
Counter[flat='Квартира №80', number='21967506', date=null, t1=45.137, t2=62.701, t3=50.546, total=158.384]
Counter[flat='Квартира №141', number='21967535', date=null, t1=54.033, t2=35.700, t3=69.770, total=159.503]
Counter[flat='Квартира №2', number='21949330', date=null, t1=46.879, t2=41.669, t3=72.206, total=160.754]
Counter[flat='Квартира №121', number='21971370', date=null, t1=63.991, t2=21.963, t3=80.094, total=166.048]
Counter[flat='Квартира №143', number='21967509', date=null, t1=65.112, t2=21.858, t3=80.115, total=167.085]
Counter[flat='Квартира №117', number='21967206', date=null, t1=50.439, t2=42.711, t3=74.344, total=167.494]
Counter[flat='Квартира №98', number='21967964', date=null, t1=66.320, t2=27.600, t3=74.114, total=168.034]
Counter[flat='Квартира №52', number='21666543', date=null, t1=62.640, t2=37.318, t3=68.793, total=168.751]
Counter[flat='Квартира №30', number='21667094', date=null, t1=60.748, t2=25.668, t3=85.232, total=171.648]
Counter[flat='Квартира №58', number='21967732', date=null, t1=69.346, t2=36.833, t3=66.869, total=173.048]
Counter[flat='Квартира №132', number='21967848', date=null, t1=59.530, t2=42.499, t3=71.263, total=173.292]
Counter[flat='Квартира №142', number='21968032', date=null, t1=50.574, t2=48.609, t3=75.089, total=174.272]
Counter[flat='Квартира №109', number='21949350', date=null, t1=60.010, t2=51.761, t3=68.292, total=180.063]
Counter[flat='Квартира №69', number='21967567', date=null, t1=62.673, t2=27.511, t3=90.298, total=180.482]
Counter[flat='Квартира №130', number='21967952', date=null, t1=54.431, t2=45.899, t3=84.360, total=184.690]
Counter[flat='Квартира №33', number='21948916', date=null, t1=69.748, t2=31.411, t3=84.044, total=185.203]
Counter[flat='Квартира №104', number='21971388', date=null, t1=77.383, t2=31.204, t3=84.752, total=193.339]
Counter[flat='Квартира №120', number='21967526', date=null, t1=57.201, t2=33.983, t3=103.118, total=194.302]
Counter[flat='Квартира №64', number='21968468', date=null, t1=64.166, t2=55.915, t3=78.463, total=198.544]
Counter[flat='Квартира №9', number='21948896', date=null, t1=53.491, t2=80.537, t3=68.218, total=202.246]
Counter[flat='Квартира №13', number='21967904', date=null, t1=75.441, t2=46.396, t3=80.654, total=202.491]
Counter[flat='Квартира №90', number='21968383', date=null, t1=81.490, t2=27.335, t3=93.808, total=202.633]
Counter[flat='Квартира №144', number='21968041', date=null, t1=78.581, t2=36.303, t3=88.783, total=203.667]
Counter[flat='Квартира №96', number='21968073', date=null, t1=60.262, t2=31.979, t3=112.066, total=204.307]
Counter[flat='Квартира №10', number='21967590', date=null, t1=52.990, t2=56.449, t3=95.128, total=204.567]
Counter[flat='Квартира №79', number='21967555', date=null, t1=74.412, t2=37.436, t3=93.655, total=205.503]
Counter[flat='Квартира №46', number='21967731', date=null, t1=74.116, t2=42.240, t3=91.121, total=207.477]
Counter[flat='Квартира №57', number='21967809', date=null, t1=65.813, t2=68.793, t3=79.348, total=213.954]
Counter[flat='Квартира №72', number='21967501', date=null, t1=63.043, t2=48.067, t3=107.710, total=218.820]
Counter[flat='Квартира №123', number='21949395', date=null, t1=96.570, t2=34.433, t3=91.390, total=222.393]
Counter[flat='Квартира №67', number='21967528', date=null, t1=84.807, t2=32.924, t3=105.671, total=223.402]
Counter[flat='Квартира №118', number='21971416', date=null, t1=56.121, t2=60.971, t3=108.447, total=225.539]
Counter[flat='Квартира №18', number='21967958', date=null, t1=72.894, t2=60.250, t3=98.881, total=232.025]
Counter[flat='Квартира №112', number='21971429', date=null, t1=93.369, t2=29.709, t3=109.800, total=232.878]
Counter[flat='Квартира №12', number='21948923', date=null, t1=71.895, t2=68.415, t3=96.879, total=237.189]
Counter[flat='Квартира №63', number='21968441', date=null, t1=105.619, t2=22.357, t3=117.813, total=245.789]
Counter[flat='Квартира №82', number='21967513', date=null, t1=81.290, t2=36.989, t3=138.035, total=256.314]
Counter[flat='Квартира №133', number='21967899', date=null, t1=114.808, t2=45.204, t3=99.819, total=259.831]
Counter[flat='Квартира №42', number='21666910', date=null, t1=107.476, t2=51.461, t3=104.877, total=263.814]
Counter[flat='Квартира №115', number='21967511', date=null, t1=80.192, t2=83.746, t3=106.510, total=270.448]
Counter[flat='Квартира №95', number='21967997', date=null, t1=78.602, t2=59.840, t3=134.264, total=272.706]
Counter[flat='Квартира №128', number='21968471', date=null, t1=80.529, t2=87.910, t3=114.097, total=282.536]
Counter[flat='Квартира №114', number='21949338', date=null, t1=108.497, t2=49.174, t3=129.581, total=287.252]
Counter[flat='Квартира №61', number='21968453', date=null, t1=100.321, t2=86.482, t3=158.735, total=345.538]
Counter[flat='Квартира №74', number='21968454', date=null, t1=105.736, t2=98.460, t3=148.149, total=352.345]
Counter[flat='Квартира №55', number='21967879', date=null, t1=101.876, t2=105.923, t3=152.652, total=360.451]
Counter[flat='Квартира №113', number='21949380', date=null, t1=120.416, t2=113.928, t3=145.610, total=379.954]
Counter[flat='Квартира №78', number='40628580', date=null, t1=292.275, t2=101.675, t3=0.000, total=393.950]
Counter[flat='Квартира №48', number='21968079', date=null, t1=143.161, t2=129.935, t3=140.034, total=413.130]
Counter[flat='Квартира №60', number='21967979', date=null, t1=163.688, t2=87.169, t3=175.965, total=426.822]
Counter[flat='Квартира №77', number='21968450', date=null, t1=132.555, t2=155.396, t3=171.490, total=459.441]
Counter[flat='Квартира №28', number='21666499', date=null, t1=139.319, t2=150.867, t3=180.306, total=470.492]
Counter[flat='Квартира №49', number='21666570', date=null, t1=169.644, t2=108.654, t3=197.191, total=475.489]
Counter[flat='Квартира №7', number='21712970', date=null, t1=162.346, t2=128.361, t3=212.878, total=503.585]
Counter[flat='Квартира №125', number='21949344', date=null, t1=168.333, t2=145.492, t3=225.797, total=539.622]
Counter[flat='Квартира №126', number='21949403', date=null, t1=192.919, t2=137.266, t3=254.996, total=585.181]
Counter[flat='Квартира №31', number='21712977', date=null, t1=222.145, t2=145.280, t3=291.603, total=659.028]
Counter[flat='Квартира №1', number='21666896', date=null, t1=180.097, t2=148.507, t3=344.834, total=673.438]
Counter[flat='Квартира №25', number='21667083', date=null, t1=264.643, t2=228.324, t3=350.299, total=843.266]
Counter[flat='Квартира №85', number='21967450', date=null, t1=324.855, t2=300.403, t3=414.925, total=1040.183]
Counter[flat='Квартира №127', number='21967896', date=null, t1=328.716, t2=299.706, t3=421.264, total=1049.686]
Counter[flat='Квартира №37', number='21666539', date=null, t1=319.692, t2=334.255, t3=503.050, total=1156.997]
