Counter[flat='141', number='023241110316', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='44', number='21967861', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='5', number='21712960', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.112, total=0.112]
Counter[flat='111', number='21949373', date=null, t1=1.723, t2=1.496, t3=2.150, total=5.369]
Counter[flat='143', number='21967509', date=null, t1=10.943, t2=12.450, t3=13.783, total=37.176]
Counter[flat='135', number='21967542', date=null, t1=12.322, t2=12.467, t3=14.366, total=39.155]
Counter[flat='24', number='21968031', date=null, t1=10.727, t2=13.908, t3=15.301, total=39.936]
Counter[flat='76', number='21968202', date=null, t1=12.421, t2=6.844, t3=21.177, total=40.442]
Counter[flat='30', number='21667094', date=null, t1=11.666, t2=13.851, t3=15.160, total=40.677]
Counter[flat='107', number='21971375', date=null, t1=13.102, t2=15.112, t3=16.751, total=44.965]
Counter[flat='68', number='21967522', date=null, t1=12.592, t2=17.376, t3=15.107, total=45.075]
Counter[flat='27', number='21666500', date=null, t1=16.149, t2=12.226, t3=20.576, total=48.951]
Counter[flat='73', number='21967479', date=null, t1=13.497, t2=15.654, t3=21.724, total=50.875]
Counter[flat='29', number='21667085', date=null, t1=18.439, t2=12.388, t3=23.466, total=54.293]
Counter[flat='8', number='21967610', date=null, t1=19.588, t2=14.793, t3=23.563, total=57.944]
Counter[flat='75', number='21968458', date=null, t1=25.745, t2=14.895, t3=19.909, total=60.549]
Counter[flat='65', number='21968139', date=null, t1=20.587, t2=19.556, t3=22.125, total=62.268]
Counter[flat='32', number='21712993', date=null, t1=21.388, t2=22.435, t3=21.341, total=65.164]
Counter[flat='83', number='21968203', date=null, t1=22.416, t2=14.417, t3=29.177, total=66.010]
Counter[flat='91', number='21968076', date=null, t1=20.125, t2=17.944, t3=28.004, total=66.073]
Counter[flat='74', number='21968454', date=null, t1=21.117, t2=22.129, t3=27.028, total=70.274]
Counter[flat='116', number='21968082', date=null, t1=20.946, t2=20.359, t3=30.012, total=71.317]
Counter[flat='51', number='21666920', date=null, t1=33.107, t2=15.332, t3=23.457, total=71.896]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='43', number='21712964', date=null, t1=17.307, t2=27.828, t3=30.362, total=75.497]
Counter[flat='21', number='21968025', date=null, t1=21.719, t2=16.961, t3=37.258, total=75.938]
Counter[flat='38', number='21666552', date=null, t1=26.145, t2=17.567, t3=33.395, total=77.107]
Counter[flat='70', number='21967516', date=null, t1=22.304, t2=25.424, t3=30.097, total=77.825]
Counter[flat='119', number='21967973', date=null, t1=28.905, t2=15.782, t3=34.574, total=79.261]
Counter[flat='99', number='21968207', date=null, t1=26.132, t2=19.674, t3=36.356, total=82.162]
Counter[flat='124', number='21949405', date=null, t1=27.680, t2=21.814, t3=33.620, total=83.114]
Counter[flat='33', number='2025-14000033', date=null, t1=30.000, t2=20.000, t3=35.000, total=85.000]
Counter[flat='26', number='21666497', date=null, t1=29.496, t2=23.018, t3=32.968, total=85.482]
Counter[flat='35', number='21948913', date=null, t1=18.274, t2=29.562, t3=38.084, total=85.920]
Counter[flat='71', number='21967505', date=null, t1=20.521, t2=21.433, t3=44.415, total=86.369]
Counter[flat='59', number='21968016', date=null, t1=31.192, t2=21.781, t3=33.731, total=86.704]
Counter[flat='58', number='21967732', date=null, t1=35.806, t2=17.433, t3=33.908, total=87.147]
Counter[flat='140', number='21967475', date=null, t1=27.515, t2=21.752, t3=38.845, total=88.112]
Counter[flat='88', number='21967504', date=null, t1=34.963, t2=11.048, t3=43.962, total=89.973]
Counter[flat='22', number='21968052', date=null, t1=36.261, t2=17.817, t3=36.113, total=90.191]
Counter[flat='41', number='21666577', date=null, t1=36.724, t2=26.932, t3=27.645, total=91.301]
Counter[flat='81', number='21967486', date=null, t1=32.546, t2=20.644, t3=38.727, total=91.917]
Counter[flat='64', number='21968468', date=null, t1=34.502, t2=22.345, t3=37.990, total=94.837]
Counter[flat='42', number='21666910', date=null, t1=32.534, t2=27.973, t3=34.407, total=94.914]
Counter[flat='89', number='2025-14000089', date=null, t1=35.000, t2=20.000, t3=40.000, total=95.000]
Counter[flat='128', number='21968471', date=null, t1=32.085, t2=33.213, t3=30.606, total=95.904]
Counter[flat='3', number='21967585', date=null, t1=34.702, t2=26.008, t3=37.580, total=98.290]
Counter[flat='134', number='2025-14000134', date=null, t1=35.000, t2=20.000, t3=45.000, total=100.000]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='122', number='21949370', date=null, t1=37.810, t2=23.100, t3=41.283, total=102.193]
Counter[flat='15', number='21666510', date=null, t1=35.938, t2=25.252, t3=41.392, total=102.582]
Counter[flat='90', number='21968383', date=null, t1=36.570, t2=24.238, t3=41.908, total=102.716]
Counter[flat='53', number='21666929', date=null, t1=45.524, t2=21.179, t3=36.457, total=103.160]
Counter[flat='2', number='21949330', date=null, t1=32.735, t2=31.009, t3=40.830, total=104.574]
Counter[flat='60', number='21967979', date=null, t1=27.310, t2=26.419, t3=51.135, total=104.864]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='50', number='21666901', date=null, t1=31.836, t2=26.285, t3=50.517, total=108.638]
Counter[flat='103', number='21971417', date=null, t1=34.764, t2=26.632, t3=48.704, total=110.100]
Counter[flat='117', number='21967206', date=null, t1=46.669, t2=23.094, t3=45.572, total=115.335]
Counter[flat='113', number='21949380', date=null, t1=49.808, t2=24.608, t3=43.237, total=117.653]
Counter[flat='131', number='21968035', date=null, t1=35.209, t2=37.350, t3=47.145, total=119.704]
Counter[flat='129', number='21967906', date=null, t1=41.906, t2=32.214, t3=47.723, total=121.843]
Counter[flat='109', number='21949350', date=null, t1=38.378, t2=36.418, t3=48.510, total=123.306]
Counter[flat='93', number='21967981', date=null, t1=42.313, t2=26.334, t3=57.487, total=126.134]
Counter[flat='56', number='21968075', date=null, t1=40.953, t2=39.218, t3=48.804, total=128.975]
Counter[flat='101', number='21967802', date=null, t1=63.373, t2=30.323, t3=38.703, total=132.399]
Counter[flat='69', number='21967567', date=null, t1=56.297, t2=17.725, t3=61.148, total=135.170]
Counter[flat='110', number='21949389', date=null, t1=39.729, t2=25.394, t3=70.844, total=135.967]
Counter[flat='80', number='21967506', date=null, t1=46.091, t2=39.003, t3=53.456, total=138.550]
Counter[flat='102', number='21968242', date=null, t1=43.876, t2=48.289, t3=46.974, total=139.139]
Counter[flat='57', number='21967809', date=null, t1=41.684, t2=44.167, t3=54.164, total=140.015]
Counter[flat='98', number='21967964', date=null, t1=42.740, t2=38.708, t3=60.635, total=142.083]
Counter[flat='95', number='21967997', date=null, t1=43.403, t2=41.099, t3=57.886, total=142.388]
Counter[flat='37', number='21666539', date=null, t1=40.968, t2=47.689, t3=54.304, total=142.961]
Counter[flat='45', number='21666907', date=null, t1=80.000, t2=35.000, t3=30.000, total=145.000]
Counter[flat='92', number='21967967', date=null, t1=47.903, t2=34.627, t3=64.836, total=147.366]
Counter[flat='11', number='21949329', date=null, t1=36.439, t2=48.348, t3=64.459, total=149.246]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='19', number='21967946', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='137', number='21967213', date=null, t1=37.620, t2=49.949, t3=62.577, total=150.146]
Counter[flat='130', number='21967952', date=null, t1=58.183, t2=27.928, t3=66.330, total=152.441]
Counter[flat='23', number='21967854', date=null, t1=68.398, t2=17.178, t3=67.966, total=153.542]
Counter[flat='84', number='21967477', date=null, t1=48.222, t2=39.014, t3=70.789, total=158.025]
Counter[flat='79', number='21967555', date=null, t1=57.007, t2=38.982, t3=65.224, total=161.213]
Counter[flat='133', number='21967899', date=null, t1=50.068, t2=55.396, t3=65.347, total=170.811]
Counter[flat='20', number='21968040', date=null, t1=59.111, t2=47.411, t3=65.114, total=171.636]
Counter[flat='54', number='21666917', date=null, t1=78.045, t2=33.582, t3=62.341, total=173.968]
Counter[flat='144', number='21968041', date=null, t1=57.357, t2=36.340, t3=81.960, total=175.657]
Counter[flat='78', number='023240215710', date=null, t1=50.000, t2=30.000, t3=100.000, total=180.000]
Counter[flat='115', number='21967511', date=null, t1=54.416, t2=41.205, t3=85.437, total=181.058]
Counter[flat='66', number='21968442', date=null, t1=67.888, t2=35.577, t3=79.505, total=182.970]
Counter[flat='72', number='21967501', date=null, t1=78.686, t2=25.858, t3=79.983, total=184.527]
Counter[flat='132', number='21967848', date=null, t1=54.713, t2=40.759, t3=90.467, total=185.939]
Counter[flat='114', number='21949338', date=null, t1=68.249, t2=34.984, t3=83.291, total=186.524]
Counter[flat='142', number='21968032', date=null, t1=60.195, t2=42.978, t3=89.222, total=192.395]
Counter[flat='48', number='21968079', date=null, t1=72.811, t2=20.096, t3=101.732, total=194.639]
Counter[flat='17', number='2025-14029488', date=null, t1=75.000, t2=45.000, t3=75.000, total=195.000]
Counter[flat='63', number='21968441', date=null, t1=74.792, t2=32.804, t3=88.371, total=195.967]
Counter[flat='120', number='21967526', date=null, t1=77.976, t2=28.827, t3=91.151, total=197.954]
Counter[flat='10', number='21967590', date=null, t1=50.000, t2=50.000, t3=100.000, total=200.000]
