Counter[flat='Квартира №103', number='21971417', date=null, t1=37.936, t2=20.042, t3=48.459, total=106.437]
Counter[flat='Квартира №124', number='21949405', date=null, t1=33.311, t2=27.168, t3=47.682, total=108.161]
Counter[flat='Квартира №73', number='21967479', date=null, t1=37.536, t2=20.978, t3=50.938, total=109.452]
Counter[flat='Квартира №62', number='21971329', date=null, t1=29.662, t2=14.643, t3=68.375, total=112.680]
Counter[flat='Квартира №25', number='21667083', date=null, t1=32.573, t2=35.605, t3=44.517, total=112.695]
Counter[flat='Квартира №21', number='21968025', date=null, t1=37.312, t2=17.903, t3=58.975, total=114.190]
Counter[flat='Квартира №70', number='21967516', date=null, t1=28.861, t2=42.131, t3=43.294, total=114.286]
Counter[flat='Квартира №32', number='21712993', date=null, t1=40.100, t2=22.509, t3=51.739, total=114.348]
Counter[flat='Квартира №34', number='21712954', date=null, t1=47.709, t2=23.198, t3=43.716, total=114.623]
Counter[flat='Квартира №129', number='21967906', date=null, t1=46.220, t2=26.186, t3=45.940, total=118.346]
Counter[flat='Квартира №4', number='21967572', date=null, t1=36.237, t2=41.160, t3=43.689, total=121.086]
Counter[flat='Квартира №119', number='21967973', date=null, t1=36.289, t2=28.660, t3=57.874, total=122.823]
Counter[flat='Квартира №134', number='21967568', date=null, t1=37.069, t2=35.309, t3=50.571, total=122.949]
Counter[flat='Квартира №80', number='21967506', date=null, t1=35.225, t2=49.848, t3=38.126, total=123.199]
Counter[flat='Квартира №137', number='21967213', date=null, t1=37.899, t2=34.827, t3=52.950, total=125.676]
Counter[flat='Квартира №24', number='21968031', date=null, t1=52.236, t2=18.924, t3=59.596, total=130.756]
Counter[flat='Квартира №33', number='21948916', date=null, t1=49.607, t2=23.135, t3=63.065, total=135.807]
Counter[flat='Квартира №35', number='21948913', date=null, t1=32.913, t2=57.425, t3=45.893, total=136.231]
Counter[flat='Квартира №78', number='40628580', date=null, t1=90.201, t2=47.028, t3=0.000, total=137.229]
Counter[flat='Квартира №69', number='21967567', date=null, t1=48.207, t2=24.857, t3=65.004, total=138.068]
Counter[flat='Квартира №98', number='21967964', date=null, t1=54.717, t2=22.314, t3=62.714, total=139.745]
Counter[flat='Квартира №104', number='21971388', date=null, t1=61.023, t2=21.113, t3=59.174, total=141.310]
Counter[flat='Квартира №59', number='21968016', date=null, t1=57.507, t2=30.161, t3=54.436, total=142.104]
Counter[flat='Квартира №2', number='21949330', date=null, t1=44.761, t2=37.951, t3=59.507, total=142.219]
Counter[flat='Квартира №90', number='21968383', date=null, t1=54.632, t2=27.174, t3=64.155, total=145.961]
Counter[flat='Квартира №118', number='21971416', date=null, t1=33.699, t2=31.809, t3=80.982, total=146.490]
Counter[flat='Квартира №48', number='21968079', date=null, t1=52.818, t2=42.715, t3=54.678, total=150.211]
Counter[flat='Квартира №141', number='21967535', date=null, t1=41.236, t2=49.912, t3=62.551, total=153.699]
Counter[flat='Квартира №79', number='21967555', date=null, t1=55.444, t2=32.352, t3=66.137, total=153.933]
Counter[flat='Квартира №50', number='21666901', date=null, t1=54.573, t2=29.386, t3=71.652, total=155.611]
Counter[flat='Квартира №42', number='21666910', date=null, t1=65.592, t2=19.174, t3=74.176, total=158.942]
Counter[flat='Квартира №68', number='21967522', date=null, t1=49.471, t2=28.369, t3=82.123, total=159.963]
Counter[flat='Квартира №110', number='21949389', date=null, t1=47.685, t2=42.803, t3=74.729, total=165.217]
Counter[flat='Квартира №96', number='21968073', date=null, t1=48.709, t2=31.769, t3=86.049, total=166.527]
Counter[flat='Квартира №130', number='21967952', date=null, t1=54.825, t2=43.686, t3=71.742, total=170.253]
Counter[flat='Квартира №58', number='21967732', date=null, t1=62.515, t2=38.791, t3=73.632, total=174.938]
Counter[flat='Квартира №109', number='21949350', date=null, t1=58.145, t2=55.828, t3=62.902, total=176.875]
Counter[flat='Квартира №52', number='21666543', date=null, t1=54.196, t2=46.361, t3=76.606, total=177.163]
Counter[flat='Квартира №132', number='21967848', date=null, t1=58.782, t2=48.105, t3=70.779, total=177.666]
Counter[flat='Квартира №57', number='21967809', date=null, t1=44.435, t2=60.565, t3=75.434, total=180.434]
Counter[flat='Квартира №136', number='21967551', date=null, t1=57.455, t2=50.956, t3=73.590, total=182.001]
Counter[flat='Квартира №120', number='21967526', date=null, t1=57.995, t2=36.876, t3=93.543, total=188.414]
Counter[flat='Квартира №112', number='21971429', date=null, t1=78.828, t2=26.366, t3=84.337, total=189.531]
Counter[flat='Квартира №46', number='21967731', date=null, t1=67.780, t2=36.596, t3=86.891, total=191.267]
Counter[flat='Квартира №114', number='21949338', date=null, t1=77.488, t2=37.867, t3=77.276, total=192.631]
Counter[flat='Квартира №8', number='21967610', date=null, t1=66.313, t2=61.121, t3=68.717, total=196.151]
Counter[flat='Квартира №67', number='21967528', date=null, t1=85.398, t2=28.929, t3=82.079, total=196.406]
Counter[flat='Квартира №10', number='21967590', date=null, t1=48.551, t2=64.865, t3=85.317, total=198.733]
Counter[flat='Квартира №142', number='21968032', date=null, t1=51.024, t2=52.401, t3=97.954, total=201.379]
Counter[flat='Квартира №117', number='21967206', date=null, t1=57.989, t2=51.047, t3=93.062, total=202.098]
Counter[flat='Квартира №107', number='21971375', date=null, t1=56.675, t2=74.356, t3=71.566, total=202.597]
Counter[flat='Квартира №95', number='21967997', date=null, t1=68.806, t2=46.852, t3=87.329, total=202.987]
Counter[flat='Квартира №121', number='21971370', date=null, t1=72.386, t2=19.753, t3=112.835, total=204.974]
Counter[flat='Квартира №13', number='21967904', date=null, t1=98.145, t2=37.514, t3=70.012, total=205.671]
Counter[flat='Квартира №16', number='21666895', date=null, t1=64.936, t2=57.373, t3=83.487, total=205.796]
Counter[flat='Квартира №63', number='21968441', date=null, t1=84.946, t2=21.960, t3=104.210, total=211.116]
Counter[flat='Квартира №64', number='21968468', date=null, t1=72.901, t2=44.176, t3=95.328, total=212.405]
Counter[flat='Квартира №82', number='21967513', date=null, t1=66.269, t2=32.191, t3=114.437, total=212.897]
Counter[flat='Квартира №12', number='21948923', date=null, t1=66.384, t2=53.874, t3=95.439, total=215.697]
Counter[flat='Квартира №61', number='21968453', date=null, t1=63.654, t2=62.744, t3=94.936, total=221.334]
