Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='44', number='21967861', date=null, t1=0.159, t2=0.089, t3=0.322, total=0.570]
Counter[flat='45', number='21666907', date=null, t1=0.454, t2=0.135, t3=0.353, total=0.942]
Counter[flat='108', number='21968246', date=null, t1=1.031, t2=0.000, t3=0.447, total=1.478]
Counter[flat='111', number='21949373', date=null, t1=1.479, t2=1.445, t3=1.639, total=4.563]
Counter[flat='30', number='21667094', date=null, t1=2.434, t2=2.117, t3=2.941, total=7.492]
Counter[flat='5', number='21712960', date=null, t1=7.095, t2=8.071, t3=9.245, total=24.411]
Counter[flat='35', number='21948913', date=null, t1=6.879, t2=7.825, t3=9.927, total=24.631]
Counter[flat='69', number='21967567', date=null, t1=7.973, t2=8.925, t3=10.260, total=27.158]
Counter[flat='27', number='21666500', date=null, t1=9.039, t2=10.215, t3=11.244, total=30.498]
Counter[flat='77', number='21968450', date=null, t1=8.933, t2=10.179, t3=11.671, total=30.783]
Counter[flat='58', number='21967732', date=null, t1=8.865, t2=10.903, t3=11.921, total=31.689]
Counter[flat='107', number='21971375', date=null, t1=10.769, t2=12.286, t3=14.070, total=37.125]
Counter[flat='73', number='21967479', date=null, t1=11.693, t2=11.141, t3=15.248, total=38.082]
Counter[flat='75', number='21968458', date=null, t1=12.132, t2=10.923, t3=15.414, total=38.469]
Counter[flat='135', number='21967542', date=null, t1=11.730, t2=12.281, t3=14.532, total=38.543]
Counter[flat='91', number='21968076', date=null, t1=12.875, t2=13.701, t3=16.034, total=42.610]
Counter[flat='124', number='21949405', date=null, t1=14.366, t2=14.961, t3=17.074, total=46.401]
Counter[flat='32', number='21712993', date=null, t1=15.602, t2=15.619, t3=19.397, total=50.618]
Counter[flat='59', number='21968016', date=null, t1=21.009, t2=12.808, t3=20.076, total=53.893]
Counter[flat='121', number='21971370', date=null, t1=14.988, t2=16.774, t3=23.543, total=55.305]
Counter[flat='101', number='21967802', date=null, t1=20.778, t2=11.802, t3=25.830, total=58.410]
Counter[flat='68', number='21967522', date=null, t1=16.324, t2=21.823, t3=20.566, total=58.713]
Counter[flat='64', number='21968468', date=null, t1=17.854, t2=19.610, t3=24.169, total=61.633]
Counter[flat='8', number='21967610', date=null, t1=17.240, t2=15.364, t3=29.703, total=62.307]
Counter[flat='70', number='21967516', date=null, t1=14.684, t2=23.377, t3=24.441, total=62.502]
Counter[flat='22', number='21968052', date=null, t1=19.574, t2=17.999, t3=26.193, total=63.766]
Counter[flat='20', number='21968040', date=null, t1=21.605, t2=15.386, t3=27.236, total=64.227]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='99', number='21968207', date=null, t1=18.409, t2=20.606, t3=29.129, total=68.144]
Counter[flat='42', number='21666910', date=null, t1=21.611, t2=13.927, t3=34.424, total=69.962]
Counter[flat='65', number='21968139', date=null, t1=24.614, t2=18.983, t3=27.760, total=71.357]
Counter[flat='102', number='21968242', date=null, t1=21.431, t2=27.227, t3=23.555, total=72.213]
Counter[flat='88', number='21967504', date=null, t1=28.211, t2=8.628, t3=35.889, total=72.728]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='116', number='21968082', date=null, t1=21.265, t2=20.174, t3=33.811, total=75.250]
Counter[flat='3', number='21967585', date=null, t1=31.389, t2=17.603, t3=32.402, total=81.394]
Counter[flat='50', number='21666901', date=null, t1=24.011, t2=21.825, t3=38.100, total=83.936]
Counter[flat='29', number='21667085', date=null, t1=29.625, t2=21.405, t3=34.891, total=85.921]
Counter[flat='41', number='21666577', date=null, t1=26.301, t2=24.210, t3=40.100, total=90.611]
Counter[flat='122', number='21949370', date=null, t1=28.624, t2=26.149, t3=36.229, total=91.002]
Counter[flat='24', number='21968031', date=null, t1=27.129, t2=29.963, t3=34.058, total=91.150]
Counter[flat='110', number='21949389', date=null, t1=30.324, t2=17.218, t3=44.487, total=92.029]
Counter[flat='48', number='21968079', date=null, t1=29.615, t2=17.137, t3=46.568, total=93.320]
Counter[flat='94', number='21967987', date=null, t1=32.938, t2=15.565, t3=47.606, total=96.109]
Counter[flat='131', number='21968035', date=null, t1=38.151, t2=27.911, t3=30.622, total=96.684]
Counter[flat='103', number='21971417', date=null, t1=36.402, t2=20.489, t3=41.403, total=98.294]
Counter[flat='119', number='21967973', date=null, t1=28.578, t2=28.673, t3=41.753, total=99.004]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='83', number='21968203', date=null, t1=38.769, t2=17.273, t3=47.288, total=103.330]
Counter[flat='66', number='21968442', date=null, t1=34.691, t2=10.888, t3=58.630, total=104.209]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='26', number='21666497', date=null, t1=45.890, t2=19.609, t3=40.736, total=106.235]
Counter[flat='38', number='21666552', date=null, t1=23.893, t2=36.848, t3=45.940, total=106.681]
Counter[flat='71', number='21967505', date=null, t1=27.749, t2=18.228, t3=62.064, total=108.041]
Counter[flat='53', number='21666929', date=null, t1=41.834, t2=24.621, t3=43.455, total=109.910]
Counter[flat='143', number='21967509', date=null, t1=27.604, t2=41.382, t3=41.860, total=110.846]
Counter[flat='2', number='21949330', date=null, t1=34.347, t2=32.395, t3=44.944, total=111.686]
Counter[flat='109', number='21949350', date=null, t1=26.351, t2=40.916, t3=45.352, total=112.619]
Counter[flat='84', number='21967477', date=null, t1=35.470, t2=18.332, t3=59.969, total=113.771]
Counter[flat='139', number='21967531', date=null, t1=32.611, t2=36.535, t3=45.103, total=114.249]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='123', number='21949395', date=null, t1=38.591, t2=29.764, t3=52.684, total=121.039]
Counter[flat='137', number='21967213', date=null, t1=29.033, t2=40.929, t3=54.826, total=124.788]
Counter[flat='60', number='21967979', date=null, t1=33.520, t2=39.421, t3=59.185, total=132.126]
Counter[flat='80', number='21967506', date=null, t1=50.000, t2=38.000, t3=45.000, total=133.000]
Counter[flat='57', number='21967809', date=null, t1=37.289, t2=41.801, t3=54.787, total=133.877]
Counter[flat='142', number='21968032', date=null, t1=41.193, t2=32.546, t3=60.710, total=134.449]
Counter[flat='115', number='21967511', date=null, t1=42.723, t2=31.429, t3=60.588, total=134.740]
Counter[flat='98', number='21967964', date=null, t1=43.399, t2=33.929, t3=59.276, total=136.604]
Counter[flat='140', number='21967475', date=null, t1=38.119, t2=33.666, t3=68.661, total=140.446]
Counter[flat='11', number='21949329', date=null, t1=35.584, t2=49.073, t3=57.830, total=142.487]
Counter[flat='47', number='21967923', date=null, t1=51.001, t2=25.424, t3=68.743, total=145.168]
Counter[flat='126', number='21949403', date=null, t1=43.906, t2=39.167, t3=63.747, total=146.820]
Counter[flat='62', number='21971329', date=null, t1=55.594, t2=32.932, t3=59.902, total=148.428]
Counter[flat='141', number='21967535', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='90', number='21968383', date=null, t1=49.145, t2=33.710, t3=69.448, total=152.303]
Counter[flat='125', number='21949344', date=null, t1=53.714, t2=37.379, t3=62.308, total=153.401]
Counter[flat='21', number='21968025', date=null, t1=48.259, t2=37.631, t3=70.197, total=156.087]
Counter[flat='43', number='21712964', date=null, t1=38.274, t2=64.743, t3=55.446, total=158.463]
Counter[flat='51', number='21666920', date=null, t1=56.007, t2=39.087, t3=64.423, total=159.517]
Counter[flat='132', number='21967848', date=null, t1=40.998, t2=59.006, t3=60.553, total=160.557]
Counter[flat='54', number='21666917', date=null, t1=51.857, t2=32.664, t3=76.636, total=161.157]
Counter[flat='96', number='21968073', date=null, t1=44.159, t2=32.150, t3=85.202, total=161.511]
Counter[flat='37', number='21666539', date=null, t1=51.641, t2=37.822, t3=73.584, total=163.047]
Counter[flat='15', number='21666510', date=null, t1=52.097, t2=46.526, t3=66.377, total=165.000]
Counter[flat='23', number='21967854', date=null, t1=71.651, t2=18.533, t3=76.718, total=166.902]
Counter[flat='113', number='21949380', date=null, t1=62.180, t2=39.821, t3=65.426, total=167.427]
Counter[flat='34', number='21712954', date=null, t1=55.921, t2=32.779, t3=84.429, total=173.129]
Counter[flat='78', number='40628580', date=null, t1=155.110, t2=25.000, t3=0.000, total=180.110]
Counter[flat='120', number='21967526', date=null, t1=49.114, t2=42.719, t3=89.438, total=181.271]
Counter[flat='56', number='21968075', date=null, t1=60.195, t2=48.258, t3=73.070, total=181.523]
Counter[flat='92', number='21967967', date=null, t1=49.420, t2=53.143, t3=83.510, total=186.073]
Counter[flat='114', number='21949338', date=null, t1=65.723, t2=39.350, t3=86.519, total=191.592]
Counter[flat='9', number='21948896', date=null, t1=70.835, t2=48.537, t3=79.874, total=199.246]
Counter[flat='10', number='21967590', date=null, t1=50.000, t2=50.000, t3=100.000, total=200.000]
Counter[flat='17', number='21968056', date=null, t1=95.000, t2=20.541, t3=85.000, total=200.541]
Counter[flat='40', number='21666557', date=null, t1=135.000, t2=70.000, t3=0.000, total=205.000]
Counter[flat='33', number='21948916', date=null, t1=100.000, t2=30.000, t3=75.000, total=205.000]
Counter[flat='63', number='21968441', date=null, t1=67.140, t2=51.344, t3=86.864, total=205.348]
Counter[flat='67', number='21967528', date=null, t1=70.701, t2=30.358, t3=104.919, total=205.978]
Counter[flat='28', number='21666499', date=null, t1=76.481, t2=72.059, t3=58.174, total=206.714]
Counter[flat='76', number='21968202', date=null, t1=55.864, t2=31.003, t3=123.062, total=209.929]
Counter[flat='129', number='21967906', date=null, t1=84.365, t2=40.870, t3=84.718, total=209.953]
Counter[flat='128', number='21968471', date=null, t1=59.243, t2=45.604, t3=107.512, total=212.359]
Counter[flat='81', number='21967486', date=null, t1=47.951, t2=106.693, t3=57.834, total=212.478]
Counter[flat='104', number='21971388', date=null, t1=70.082, t2=55.967, t3=90.261, total=216.310]
Counter[flat='130', number='21967952', date=null, t1=68.746, t2=55.664, t3=92.153, total=216.563]
Counter[flat='118', number='21971416', date=null, t1=67.278, t2=51.238, t3=99.090, total=217.606]
Counter[flat='82', number='21967513', date=null, t1=70.000, t2=30.000, t3=120.000, total=220.000]
Counter[flat='95', number='21967997', date=null, t1=98.665, t2=30.431, t3=102.469, total=231.565]
Counter[flat='36', number='21712963', date=null, t1=75.837, t2=50.180, t3=112.253, total=238.270]
Counter[flat='61', number='21968453', date=null, t1=74.217, t2=43.144, t3=122.123, total=239.484]
Counter[flat='93', number='21967981', date=null, t1=75.903, t2=44.272, t3=120.085, total=240.260]
Counter[flat='117', number='21967206', date=null, t1=76.179, t2=46.985, t3=124.753, total=247.917]
Counter[flat='16', number='21666895', date=null, t1=74.983, t2=67.779, t3=109.878, total=252.640]
Counter[flat='52', number='21666543', date=null, t1=67.694, t2=61.833, t3=125.645, total=255.172]
Counter[flat='144', number='21968041', date=null, t1=63.149, t2=93.665, t3=99.991, total=256.805]
Counter[flat='46', number='21967731', date=null, t1=85.000, t2=75.000, t3=100.000, total=260.000]
Counter[flat='18', number='21967958', date=null, t1=100.000, t2=50.000, t3=110.000, total=260.000]
Counter[flat='79', number='21967555', date=null, t1=88.451, t2=73.393, t3=100.834, total=262.678]
Counter[flat='7', number='21712970', date=null, t1=78.289, t2=75.297, t3=113.915, total=267.501]
Counter[flat='112', number='21971429', date=null, t1=95.700, t2=50.340, t3=123.851, total=269.891]
