Counter[flat='139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='60', number='21967979', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.891, t2=0.000, t3=1.068, total=1.959]
Counter[flat='62', number='21971329', date=null, t1=0.677, t2=0.005, t3=1.898, total=2.580]
Counter[flat='19', number='21967946', date=null, t1=3.216, t2=0.017, t3=6.818, total=10.051]
Counter[flat='5', number='21712960', date=null, t1=8.981, t2=9.878, t3=11.107, total=29.966]
Counter[flat='27', number='21666500', date=null, t1=9.077, t2=10.377, t3=11.754, total=31.208]
Counter[flat='17', number='21968056', date=null, t1=11.887, t2=8.638, t3=11.012, total=31.537]
Counter[flat='69', number='21967567', date=null, t1=9.301, t2=11.687, t3=12.584, total=33.572]
Counter[flat='108', number='21968246', date=null, t1=6.562, t2=0.000, t3=33.671, total=40.233]
Counter[flat='102', number='21968242', date=null, t1=12.020, t2=13.844, t3=15.438, total=41.302]
Counter[flat='76', number='21968202', date=null, t1=14.643, t2=11.775, t3=17.739, total=44.157]
Counter[flat='14', number='21967940', date=null, t1=13.594, t2=12.288, t3=18.730, total=44.612]
Counter[flat='41', number='21666577', date=null, t1=12.777, t2=14.618, t3=20.924, total=48.319]
Counter[flat='94', number='21967987', date=null, t1=16.516, t2=11.982, t3=20.313, total=48.811]
Counter[flat='45', number='21666907', date=null, t1=13.883, t2=17.826, t3=20.415, total=52.124]
Counter[flat='8', number='21967610', date=null, t1=18.012, t2=14.720, t3=19.973, total=52.705]
Counter[flat='48', number='21968079', date=null, t1=18.289, t2=15.977, t3=19.833, total=54.099]
Counter[flat='75', number='21968458', date=null, t1=20.010, t2=12.811, t3=21.657, total=54.478]
Counter[flat='68', number='21967522', date=null, t1=17.824, t2=18.039, t3=23.057, total=58.920]
Counter[flat='44', number='21967861', date=null, t1=14.604, t2=19.666, t3=26.893, total=61.163]
Counter[flat='101', number='21967802', date=null, t1=25.471, t2=13.725, t3=22.960, total=62.156]
Counter[flat='65', number='21968139', date=null, t1=21.529, t2=17.160, t3=24.943, total=63.632]
Counter[flat='124', number='21949405', date=null, t1=20.602, t2=18.220, t3=25.835, total=64.657]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='64', number='21968468', date=null, t1=19.330, t2=11.905, t3=34.163, total=65.398]
Counter[flat='51', number='21666920', date=null, t1=29.078, t2=12.680, t3=29.068, total=70.826]
Counter[flat='122', number='21949370', date=null, t1=17.248, t2=20.732, t3=34.751, total=72.731]
Counter[flat='20', number='21968040', date=null, t1=23.456, t2=24.421, t3=27.049, total=74.926]
Counter[flat='71', number='21967505', date=null, t1=19.461, t2=24.642, t3=31.919, total=76.022]
Counter[flat='73', number='21967479', date=null, t1=24.521, t2=20.739, t3=34.200, total=79.460]
Counter[flat='24', number='21968031', date=null, t1=25.021, t2=23.961, t3=31.385, total=80.367]
Counter[flat='43', number='21712964', date=null, t1=22.031, t2=24.742, t3=34.423, total=81.196]
Counter[flat='58', number='21967732', date=null, t1=23.665, t2=25.930, t3=31.685, total=81.280]
Counter[flat='38', number='21666552', date=null, t1=22.310, t2=13.668, t3=45.626, total=81.604]
Counter[flat='110', number='21949389', date=null, t1=28.389, t2=18.669, t3=36.407, total=83.465]
Counter[flat='143', number='21967509', date=null, t1=22.859, t2=18.304, t3=45.508, total=86.671]
Counter[flat='116', number='21968082', date=null, t1=28.231, t2=22.124, t3=37.661, total=88.016]
Counter[flat='131', number='21968035', date=null, t1=23.138, t2=32.627, t3=33.295, total=89.060]
Counter[flat='29', number='21667085', date=null, t1=30.019, t2=14.591, t3=47.173, total=91.783]
Counter[flat='103', number='21971417', date=null, t1=32.897, t2=23.061, t3=37.901, total=93.859]
Counter[flat='88', number='21967504', date=null, t1=27.248, t2=19.832, t3=48.164, total=95.244]
Counter[flat='86', number='21967885', date=null, t1=28.824, t2=18.564, t3=48.101, total=95.489]
Counter[flat='123', number='21949395', date=null, t1=38.937, t2=19.164, t3=38.765, total=96.866]
Counter[flat='39', number='21666569', date=null, t1=43.184, t2=15.812, t3=40.986, total=99.982]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='99', number='21968207', date=null, t1=33.602, t2=25.411, t3=41.314, total=100.327]
Counter[flat='80', number='21967506', date=null, t1=36.717, t2=28.507, t3=36.233, total=101.457]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='56', number='21968075', date=null, t1=29.106, t2=33.455, t3=43.119, total=105.680]
Counter[flat='118', number='21971416', date=null, t1=33.734, t2=33.576, t3=39.147, total=106.457]
Counter[flat='70', number='21967516', date=null, t1=28.307, t2=35.664, t3=43.915, total=107.886]
Counter[flat='10', number='21967590', date=null, t1=34.626, t2=34.007, t3=39.475, total=108.108]
Counter[flat='83', number='21968203', date=null, t1=32.743, t2=15.821, t3=61.926, total=110.490]
Counter[flat='84', number='21967477', date=null, t1=32.513, t2=28.863, t3=49.256, total=110.632]
Counter[flat='133', number='21967899', date=null, t1=36.984, t2=26.754, t3=47.998, total=111.736]
Counter[flat='11', number='21949329', date=null, t1=28.771, t2=36.288, t3=49.429, total=114.488]
Counter[flat='53', number='21666929', date=null, t1=45.374, t2=21.638, t3=48.973, total=115.985]
Counter[flat='3', number='21967585', date=null, t1=44.988, t2=22.390, t3=51.035, total=118.413]
Counter[flat='91', number='21968076', date=null, t1=33.553, t2=35.892, t3=49.390, total=118.835]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='23', number='21967854', date=null, t1=49.486, t2=16.537, t3=59.360, total=125.383]
Counter[flat='140', number='21967475', date=null, t1=38.934, t2=32.529, t3=54.845, total=126.308]
Counter[flat='26', number='21666497', date=null, t1=57.774, t2=16.794, t3=51.947, total=126.515]
Counter[flat='50', number='21666901', date=null, t1=34.671, t2=33.755, t3=58.918, total=127.344]
Counter[flat='47', number='21967923', date=null, t1=46.540, t2=29.297, t3=53.483, total=129.320]
Counter[flat='111', number='21949373', date=null, t1=48.579, t2=31.978, t3=49.725, total=130.282]
Counter[flat='135', number='21967542', date=null, t1=41.983, t2=35.348, t3=53.600, total=130.931]
Counter[flat='35', number='21948913', date=null, t1=34.198, t2=43.804, t3=53.511, total=131.513]
Counter[flat='34', number='21712954', date=null, t1=58.239, t2=23.640, t3=52.105, total=133.984]
Counter[flat='98', number='21967964', date=null, t1=49.856, t2=28.097, t3=57.125, total=135.078]
Counter[flat='32', number='21712993', date=null, t1=35.107, t2=36.500, t3=64.575, total=136.182]
Counter[flat='21', number='21968025', date=null, t1=53.201, t2=24.794, t3=59.357, total=137.352]
Counter[flat='81', number='21967486', date=null, t1=47.474, t2=32.932, t3=59.464, total=139.870]
Counter[flat='15', number='21666510', date=null, t1=46.240, t2=37.248, t3=58.614, total=142.102]
Counter[flat='142', number='21968032', date=null, t1=41.862, t2=46.184, t3=57.121, total=145.167]
Counter[flat='129', number='21967906', date=null, t1=50.202, t2=32.914, t3=65.540, total=148.656]
Counter[flat='119', number='21967973', date=null, t1=42.886, t2=43.164, t3=63.265, total=149.315]
Counter[flat='141', number='21967535', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='92', number='21967967', date=null, t1=42.776, t2=42.859, t3=67.847, total=153.482]
Counter[flat='137', number='21967213', date=null, t1=46.067, t2=45.714, t3=61.960, total=153.741]
