Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №92', number='21967967', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.008, total=0.008]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.039, total=0.039]
Counter[flat='Квартира №8', number='21967610', date=null, t1=0.154, t2=1.000, t3=0.006, total=1.160]
Counter[flat='Квартира №97', number='21967959', date=null, t1=7.336, t2=0.519, t3=6.546, total=14.401]
Counter[flat='Квартира №5', number='21712960', date=null, t1=5.395, t2=5.165, t3=6.291, total=16.851]
Counter[flat='Квартира №108', number='21968246', date=null, t1=5.465, t2=0.000, t3=16.655, total=22.120]
Counter[flat='Квартира №94', number='21967987', date=null, t1=7.189, t2=7.516, t3=9.706, total=24.411]
Counter[flat='Квартира №36', number='21712963', date=null, t1=7.882, t2=8.944, t3=10.329, total=27.155]
Counter[flat='Квартира №101', number='21967802', date=null, t1=9.034, t2=9.977, t3=11.651, total=30.662]
Counter[flat='Квартира №24', number='21968031', date=null, t1=9.027, t2=10.194, t3=11.903, total=31.124]
Counter[flat='Квартира №100', number='21967497', date=null, t1=9.743, t2=10.101, t3=12.351, total=32.195]
Counter[flat='Квартира №84', number='21967477', date=null, t1=10.087, t2=11.202, t3=13.323, total=34.612]
Counter[flat='Квартира №72', number='21967501', date=null, t1=10.894, t2=11.718, t3=13.186, total=35.798]
Counter[flat='Квартира №27', number='21666500', date=null, t1=13.628, t2=10.520, t3=16.806, total=40.954]
Counter[flat='Квартира №21', number='21968025', date=null, t1=11.142, t2=14.780, t3=17.573, total=43.495]
Counter[flat='Квартира №102', number='21968242', date=null, t1=13.369, t2=15.051, t3=17.280, total=45.700]
Counter[flat='Квартира №59', number='21968016', date=null, t1=17.578, t2=12.191, t3=20.780, total=50.549]
Counter[flat='Квартира №45', number='21666907', date=null, t1=10.960, t2=21.721, t3=23.682, total=56.363]
Counter[flat='Квартира №56', number='21968075', date=null, t1=16.403, t2=16.553, t3=26.875, total=59.831]
Counter[flat='Квартира №17', number='21968056', date=null, t1=18.642, t2=14.586, t3=26.654, total=59.882]
Counter[flat='Квартира №43', number='21712964', date=null, t1=14.727, t2=19.115, t3=26.371, total=60.213]
Counter[flat='Квартира №99', number='21968207', date=null, t1=17.659, t2=19.859, t3=22.943, total=60.461]
Counter[flat='Квартира №81', number='21967486', date=null, t1=18.421, t2=19.021, t3=25.765, total=63.207]
Counter[flat='Квартира №75', number='21968458', date=null, t1=31.310, t2=14.628, t3=20.403, total=66.341]
Counter[flat='Квартира №65', number='21968139', date=null, t1=24.431, t2=18.009, t3=27.230, total=69.670]
Counter[flat='Квартира №135', number='21967542', date=null, t1=24.594, t2=21.864, t3=23.668, total=70.126]
Counter[flat='Квартира №62', number='21971329', date=null, t1=17.871, t2=24.215, t3=28.281, total=70.367]
Counter[flat='Квартира №88', number='21967504', date=null, t1=21.740, t2=10.512, t3=40.218, total=72.470]
Counter[flat='Квартира №91', number='21968076', date=null, t1=21.939, t2=29.684, t3=26.259, total=77.882]
Counter[flat='Квартира №54', number='21666917', date=null, t1=22.366, t2=21.390, t3=34.487, total=78.243]
Counter[flat='Квартира №86', number='21967885', date=null, t1=28.493, t2=17.561, t3=32.366, total=78.420]
Counter[flat='Квартира №93', number='21967981', date=null, t1=25.858, t2=19.864, t3=32.737, total=78.459]
Counter[flat='Квартира №3', number='21967585', date=null, t1=28.473, t2=18.635, t3=34.123, total=81.231]
Counter[flat='Квартира №11', number='21949329', date=null, t1=21.661, t2=25.537, t3=36.627, total=83.825]
Counter[flat='Квартира №67', number='21967528', date=null, t1=22.741, t2=29.366, t3=32.855, total=84.962]
Counter[flat='Квартира №80', number='21967506', date=null, t1=25.405, t2=25.558, t3=34.570, total=85.533]
Counter[flat='Квартира №47', number='21967923', date=null, t1=27.458, t2=26.880, t3=32.143, total=86.481]
Counter[flat='Квартира №71', number='21967505', date=null, t1=19.617, t2=24.363, t3=43.201, total=87.181]
Counter[flat='Квартира №20', number='21968040', date=null, t1=36.351, t2=17.078, t3=33.756, total=87.185]
Counter[flat='Квартира №122', number='21949370', date=null, t1=38.117, t2=13.867, t3=35.981, total=87.965]
Counter[flat='Квартира №33', number='21948916', date=null, t1=27.131, t2=22.008, t3=38.938, total=88.077]
Counter[flat='Квартира №87', number='21967753', date=null, t1=29.759, t2=17.291, t3=42.902, total=89.952]
Counter[flat='Квартира №29', number='21667085', date=null, t1=33.647, t2=16.433, t3=41.522, total=91.602]
Counter[flat='Квартира №103', number='21971417', date=null, t1=34.180, t2=22.346, t3=35.645, total=92.171]
Counter[flat='Квартира №44', number='21967861', date=null, t1=23.069, t2=24.147, t3=45.178, total=92.394]
Counter[flat='Квартира №30', number='21667094', date=null, t1=33.018, t2=13.608, t3=51.246, total=97.872]
Counter[flat='Квартира №28', number='21666499', date=null, t1=32.319, t2=24.317, t3=41.288, total=97.924]
Counter[flat='Квартира №41', number='21666577', date=null, t1=30.171, t2=13.923, t3=53.894, total=97.988]
Counter[flat='Квартира №51', number='21666920', date=null, t1=46.729, t2=17.027, t3=35.039, total=98.795]
Counter[flat='Квартира №35', number='21948913', date=null, t1=18.102, t2=37.038, t3=43.906, total=99.046]
Counter[flat='Квартира №16', number='21666895', date=null, t1=37.673, t2=21.027, t3=40.351, total=99.051]
Counter[flat='Квартира №116', number='21968082', date=null, t1=33.753, t2=18.219, t3=47.454, total=99.426]
Counter[flat='Квартира №53', number='21666929', date=null, t1=31.069, t2=21.916, t3=47.969, total=100.954]
Counter[flat='Квартира №124', number='21949405', date=null, t1=30.429, t2=25.027, t3=46.229, total=101.685]
Counter[flat='Квартира №23', number='21967854', date=null, t1=43.023, t2=12.895, t3=48.957, total=104.875]
Counter[flat='Квартира №83', number='21968203', date=null, t1=31.718, t2=23.230, t3=51.883, total=106.831]
Counter[flat='Квартира №89', number='21967810', date=null, t1=35.323, t2=25.954, t3=48.001, total=109.278]
Counter[flat='Квартира №15', number='21666510', date=null, t1=35.166, t2=27.031, t3=49.231, total=111.428]
Counter[flat='Квартира №22', number='21968052', date=null, t1=49.962, t2=16.965, t3=44.784, total=111.711]
Counter[flat='Квартира №70', number='21967516', date=null, t1=30.929, t2=37.422, t3=45.432, total=113.783]
Counter[flat='Квартира №38', number='21666552', date=null, t1=45.242, t2=28.145, t3=41.945, total=115.332]
Counter[flat='Квартира №140', number='21967475', date=null, t1=36.712, t2=27.787, t3=52.352, total=116.851]
Counter[flat='Квартира №34', number='21712954', date=null, t1=48.650, t2=27.004, t3=44.656, total=120.310]
Counter[flat='Квартира №131', number='21968035', date=null, t1=38.070, t2=28.041, t3=55.075, total=121.186]
Counter[flat='Квартира №119', number='21967973', date=null, t1=51.037, t2=22.113, t3=48.643, total=121.793]
Counter[flat='Квартира №26', number='21666497', date=null, t1=37.825, t2=31.537, t3=56.779, total=126.141]
Counter[flat='Квартира №141', number='21967535', date=null, t1=36.929, t2=41.897, t3=50.109, total=128.935]
Counter[flat='Квартира №129', number='21967906', date=null, t1=49.326, t2=30.976, t3=51.299, total=131.601]
Counter[flat='Квартира №39', number='21666569', date=null, t1=47.645, t2=27.473, t3=59.121, total=134.239]
Counter[flat='Квартира №52', number='21666543', date=null, t1=41.590, t2=35.448, t3=59.398, total=136.436]
Counter[flat='Квартира №134', number='21967568', date=null, t1=37.528, t2=45.635, t3=54.718, total=137.881]
Counter[flat='Квартира №14', number='21967940', date=null, t1=41.644, t2=43.467, t3=52.881, total=137.992]
Counter[flat='Квартира №136', number='21967551', date=null, t1=48.686, t2=29.403, t3=61.486, total=139.575]
Counter[flat='Квартира №32', number='21712993', date=null, t1=41.075, t2=30.483, t3=72.030, total=143.588]
Counter[flat='Квартира №143', number='21967509', date=null, t1=69.289, t2=20.728, t3=57.601, total=147.618]
Counter[flat='Квартира №50', number='21666901', date=null, t1=63.267, t2=26.146, t3=61.594, total=151.007]
Counter[flat='Квартира №137', number='21967213', date=null, t1=50.872, t2=48.325, t3=56.066, total=155.263]
Counter[flat='Квартира №105', number='21971386', date=null, t1=69.632, t2=15.487, t3=74.712, total=159.831]
Counter[flat='Квартира №68', number='21967522', date=null, t1=52.868, t2=39.246, t3=67.966, total=160.080]
Counter[flat='Квартира №109', number='21949350', date=null, t1=51.776, t2=51.516, t3=56.874, total=160.166]
Counter[flat='Квартира №125', number='21949344', date=null, t1=63.964, t2=29.757, t3=69.849, total=163.570]
Counter[flat='Квартира №133', number='21967899', date=null, t1=75.688, t2=23.014, t3=70.811, total=169.513]
Counter[flat='Квартира №142', number='21968032', date=null, t1=59.515, t2=46.889, t3=63.597, total=170.001]
Counter[flat='Квартира №78', number='40628580', date=null, t1=133.668, t2=36.444, t3=0.000, total=170.112]
Counter[flat='Квартира №98', number='21967964', date=null, t1=76.671, t2=25.606, t3=68.364, total=170.641]
Counter[flat='Квартира №76', number='21968202', date=null, t1=54.103, t2=61.402, t3=62.077, total=177.582]
Counter[flat='Квартира №69', number='21967567', date=null, t1=59.969, t2=40.673, t3=80.208, total=180.850]
Counter[flat='Квартира №111', number='21949373', date=null, t1=54.907, t2=42.138, t3=84.298, total=181.343]
Counter[flat='Квартира №110', number='21949389', date=null, t1=50.420, t2=55.192, t3=81.843, total=187.455]
Counter[flat='Квартира №144', number='21968041', date=null, t1=71.598, t2=35.787, t3=80.999, total=188.384]
Counter[flat='Квартира №79', number='21967555', date=null, t1=61.490, t2=43.874, t3=84.685, total=190.049]
Counter[flat='Квартира №121', number='21971370', date=null, t1=73.084, t2=19.629, t3=102.193, total=194.906]
Counter[flat='Квартира №2', number='21949330', date=null, t1=59.364, t2=47.463, t3=91.527, total=198.354]
Counter[flat='Квартира №96', number='21968073', date=null, t1=55.158, t2=28.466, t3=117.360, total=200.984]
Counter[flat='Квартира №138', number='21967900', date=null, t1=64.950, t2=48.009, t3=88.561, total=201.520]
Counter[flat='Квартира №57', number='21967809', date=null, t1=64.354, t2=62.356, t3=77.432, total=204.142]
Counter[flat='Квартира №117', number='21967206', date=null, t1=62.484, t2=58.364, t3=84.988, total=205.836]
Counter[flat='Квартира №42', number='21666910', date=null, t1=83.018, t2=24.035, t3=100.743, total=207.796]
Counter[flat='Квартира №74', number='21968454', date=null, t1=70.297, t2=38.419, t3=101.837, total=210.553]
Counter[flat='Квартира №64', number='21968468', date=null, t1=83.443, t2=42.133, t3=85.325, total=210.901]
Counter[flat='Квартира №58', number='21967732', date=null, t1=79.928, t2=37.344, t3=94.628, total=211.900]
Counter[flat='Квартира №10', number='21967590', date=null, t1=55.472, t2=54.065, t3=108.798, total=218.335]
Counter[flat='Квартира №40', number='21666557', date=null, t1=81.352, t2=34.780, t3=103.240, total=219.372]
Counter[flat='Квартира №13', number='21967904', date=null, t1=101.141, t2=45.288, t3=76.946, total=223.375]
Counter[flat='Квартира №112', number='21971429', date=null, t1=92.254, t2=29.408, t3=101.737, total=223.399]
Counter[flat='Квартира №12', number='21948923', date=null, t1=77.006, t2=63.071, t3=84.733, total=224.810]
Counter[flat='Квартира №73', number='21967479', date=null, t1=77.104, t2=56.095, t3=98.448, total=231.647]
Counter[flat='Квартира №95', number='21967997', date=null, t1=77.687, t2=54.997, t3=99.336, total=232.020]
Counter[flat='Квартира №120', number='21967526', date=null, t1=65.618, t2=55.144, t3=112.715, total=233.477]
Counter[flat='Квартира №130', number='21967952', date=null, t1=68.485, t2=69.634, t3=102.545, total=240.664]
Counter[flat='Квартира №123', number='21949395', date=null, t1=103.084, t2=47.879, t3=102.048, total=253.011]
Counter[flat='Квартира №90', number='21968383', date=null, t1=84.393, t2=78.101, t3=94.742, total=257.236]
Counter[flat='Квартира №46', number='21967731', date=null, t1=102.738, t2=45.638, t3=109.026, total=257.402]
Counter[flat='Квартира №128', number='21968471', date=null, t1=74.974, t2=81.411, t3=102.237, total=258.622]
Counter[flat='Квартира №104', number='21971388', date=null, t1=110.964, t2=49.785, t3=104.254, total=265.003]
Counter[flat='Квартира №114', number='21949338', date=null, t1=102.877, t2=58.053, t3=119.399, total=280.329]
Counter[flat='Квартира №115', number='21967511', date=null, t1=90.008, t2=87.713, t3=113.778, total=291.499]
Counter[flat='Квартира №107', number='21971375', date=null, t1=84.655, t2=106.370, t3=109.186, total=300.211]
Counter[flat='Квартира №18', number='21967958', date=null, t1=108.688, t2=52.858, t3=152.082, total=313.628]
Counter[flat='Квартира №63', number='21968441', date=null, t1=122.431, t2=48.312, t3=150.724, total=321.467]
Counter[flat='Квартира №82', number='21967513', date=null, t1=100.499, t2=54.337, t3=169.472, total=324.308]
Counter[flat='Квартира №61', number='21968453', date=null, t1=142.753, t2=46.581, t3=151.324, total=340.658]
Counter[flat='Квартира №55', number='21967879', date=null, t1=116.560, t2=111.424, t3=160.451, total=388.435]
Counter[flat='Квартира №113', number='21949380', date=null, t1=123.077, t2=125.697, t3=148.510, total=397.284]
Counter[flat='Квартира №4', number='21967572', date=null, t1=115.112, t2=136.086, t3=146.763, total=397.961]
Counter[flat='Квартира №132', number='21967848', date=null, t1=145.353, t2=135.545, t3=135.003, total=415.901]
Counter[flat='Квартира №49', number='21666570', date=null, t1=148.760, t2=95.718, t3=180.923, total=425.401]
Counter[flat='Квартира №48', number='21968079', date=null, t1=143.138, t2=157.619, t3=219.256, total=520.013]
Counter[flat='Квартира №118', number='21971416', date=null, t1=163.618, t2=186.923, t3=220.511, total=571.052]
Counter[flat='Квартира №60', number='21967979', date=null, t1=219.372, t2=129.278, t3=229.280, total=577.930]
Counter[flat='Квартира №126', number='21949403', date=null, t1=199.860, t2=131.214, t3=252.877, total=583.951]
Counter[flat='Квартира №77', number='21968450', date=null, t1=173.235, t2=197.943, t3=235.137, total=606.315]
Counter[flat='Квартира №9', number='21948896', date=null, t1=228.536, t2=110.724, t3=270.158, total=609.418]
Counter[flat='Квартира №31', number='21712977', date=null, t1=222.445, t2=137.004, t3=279.681, total=639.130]
Counter[flat='Квартира №1', number='21666896', date=null, t1=247.679, t2=215.800, t3=399.453, total=862.932]
Counter[flat='Квартира №85', number='21967450', date=null, t1=283.340, t2=260.317, t3=381.491, total=925.148]
Counter[flat='Квартира №25', number='21667083', date=null, t1=347.666, t2=315.740, t3=412.174, total=1075.580]
Counter[flat='Квартира №7', number='21712970', date=null, t1=418.353, t2=417.145, t3=534.906, total=1370.404]
Counter[flat='Квартира №37', number='21666539', date=null, t1=414.486, t2=398.433, t3=577.955, total=1390.874]
Counter[flat='Квартира №127', number='21967896', date=null, t1=559.421, t2=568.809, t3=716.171, total=1844.401]
