Counter[flat='Квартира №83', number='21968203', date=null, t1=29.411, t2=20.803, t3=46.419, total=96.633]
Counter[flat='Квартира №70', number='21967516', date=null, t1=26.311, t2=31.410, t3=39.851, total=97.572]
Counter[flat='Квартира №78', number='40628580', date=null, t1=62.296, t2=35.891, t3=0.000, total=98.187]
Counter[flat='Квартира №44', number='21967861', date=null, t1=28.130, t2=36.648, t3=34.168, total=98.946]
Counter[flat='Квартира №143', number='21967509', date=null, t1=32.379, t2=13.714, t3=54.400, total=100.493]
Counter[flat='Квартира №119', number='21967973', date=null, t1=23.235, t2=33.016, t3=44.383, total=100.634]
Counter[flat='Квартира №4', number='21967572', date=null, t1=28.985, t2=25.146, t3=47.768, total=101.899]
Counter[flat='Квартира №23', number='21967854', date=null, t1=37.760, t2=13.414, t3=51.028, total=102.202]
Counter[flat='Квартира №24', number='21968031', date=null, t1=41.838, t2=23.925, t3=41.592, total=107.355]
Counter[flat='Квартира №33', number='21948916', date=null, t1=36.745, t2=17.347, t3=54.633, total=108.725]
Counter[flat='Квартира №59', number='21968016', date=null, t1=44.177, t2=20.207, t3=44.442, total=108.826]
Counter[flat='Квартира №130', number='21967952', date=null, t1=38.518, t2=30.773, t3=48.641, total=117.932]
Counter[flat='Квартира №32', number='21712993', date=null, t1=40.645, t2=23.457, t3=53.989, total=118.091]
Counter[flat='Квартира №15', number='21666510', date=null, t1=33.223, t2=28.501, t3=58.094, total=119.818]
Counter[flat='Квартира №68', number='21967522', date=null, t1=42.081, t2=23.485, t3=57.926, total=123.492]
Counter[flat='Квартира №26', number='21666497', date=null, t1=44.120, t2=29.234, t3=52.811, total=126.165]
Counter[flat='Квартира №73', number='21967479', date=null, t1=39.104, t2=26.802, t3=61.737, total=127.643]
Counter[flat='Квартира №61', number='21968453', date=null, t1=37.516, t2=34.838, t3=57.084, total=129.438]
Counter[flat='Квартира №34', number='21712954', date=null, t1=52.314, t2=23.820, t3=54.994, total=131.128]
Counter[flat='Квартира №136', number='21967551', date=null, t1=41.588, t2=33.509, t3=59.630, total=134.727]
Counter[flat='Квартира №69', number='21967567', date=null, t1=48.462, t2=22.880, t3=63.609, total=134.951]
Counter[flat='Квартира №76', number='21968202', date=null, t1=39.179, t2=45.848, t3=50.041, total=135.068]
Counter[flat='Квартира №29', number='21667085', date=null, t1=41.634, t2=28.663, t3=65.483, total=135.780]
Counter[flat='Квартира №21', number='21968025', date=null, t1=47.158, t2=20.346, t3=69.483, total=136.987]
Counter[flat='Квартира №22', number='21968052', date=null, t1=58.613, t2=26.098, t3=56.220, total=140.931]
Counter[flat='Квартира №98', number='21967964', date=null, t1=43.796, t2=34.954, t3=62.920, total=141.670]
Counter[flat='Квартира №50', number='21666901', date=null, t1=52.323, t2=27.267, t3=64.053, total=143.643]
Counter[flat='Квартира №110', number='21949389', date=null, t1=41.672, t2=38.590, t3=69.816, total=150.078]
Counter[flat='Квартира №2', number='21949330', date=null, t1=49.030, t2=38.488, t3=62.617, total=150.135]
Counter[flat='Квартира №141', number='21967535', date=null, t1=41.758, t2=42.047, t3=68.423, total=152.228]
Counter[flat='Квартира №134', number='21967568', date=null, t1=40.424, t2=39.618, t3=76.473, total=156.515]
Counter[flat='Квартира №58', number='21967732', date=null, t1=61.431, t2=38.754, t3=64.850, total=165.035]
Counter[flat='Квартира №63', number='21968441', date=null, t1=65.489, t2=35.398, t3=66.422, total=167.309]
Counter[flat='Квартира №57', number='21967809', date=null, t1=50.128, t2=51.654, t3=66.681, total=168.463]
Counter[flat='Квартира №79', number='21967555', date=null, t1=52.864, t2=38.301, t3=77.751, total=168.916]
Counter[flat='Квартира №104', number='21971388', date=null, t1=74.531, t2=26.064, t3=68.540, total=169.135]
Counter[flat='Квартира №133', number='21967899', date=null, t1=75.776, t2=19.443, t3=76.981, total=172.200]
Counter[flat='Квартира №121', number='21971370', date=null, t1=65.529, t2=24.758, t3=83.634, total=173.921]
Counter[flat='Квартира №137', number='21967213', date=null, t1=54.157, t2=51.453, t3=68.533, total=174.143]
Counter[flat='Квартира №109', number='21949350', date=null, t1=49.571, t2=56.074, t3=69.491, total=175.136]
Counter[flat='Квартира №129', number='21967906', date=null, t1=66.523, t2=38.457, t3=70.753, total=175.733]
Counter[flat='Квартира №52', number='21666543', date=null, t1=60.033, t2=44.407, t3=71.699, total=176.139]
Counter[flat='Квартира №123', number='21949395', date=null, t1=66.089, t2=36.990, t3=76.394, total=179.473]
Counter[flat='Квартира №42', number='21666910', date=null, t1=62.347, t2=32.063, t3=86.662, total=181.072]
Counter[flat='Квартира №115', number='21967511', date=null, t1=62.650, t2=49.778, t3=88.329, total=200.757]
Counter[flat='Квартира №120', number='21967526', date=null, t1=53.146, t2=50.721, t3=98.304, total=202.171]
Counter[flat='Квартира №90', number='21968383', date=null, t1=71.853, t2=47.175, t3=84.468, total=203.496]
Counter[flat='Квартира №9', number='21948896', date=null, t1=56.499, t2=90.262, t3=58.899, total=205.660]
Counter[flat='Квартира №114', number='21949338', date=null, t1=84.073, t2=36.719, t3=88.503, total=209.295]
Counter[flat='Квартира №118', number='21971416', date=null, t1=43.285, t2=53.391, t3=115.840, total=212.516]
Counter[flat='Квартира №10', number='21967590', date=null, t1=53.822, t2=67.005, t3=96.261, total=217.088]
Counter[flat='Квартира №96', number='21968073', date=null, t1=76.944, t2=57.825, t3=90.660, total=225.429]
Counter[flat='Квартира №112', number='21971429', date=null, t1=107.651, t2=30.799, t3=87.045, total=225.495]
Counter[flat='Квартира №82', number='21967513', date=null, t1=67.958, t2=32.247, t3=126.617, total=226.822]
