Counter[flat='67', number='21967528', date=null, t1=20.245, t2=34.170, t3=36.577, total=90.992]
Counter[flat='43', number='21712964', date=null, t1=23.060, t2=33.783, t3=35.193, total=92.036]
Counter[flat='21', number='21968025', date=null, t1=27.525, t2=13.745, t3=51.809, total=93.079]
Counter[flat='11', number='21949329', date=null, t1=33.487, t2=17.260, t3=42.431, total=93.178]
Counter[flat='33', number='21948916', date=null, t1=30.437, t2=18.636, t3=44.730, total=93.803]
Counter[flat='130', number='21967952', date=null, t1=30.491, t2=14.663, t3=49.503, total=94.657]
Counter[flat='80', number='21967506', date=null, t1=30.353, t2=23.256, t3=43.169, total=96.778]
Counter[flat='131', number='21968035', date=null, t1=25.887, t2=21.578, t3=49.799, total=97.264]
Counter[flat='51', number='21666920', date=null, t1=33.577, t2=13.650, t3=51.718, total=98.945]
Counter[flat='116', number='21968082', date=null, t1=25.308, t2=24.838, t3=52.070, total=102.216]
Counter[flat='62', number='21971329', date=null, t1=37.750, t2=10.950, t3=57.371, total=106.071]
Counter[flat='76', number='21968202', date=null, t1=30.373, t2=33.427, t3=45.047, total=108.847]
Counter[flat='118', number='21971416', date=null, t1=30.887, t2=35.221, t3=43.439, total=109.547]
Counter[flat='137', number='21967213', date=null, t1=32.183, t2=38.319, t3=39.367, total=109.869]
Counter[flat='141', number='21967535', date=null, t1=33.309, t2=30.673, t3=48.875, total=112.857]
Counter[flat='22', number='21968052', date=null, t1=45.352, t2=15.387, t3=52.246, total=112.985]
Counter[flat='30', number='21667094', date=null, t1=37.913, t2=15.072, t3=60.498, total=113.483]
Counter[flat='26', number='21666497', date=null, t1=32.306, t2=27.584, t3=53.932, total=113.822]
Counter[flat='134', number='21967568', date=null, t1=35.686, t2=23.170, t3=57.417, total=116.273]
Counter[flat='12', number='21948923', date=null, t1=29.651, t2=40.633, t3=46.871, total=117.155]
Counter[flat='129', number='21967906', date=null, t1=40.880, t2=22.809, t3=58.246, total=121.935]
Counter[flat='38', number='21666552', date=null, t1=35.037, t2=44.012, t3=43.453, total=122.502]
Counter[flat='143', number='21967509', date=null, t1=45.317, t2=22.572, t3=59.759, total=127.648]
Counter[flat='140', number='21967475', date=null, t1=44.477, t2=23.309, t3=63.975, total=131.761]
Counter[flat='32', number='21712993', date=null, t1=45.854, t2=23.219, t3=63.475, total=132.548]
Counter[flat='73', number='21967479', date=null, t1=30.100, t2=44.034, t3=58.455, total=132.589]
Counter[flat='9', number='21948896', date=null, t1=52.960, t2=25.432, t3=60.374, total=138.766]
Counter[flat='109', number='21949350', date=null, t1=46.124, t2=37.076, t3=56.607, total=139.807]
Counter[flat='79', number='21967555', date=null, t1=45.642, t2=22.347, t3=72.188, total=140.177]
Counter[flat='2', number='21949330', date=null, t1=41.912, t2=30.932, t3=67.380, total=140.224]
Counter[flat='68', number='21967522', date=null, t1=46.012, t2=35.251, t3=59.604, total=140.867]
Counter[flat='70', number='21967516', date=null, t1=40.696, t2=46.693, t3=53.945, total=141.334]
Counter[flat='74', number='21968454', date=null, t1=55.818, t2=34.245, t3=57.767, total=147.830]
Counter[flat='34', number='21712954', date=null, t1=46.506, t2=34.130, t3=68.419, total=149.055]
Counter[flat='78', number='21971325', date=null, t1=53.615, t2=33.609, t3=69.311, total=156.535]
Counter[flat='98', number='21967964', date=null, t1=58.590, t2=26.382, t3=75.237, total=160.209]
Counter[flat='63', number='21968441', date=null, t1=54.480, t2=18.816, t3=89.194, total=162.490]
Counter[flat='104', number='21971388', date=null, t1=66.896, t2=15.583, t3=81.751, total=164.230]
Counter[flat='58', number='21967732', date=null, t1=44.843, t2=36.286, t3=84.854, total=165.983]
Counter[flat='142', number='21968032', date=null, t1=54.032, t2=39.606, t3=73.640, total=167.278]
Counter[flat='61', number='21968453', date=null, t1=57.490, t2=43.081, t3=71.797, total=172.368]
Counter[flat='7', number='21712970', date=null, t1=55.374, t2=60.432, t3=64.888, total=180.694]
Counter[flat='144', number='21968041', date=null, t1=53.698, t2=35.241, t3=95.151, total=184.090]
Counter[flat='120', number='21967526', date=null, t1=51.164, t2=41.411, t3=91.656, total=184.231]
Counter[flat='72', number='21967501', date=null, t1=61.022, t2=66.754, t3=58.019, total=185.795]
Counter[flat='57', number='21967809', date=null, t1=53.571, t2=65.651, t3=70.091, total=189.313]
Counter[flat='138', number='21967900', date=null, t1=51.701, t2=35.663, t3=102.484, total=189.848]
Counter[flat='95', number='21967997', date=null, t1=72.241, t2=29.827, t3=96.087, total=198.155]
Counter[flat='128', number='21968471', date=null, t1=60.128, t2=57.827, t3=82.472, total=200.427]
Counter[flat='53', number='21666929', date=null, t1=52.816, t2=72.330, t3=75.439, total=200.585]
Counter[flat='117', number='21967206', date=null, t1=58.665, t2=51.815, t3=91.123, total=201.603]
Counter[flat='54', number='21666917', date=null, t1=66.859, t2=48.722, t3=86.744, total=202.325]
Counter[flat='114', number='21949338', date=null, t1=69.261, t2=24.565, t3=111.089, total=204.915]
Counter[flat='123', number='21949395', date=null, t1=49.162, t2=75.746, t3=86.171, total=211.079]
Counter[flat='8', number='21967610', date=null, t1=69.430, t2=37.812, t3=107.176, total=214.418]
Counter[flat='112', number='21971429', date=null, t1=65.595, t2=41.078, t3=109.656, total=216.329]
Counter[flat='111', number='21949373', date=null, t1=65.341, t2=45.707, t3=109.725, total=220.773]
Counter[flat='82', number='21967513', date=null, t1=65.943, t2=33.821, t3=121.701, total=221.465]
Counter[flat='48', number='21968079', date=null, t1=89.289, t2=25.461, t3=108.988, total=223.738]
Counter[flat='18', number='21967958', date=null, t1=77.788, t2=49.135, t3=103.360, total=230.283]
Counter[flat='125', number='21949344', date=null, t1=76.940, t2=56.393, t3=114.680, total=248.013]
Counter[flat='55', number='21967879', date=null, t1=69.613, t2=62.389, t3=117.732, total=249.734]
Counter[flat='115', number='21967511', date=null, t1=76.112, t2=56.896, t3=122.474, total=255.482]
Counter[flat='113', number='21949380', date=null, t1=84.029, t2=78.073, t3=95.429, total=257.531]
Counter[flat='46', number='21967731', date=null, t1=116.464, t2=37.686, t3=122.393, total=276.543]
Counter[flat='77', number='21968450', date=null, t1=83.997, t2=103.306, t3=108.351, total=295.654]
Counter[flat='49', number='21666570', date=null, t1=98.968, t2=79.521, t3=128.994, total=307.483]
Counter[flat='52', number='21666543', date=null, t1=97.943, t2=85.015, t3=162.618, total=345.576]
Counter[flat='126', number='21949403', date=null, t1=125.489, t2=84.231, t3=174.092, total=383.812]
Counter[flat='85', number='21967450', date=null, t1=185.152, t2=120.893, t3=196.683, total=502.728]
Counter[flat='31', number='21712977', date=null, t1=163.846, t2=96.729, t3=245.517, total=506.092]
Counter[flat='25', number='21667083', date=null, t1=203.103, t2=142.866, t3=291.980, total=637.949]
Counter[flat='1', number='21666896', date=null, t1=195.647, t2=146.158, t3=332.515, total=674.320]
Counter[flat='60', number='21967979', date=null, t1=237.968, t2=165.041, t3=299.309, total=702.318]
Counter[flat='37', number='21666539', date=null, t1=213.429, t2=209.224, t3=322.700, total=745.353]
Counter[flat='127', number='21967896', date=null, t1=260.362, t2=258.948, t3=356.898, total=876.208]
