Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.094, total=0.094]
Counter[flat='139', number='21967531', date=null, t1=2.177, t2=0.931, t3=1.731, total=4.839]
Counter[flat='143', number='21967509', date=null, t1=8.151, t2=0.000, t3=17.056, total=25.207]
Counter[flat='12', number='21948923', date=null, t1=9.339, t2=10.591, t3=12.043, total=31.973]
Counter[flat='58', number='21967732', date=null, t1=11.261, t2=12.947, t3=14.803, total=39.011]
Counter[flat='102', number='21968242', date=null, t1=12.302, t2=13.972, t3=17.410, total=43.684]
Counter[flat='20', number='21968040', date=null, t1=13.257, t2=14.983, t3=18.104, total=46.344]
Counter[flat='107', number='21971375', date=null, t1=13.814, t2=15.163, t3=17.836, total=46.813]
Counter[flat='17', number='21968056', date=null, t1=11.133, t2=19.555, t3=19.555, total=50.243]
Counter[flat='45', number='21666907', date=null, t1=15.572, t2=16.870, t3=20.643, total=53.085]
Counter[flat='5', number='21712960', date=null, t1=18.725, t2=13.441, t3=21.754, total=53.920]
Counter[flat='108', number='21968246', date=null, t1=6.853, t2=0.000, t3=49.266, total=56.119]
Counter[flat='73', number='21967479', date=null, t1=16.721, t2=17.661, t3=25.513, total=59.895]
Counter[flat='65', number='21968139', date=null, t1=22.936, t2=15.899, t3=23.090, total=61.925]
Counter[flat='27', number='21666500', date=null, t1=20.834, t2=13.596, t3=27.512, total=61.942]
Counter[flat='32', number='21712993', date=null, t1=21.512, t2=18.323, t3=23.987, total=63.822]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='42', number='21666910', date=null, t1=27.958, t2=15.770, t3=25.424, total=69.152]
Counter[flat='75', number='21968458', date=null, t1=24.699, t2=16.947, t3=28.274, total=69.920]
Counter[flat='35', number='21948913', date=null, t1=18.731, t2=33.726, t3=21.643, total=74.100]
Counter[flat='91', number='21968076', date=null, t1=24.150, t2=25.774, t3=24.966, total=74.890]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='38', number='21666552', date=null, t1=23.047, t2=15.289, t3=36.884, total=75.220]
Counter[flat='56', number='21968075', date=null, t1=24.754, t2=26.607, t3=30.778, total=82.139]
Counter[flat='41', number='21666577', date=null, t1=29.501, t2=14.769, t3=40.787, total=85.057]
Counter[flat='83', number='21968203', date=null, t1=30.888, t2=16.724, t3=37.742, total=85.354]
Counter[flat='116', number='21968082', date=null, t1=24.191, t2=26.188, t3=35.735, total=86.114]
Counter[flat='68', number='21967522', date=null, t1=25.134, t2=27.525, t3=34.461, total=87.120]
Counter[flat='43', number='21712964', date=null, t1=22.048, t2=27.553, t3=39.437, total=89.038]
Counter[flat='124', number='21949405', date=null, t1=28.837, t2=24.410, t3=40.086, total=93.333]
Counter[flat='44', number='21967861', date=null, t1=32.389, t2=21.766, t3=40.059, total=94.214]
Counter[flat='133', number='21967899', date=null, t1=32.904, t2=23.770, t3=38.193, total=94.867]
Counter[flat='99', number='21968207', date=null, t1=25.947, t2=17.006, t3=51.929, total=94.882]
Counter[flat='3', number='21967585', date=null, t1=38.566, t2=17.137, t3=40.278, total=95.981]
Counter[flat='88', number='21967504', date=null, t1=33.955, t2=13.819, t3=51.170, total=98.944]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='21', number='21968025', date=null, t1=32.419, t2=21.251, t3=46.885, total=100.555]
Counter[flat='122', number='21949370', date=null, t1=34.147, t2=27.207, t3=41.465, total=102.819]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='125', number='21949344', date=null, t1=48.718, t2=17.217, t3=39.085, total=105.020]
Counter[flat='71', number='21967505', date=null, t1=29.624, t2=25.734, t3=56.322, total=111.680]
Counter[flat='50', number='21666901', date=null, t1=31.116, t2=32.658, t3=50.740, total=114.514]
Counter[flat='131', number='21968035', date=null, t1=36.304, t2=35.707, t3=46.238, total=118.249]
Counter[flat='110', number='21949389', date=null, t1=45.727, t2=22.214, t3=50.797, total=118.738]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='51', number='21666920', date=null, t1=55.400, t2=16.867, t3=49.840, total=122.107]
Counter[flat='70', number='21967516', date=null, t1=31.871, t2=43.030, t3=47.817, total=122.718]
Counter[flat='76', number='21968202', date=null, t1=44.915, t2=24.397, t3=57.745, total=127.057]
Counter[flat='135', number='21967542', date=null, t1=46.573, t2=21.869, t3=59.382, total=127.824]
Counter[flat='103', number='21971417', date=null, t1=47.836, t2=28.679, t3=57.807, total=134.322]
Counter[flat='84', number='21967477', date=null, t1=37.342, t2=30.782, t3=67.832, total=135.956]
Counter[flat='101', number='21967802', date=null, t1=57.898, t2=19.051, t3=59.708, total=136.657]
Counter[flat='2', number='21949330', date=null, t1=42.559, t2=40.183, t3=54.319, total=137.061]
Counter[flat='15', number='21666510', date=null, t1=51.749, t2=34.816, t3=52.764, total=139.329]
Counter[flat='24', number='21968031', date=null, t1=37.857, t2=52.459, t3=49.322, total=139.638]
Counter[flat='23', number='21967854', date=null, t1=55.684, t2=15.441, t3=69.192, total=140.317]
Counter[flat='59', number='21968016', date=null, t1=64.598, t2=22.484, t3=53.419, total=140.501]
Counter[flat='53', number='21666929', date=null, t1=53.213, t2=25.493, t3=66.089, total=144.795]
Counter[flat='78', number='40628580', date=null, t1=120.000, t2=25.000, t3=0.000, total=145.000]
Counter[flat='80', number='21967506', date=null, t1=50.435, t2=38.164, t3=57.018, total=145.617]
Counter[flat='26', number='21666497', date=null, t1=68.497, t2=19.535, t3=58.850, total=146.882]
Counter[flat='98', number='21967964', date=null, t1=53.329, t2=33.603, t3=60.392, total=147.324]
Counter[flat='94', number='21967987', date=null, t1=51.789, t2=24.850, t3=70.737, total=147.376]
Counter[flat='137', number='21967213', date=null, t1=37.397, t2=44.594, t3=65.445, total=147.436]
Counter[flat='111', number='21949373', date=null, t1=57.617, t2=25.118, t3=64.957, total=147.692]
Counter[flat='129', number='21967906', date=null, t1=56.776, t2=34.527, t3=57.537, total=148.840]
Counter[flat='47', number='21967923', date=null, t1=55.756, t2=27.041, t3=66.964, total=149.761]
Counter[flat='141', number='21967535', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='29', number='21667085', date=null, t1=52.864, t2=25.781, t3=71.924, total=150.569]
Counter[flat='64', number='21968468', date=null, t1=55.023, t2=32.766, t3=67.182, total=154.971]
Counter[flat='109', number='21949350', date=null, t1=51.202, t2=52.471, t3=56.619, total=160.292]
Counter[flat='34', number='21712954', date=null, t1=72.989, t2=28.495, t3=62.998, total=164.482]
