Counter[flat='Квартира №23', number='21967854', date=null, t1=47.204, t2=17.560, t3=52.051, total=116.815]
Counter[flat='Квартира №107', number='21971375', date=null, t1=31.261, t2=43.674, t3=43.856, total=118.791]
Counter[flat='Квартира №87', number='21967753', date=null, t1=37.236, t2=21.367, t3=60.428, total=119.031]
Counter[flat='Квартира №3', number='21967585', date=null, t1=60.228, t2=21.853, t3=40.324, total=122.405]
Counter[flat='Квартира №16', number='21666895', date=null, t1=46.808, t2=24.290, t3=54.687, total=125.785]
Counter[flat='Квартира №141', number='21967535', date=null, t1=36.425, t2=38.606, t3=51.968, total=126.999]
Counter[flat='Квартира №26', number='21666497', date=null, t1=36.582, t2=34.041, t3=56.645, total=127.268]
Counter[flat='Квартира №21', number='21968025', date=null, t1=46.099, t2=21.740, t3=62.213, total=130.052]
Counter[flat='Квартира №32', number='21712993', date=null, t1=44.663, t2=26.252, t3=59.392, total=130.307]
Counter[flat='Квартира №44', number='21967861', date=null, t1=32.637, t2=48.379, t3=50.886, total=131.902]
Counter[flat='Квартира №131', number='21968035', date=null, t1=35.709, t2=46.299, t3=50.630, total=132.638]
Counter[flat='Квартира №8', number='21967610', date=null, t1=40.023, t2=48.329, t3=48.085, total=136.437]
Counter[flat='Квартира №15', number='21666510', date=null, t1=46.018, t2=35.305, t3=55.234, total=136.557]
Counter[flat='Квартира №129', number='21967906', date=null, t1=50.461, t2=33.310, t3=54.648, total=138.419]
Counter[flat='Квартира №119', number='21967973', date=null, t1=43.600, t2=38.638, t3=62.898, total=145.136]
Counter[flat='Квартира №22', number='21968052', date=null, t1=64.372, t2=24.629, t3=56.240, total=145.241]
Counter[flat='Квартира №52', number='21666543', date=null, t1=44.209, t2=36.646, t3=67.677, total=148.532]
Counter[flat='Квартира №76', number='21968202', date=null, t1=50.615, t2=40.301, t3=60.803, total=151.719]
Counter[flat='Квартира №134', number='21967568', date=null, t1=40.368, t2=38.020, t3=76.014, total=154.402]
Counter[flat='Квартира №118', number='21971416', date=null, t1=32.947, t2=39.484, t3=86.122, total=158.553]
Counter[flat='Квартира №48', number='21968079', date=null, t1=58.813, t2=46.240, t3=53.933, total=158.986]
Counter[flat='Квартира №80', number='21967506', date=null, t1=39.811, t2=60.091, t3=61.453, total=161.355]
Counter[flat='Квартира №137', number='21967213', date=null, t1=46.330, t2=42.671, t3=73.674, total=162.675]
Counter[flat='Квартира №33', number='21948916', date=null, t1=60.308, t2=27.859, t3=78.976, total=167.143]
Counter[flat='Квартира №98', number='21967964', date=null, t1=59.614, t2=31.124, t3=86.527, total=177.265]
Counter[flat='Квартира №78', number='40628580', date=null, t1=100.696, t2=76.776, t3=0.000, total=177.472]
Counter[flat='Квартира №50', number='21666901', date=null, t1=67.166, t2=33.929, t3=76.981, total=178.076]
Counter[flat='Квартира №2', number='21949330', date=null, t1=57.808, t2=43.947, t3=79.031, total=180.786]
Counter[flat='Квартира №120', number='21967526', date=null, t1=54.141, t2=40.872, t3=86.677, total=181.690]
Counter[flat='Квартира №68', number='21967522', date=null, t1=66.290, t2=32.218, t3=83.817, total=182.325]
Counter[flat='Квартира №79', number='21967555', date=null, t1=58.851, t2=36.970, t3=89.153, total=184.974]
Counter[flat='Квартира №24', number='21968031', date=null, t1=85.885, t2=31.755, t3=68.049, total=185.689]
Counter[flat='Квартира №42', number='21666910', date=null, t1=71.442, t2=24.726, t3=90.044, total=186.212]
Counter[flat='Квартира №130', number='21967952', date=null, t1=62.291, t2=47.193, t3=78.596, total=188.080]
Counter[flat='Квартира №61', number='21968453', date=null, t1=55.167, t2=47.917, t3=89.210, total=192.294]
Counter[flat='Квартира №136', number='21967551', date=null, t1=67.628, t2=52.856, t3=72.618, total=193.102]
Counter[flat='Квартира №110', number='21949389', date=null, t1=47.293, t2=53.474, t3=92.795, total=193.562]
Counter[flat='Квартира №121', number='21971370', date=null, t1=68.151, t2=20.992, t3=104.463, total=193.606]
Counter[flat='Квартира №69', number='21967567', date=null, t1=67.793, t2=34.987, t3=91.833, total=194.613]
Counter[flat='Квартира №46', number='21967731', date=null, t1=58.779, t2=44.174, t3=92.113, total=195.066]
Counter[flat='Квартира №104', number='21971388', date=null, t1=87.723, t2=28.053, t3=82.482, total=198.258]
Counter[flat='Квартира №63', number='21968441', date=null, t1=87.629, t2=29.153, t3=83.416, total=200.198]
Counter[flat='Квартира №109', number='21949350', date=null, t1=64.952, t2=57.270, t3=79.927, total=202.149]
Counter[flat='Квартира №58', number='21967732', date=null, t1=70.837, t2=47.343, t3=90.263, total=208.443]
Counter[flat='Квартира №57', number='21967809', date=null, t1=61.980, t2=66.798, t3=82.371, total=211.149]
Counter[flat='Квартира №133', number='21967899', date=null, t1=88.190, t2=25.489, t3=97.651, total=211.330]
Counter[flat='Квартира №90', number='21968383', date=null, t1=80.060, t2=34.322, t3=103.541, total=217.923]
Counter[flat='Квартира №117', number='21967206', date=null, t1=69.069, t2=52.692, t3=97.486, total=219.247]
Counter[flat='Квартира №64', number='21968468', date=null, t1=88.191, t2=42.919, t3=92.441, total=223.551]
Counter[flat='Квартира №132', number='21967848', date=null, t1=86.982, t2=46.368, t3=94.279, total=227.629]
Counter[flat='Квартира №67', number='21967528', date=null, t1=70.325, t2=41.367, t3=119.010, total=230.702]
Counter[flat='Квартира №114', number='21949338', date=null, t1=79.189, t2=41.499, t3=111.564, total=232.252]
Counter[flat='Квартира №12', number='21948923', date=null, t1=74.092, t2=69.672, t3=89.219, total=232.983]
Counter[flat='Квартира №142', number='21968032', date=null, t1=60.831, t2=55.485, t3=127.346, total=243.662]
Counter[flat='Квартира №115', number='21967511', date=null, t1=76.184, t2=56.221, t3=113.462, total=245.867]
Counter[flat='Квартира №10', number='21967590', date=null, t1=65.472, t2=78.692, t3=104.159, total=248.323]
