Counter[flat='Квартира №71', number='21967505', date=null, t1=40.213, t2=22.180, t3=63.639, total=126.032]
Counter[flat='Квартира №69', number='21967567', date=null, t1=45.509, t2=33.489, t3=50.630, total=129.628]
Counter[flat='Квартира №136', number='21967551', date=null, t1=36.803, t2=31.303, t3=62.866, total=130.972]
Counter[flat='Квартира №4', number='21967572', date=null, t1=33.593, t2=38.028, t3=60.391, total=132.012]
Counter[flat='Квартира №116', number='21968082', date=null, t1=37.777, t2=39.015, t3=59.695, total=136.487]
Counter[flat='Квартира №30', number='21667094', date=null, t1=39.505, t2=30.571, t3=67.751, total=137.827]
Counter[flat='Квартира №137', number='21967213', date=null, t1=38.972, t2=47.647, t3=54.503, total=141.122]
Counter[flat='Квартира №41', number='21666577', date=null, t1=37.567, t2=23.909, t3=82.244, total=143.720]
Counter[flat='Квартира №64', number='21968468', date=null, t1=46.685, t2=42.696, t3=58.513, total=147.894]
Counter[flat='Квартира №119', number='21967973', date=null, t1=49.769, t2=48.716, t3=51.011, total=149.496]
Counter[flat='Квартира №55', number='21967879', date=null, t1=37.820, t2=48.723, t3=65.812, total=152.355]
Counter[flat='Квартира №123', number='21949395', date=null, t1=50.216, t2=38.780, t3=64.900, total=153.896]
Counter[flat='Квартира №74', number='21968454', date=null, t1=41.889, t2=37.797, t3=75.696, total=155.382]
Counter[flat='Квартира №89', number='21967810', date=null, t1=53.674, t2=42.337, t3=62.088, total=158.099]
Counter[flat='Квартира №21', number='21968025', date=null, t1=47.038, t2=51.353, t3=64.791, total=163.182]
Counter[flat='Квартира №138', number='21967900', date=null, t1=52.140, t2=42.736, t3=77.472, total=172.348]
Counter[flat='Квартира №46', number='21967731', date=null, t1=61.393, t2=46.785, t3=68.044, total=176.222]
Counter[flat='Квартира №132', number='21967848', date=null, t1=52.868, t2=59.980, t3=64.559, total=177.407]
Counter[flat='Квартира №144', number='21968041', date=null, t1=58.889, t2=48.715, t3=71.166, total=178.770]
Counter[flat='Квартира №109', number='21949350', date=null, t1=57.390, t2=48.864, t3=73.560, total=179.814]
Counter[flat='Квартира №14', number='21967940', date=null, t1=55.552, t2=44.500, t3=80.122, total=180.174]
Counter[flat='Квартира №33', number='21948916', date=null, t1=49.388, t2=65.550, t3=65.326, total=180.264]
Counter[flat='Квартира №53', number='21666929', date=null, t1=58.898, t2=33.066, t3=88.784, total=180.748]
Counter[flat='Квартира №142', number='21968032', date=null, t1=60.305, t2=56.257, t3=64.376, total=180.938]
Counter[flat='Квартира №32', number='21712993', date=null, t1=49.400, t2=34.820, t3=97.585, total=181.805]
Counter[flat='Квартира №2', number='21949330', date=null, t1=59.108, t2=46.348, t3=81.588, total=187.044]
Counter[flat='Квартира №79', number='21967555', date=null, t1=75.752, t2=29.422, t3=90.397, total=195.571]
Counter[flat='Квартира №113', number='21949380', date=null, t1=69.310, t2=51.125, t3=76.560, total=196.995]
