Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.011, t2=0.000, t3=0.000, total=0.011]
Counter[flat='100', number='21967497', date=null, t1=0.865, t2=0.000, t3=0.165, total=1.030]
Counter[flat='6', number='21712947', date=null, t1=0.515, t2=0.574, t3=0.916, total=2.005]
Counter[flat='108', number='21968246', date=null, t1=0.323, t2=0.000, t3=1.865, total=2.188]
Counter[flat='111', number='21949373', date=null, t1=1.154, t2=1.317, t3=1.485, total=3.956]
Counter[flat='12', number='21948923', date=null, t1=3.928, t2=4.417, t3=5.090, total=13.435]
Counter[flat='139', number='21967531', date=null, t1=4.544, t2=3.605, t3=5.996, total=14.145]
Counter[flat='102', number='21968242', date=null, t1=6.528, t2=7.474, t3=8.187, total=22.189]
Counter[flat='5', number='21712960', date=null, t1=9.469, t2=8.625, t3=10.756, total=28.850]
Counter[flat='143', number='21967509', date=null, t1=6.339, t2=0.000, t3=28.244, total=34.583]
Counter[flat='58', number='21967732', date=null, t1=10.851, t2=12.356, t3=14.006, total=37.213]
Counter[flat='39', number='21666569', date=null, t1=10.215, t2=1.155, t3=28.364, total=39.734]
Counter[flat='45', number='21666907', date=null, t1=12.609, t2=13.529, t3=17.582, total=43.720]
Counter[flat='73', number='21967479', date=null, t1=13.863, t2=14.054, t3=17.400, total=45.317]
Counter[flat='124', number='21949405', date=null, t1=13.382, t2=16.660, t3=18.272, total=48.314]
Counter[flat='35', number='21948913', date=null, t1=9.966, t2=19.829, t3=18.831, total=48.626]
Counter[flat='107', number='21971375', date=null, t1=13.019, t2=20.122, t3=16.102, total=49.243]
Counter[flat='75', number='21968458', date=null, t1=17.308, t2=11.895, t3=23.227, total=52.430]
Counter[flat='65', number='21968139', date=null, t1=21.335, t2=14.121, t3=18.226, total=53.682]
Counter[flat='27', number='21666500', date=null, t1=18.022, t2=12.790, t3=23.103, total=53.915]
Counter[flat='88', number='21967504', date=null, t1=19.511, t2=8.803, t3=26.509, total=54.823]
Counter[flat='17', number='21968056', date=null, t1=21.650, t2=17.600, t3=17.600, total=56.850]
Counter[flat='42', number='21666910', date=null, t1=22.267, t2=14.317, t3=21.711, total=58.295]
Counter[flat='68', number='21967522', date=null, t1=17.710, t2=19.760, t3=21.849, total=59.319]
Counter[flat='91', number='21968076', date=null, t1=17.553, t2=22.002, t3=21.081, total=60.636]
Counter[flat='11', number='21949329', date=null, t1=17.363, t2=20.873, t3=25.177, total=63.413]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='135', number='21967542', date=null, t1=20.942, t2=15.414, t3=29.455, total=65.811]
Counter[flat='99', number='21968207', date=null, t1=24.573, t2=14.219, t3=27.140, total=65.932]
Counter[flat='38', number='21666552', date=null, t1=22.187, t2=15.392, t3=28.967, total=66.546]
Counter[flat='71', number='21967505', date=null, t1=20.639, t2=15.308, t3=31.621, total=67.568]
Counter[flat='116', number='21968082', date=null, t1=19.468, t2=19.696, t3=30.398, total=69.562]
Counter[flat='3', number='21967585', date=null, t1=27.489, t2=16.952, t3=28.566, total=73.007]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='24', number='21968031', date=null, t1=25.775, t2=18.210, t3=31.653, total=75.638]
Counter[flat='110', number='21949389', date=null, t1=24.423, t2=12.231, t3=39.857, total=76.511]
Counter[flat='140', number='21967475', date=null, t1=27.039, t2=18.892, t3=30.926, total=76.857]
Counter[flat='30', number='21667094', date=null, t1=25.286, t2=23.217, t3=30.316, total=78.819]
Counter[flat='20', number='21968040', date=null, t1=30.787, t2=15.525, t3=33.318, total=79.630]
Counter[flat='41', number='21666577', date=null, t1=25.296, t2=15.453, t3=39.511, total=80.260]
Counter[flat='83', number='21968203', date=null, t1=27.395, t2=12.615, t3=40.504, total=80.514]
Counter[flat='43', number='21712964', date=null, t1=22.791, t2=20.992, t3=38.394, total=82.177]
Counter[flat='21', number='21968025', date=null, t1=37.669, t2=14.972, t3=32.861, total=85.502]
Counter[flat='22', number='21968052', date=null, t1=30.986, t2=23.506, t3=31.176, total=85.668]
Counter[flat='84', number='21967477', date=null, t1=24.554, t2=22.066, t3=39.277, total=85.897]
Counter[flat='90', number='21968383', date=null, t1=32.398, t2=17.987, t3=36.222, total=86.607]
Counter[flat='32', number='21712993', date=null, t1=31.641, t2=23.764, t3=32.011, total=87.416]
Counter[flat='51', number='21666920', date=null, t1=40.736, t2=14.333, t3=32.737, total=87.806]
Counter[flat='118', number='21971416', date=null, t1=29.658, t2=24.179, t3=35.675, total=89.512]
Counter[flat='119', number='21967973', date=null, t1=26.562, t2=26.319, t3=39.043, total=91.924]
Counter[flat='103', number='21971417', date=null, t1=34.140, t2=21.300, t3=39.226, total=94.666]
Counter[flat='48', number='21968079', date=null, t1=32.470, t2=25.524, t3=38.676, total=96.670]
Counter[flat='80', number='21967506', date=null, t1=32.010, t2=28.582, t3=39.072, total=99.664]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='133', number='21967899', date=null, t1=33.483, t2=20.833, t3=47.617, total=101.933]
Counter[flat='131', number='21968035', date=null, t1=30.972, t2=32.368, t3=38.688, total=102.028]
Counter[flat='2', number='21949330', date=null, t1=31.706, t2=30.636, t3=40.511, total=102.853]
Counter[flat='23', number='21967854', date=null, t1=43.200, t2=14.981, t3=46.030, total=104.211]
Counter[flat='76', number='21968202', date=null, t1=39.011, t2=17.857, t3=47.653, total=104.521]
Counter[flat='53', number='21666929', date=null, t1=36.712, t2=18.901, t3=49.290, total=104.903]
Counter[flat='122', number='21949370', date=null, t1=36.187, t2=22.505, t3=46.232, total=104.924]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='56', number='21968075', date=null, t1=30.306, t2=31.345, t3=43.765, total=105.416]
Counter[flat='70', number='21967516', date=null, t1=29.063, t2=36.420, t3=42.797, total=108.280]
Counter[flat='125', number='21949344', date=null, t1=36.415, t2=27.859, t3=45.164, total=109.438]
Counter[flat='101', number='21967802', date=null, t1=51.448, t2=17.491, t3=42.681, total=111.620]
Counter[flat='44', number='21967861', date=null, t1=39.511, t2=28.601, t3=43.523, total=111.635]
Counter[flat='109', number='21949350', date=null, t1=37.984, t2=34.459, t3=44.212, total=116.655]
Counter[flat='63', number='21968441', date=null, t1=47.688, t2=21.459, t3=47.893, total=117.040]
Counter[flat='15', number='21666510', date=null, t1=44.469, t2=26.710, t3=45.892, total=117.071]
Counter[flat='26', number='21666497', date=null, t1=56.856, t2=19.559, t3=41.471, total=117.886]
Counter[flat='94', number='21967987', date=null, t1=42.257, t2=16.984, t3=58.875, total=118.116]
Counter[flat='47', number='21967923', date=null, t1=49.059, t2=17.522, t3=51.738, total=118.319]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='64', number='21968468', date=null, t1=49.462, t2=22.725, t3=48.328, total=120.515]
Counter[flat='129', number='21967906', date=null, t1=47.665, t2=30.541, t3=44.276, total=122.482]
Counter[flat='98', number='21967964', date=null, t1=43.923, t2=27.659, t3=53.456, total=125.038]
Counter[flat='50', number='21666901', date=null, t1=35.371, t2=46.039, t3=44.944, total=126.354]
Counter[flat='78', number='40628580', date=null, t1=105.903, t2=22.636, t3=0.000, total=128.539]
Counter[flat='117', number='21967206', date=null, t1=44.232, t2=25.021, t3=65.317, total=134.570]
Counter[flat='130', number='21967952', date=null, t1=57.041, t2=26.727, t3=51.821, total=135.589]
Counter[flat='79', number='21967555', date=null, t1=52.384, t2=32.261, t3=55.544, total=140.189]
Counter[flat='92', number='21967967', date=null, t1=41.351, t2=43.284, t3=56.563, total=141.198]
