Counter[flat='Квартира №116', number='21968082', date=null, t1=30.382, t2=20.331, t3=37.363, total=88.076]
Counter[flat='Квартира №80', number='21967506', date=null, t1=27.108, t2=26.056, t3=34.954, total=88.118]
Counter[flat='Квартира №51', number='21666920', date=null, t1=36.770, t2=15.508, t3=36.540, total=88.818]
Counter[flat='Квартира №62', number='21971329', date=null, t1=32.960, t2=13.439, t3=45.119, total=91.518]
Counter[flat='Квартира №124', number='21949405', date=null, t1=30.223, t2=22.522, t3=39.476, total=92.221]
Counter[flat='Квартира №15', number='21666510', date=null, t1=31.302, t2=19.833, t3=41.186, total=92.321]
Counter[flat='Квартира №128', number='21968471', date=null, t1=29.060, t2=27.386, t3=35.941, total=92.387]
Counter[flat='Квартира №72', number='21967501', date=null, t1=32.078, t2=29.006, t3=31.855, total=92.939]
Counter[flat='Квартира №83', number='21968203', date=null, t1=24.725, t2=27.134, t3=46.738, total=98.597]
Counter[flat='Квартира №105', number='21971386', date=null, t1=39.544, t2=13.473, t3=45.929, total=98.946]
Counter[flat='Квартира №134', number='21967568', date=null, t1=22.903, t2=36.558, t3=39.837, total=99.298]
Counter[flat='Квартира №38', number='21666552', date=null, t1=26.852, t2=27.368, t3=45.548, total=99.768]
Counter[flat='Квартира №110', number='21949389', date=null, t1=26.963, t2=30.546, t3=42.372, total=99.881]
Counter[flat='Квартира №103', number='21971417', date=null, t1=35.565, t2=22.787, t3=42.012, total=100.364]
Counter[flat='Квартира №111', number='21949373', date=null, t1=22.781, t2=34.875, t3=48.910, total=106.566]
Counter[flat='Квартира №34', number='21712954', date=null, t1=39.793, t2=26.541, t3=41.547, total=107.881]
Counter[flat='Квартира №57', number='21967809', date=null, t1=34.030, t2=30.447, t3=43.750, total=108.227]
Counter[flat='Квартира №33', number='21948916', date=null, t1=38.300, t2=25.330, t3=44.624, total=108.254]
Counter[flat='Квартира №121', number='21971370', date=null, t1=38.906, t2=21.677, t3=48.984, total=109.567]
Counter[flat='Квартира №21', number='21968025', date=null, t1=31.090, t2=29.792, t3=51.630, total=112.512]
Counter[flat='Квартира №79', number='21967555', date=null, t1=34.532, t2=24.403, t3=55.534, total=114.469]
Counter[flat='Квартира №26', number='21666497', date=null, t1=33.529, t2=26.750, t3=54.796, total=115.075]
Counter[flat='Квартира №4', number='21967572', date=null, t1=34.035, t2=34.166, t3=47.757, total=115.958]
Counter[flat='Квартира №14', number='21967940', date=null, t1=44.537, t2=22.196, t3=49.384, total=116.117]
Counter[flat='Квартира №129', number='21967906', date=null, t1=39.754, t2=27.446, t3=49.290, total=116.490]
Counter[flat='Квартира №143', number='21967509', date=null, t1=40.425, t2=24.902, t3=51.941, total=117.268]
Counter[flat='Квартира №50', number='21666901', date=null, t1=39.994, t2=30.264, t3=47.335, total=117.593]
Counter[flat='Квартира №63', number='21968441', date=null, t1=37.063, t2=15.746, t3=65.237, total=118.046]
Counter[flat='Квартира №109', number='21949350', date=null, t1=38.996, t2=39.665, t3=42.927, total=121.588]
Counter[flat='Квартира №76', number='21968202', date=null, t1=33.884, t2=41.294, t3=47.170, total=122.348]
Counter[flat='Квартира №32', number='21712993', date=null, t1=42.811, t2=26.997, t3=52.799, total=122.607]
Counter[flat='Квартира №137', number='21967213', date=null, t1=39.895, t2=41.347, t3=43.240, total=124.482]
Counter[flat='Квартира №120', number='21967526', date=null, t1=40.079, t2=33.314, t3=52.121, total=125.514]
Counter[flat='Квартира №68', number='21967522', date=null, t1=31.175, t2=43.069, t3=53.099, total=127.343]
Counter[flat='Квартира №58', number='21967732', date=null, t1=50.545, t2=28.794, t3=52.692, total=132.031]
Counter[flat='Квартира №39', number='21666569', date=null, t1=49.071, t2=27.560, t3=57.129, total=133.760]
Counter[flat='Квартира №133', number='21967899', date=null, t1=59.709, t2=19.692, t3=54.768, total=134.169]
Counter[flat='Квартира №2', number='21949330', date=null, t1=46.154, t2=31.629, t3=57.330, total=135.113]
Counter[flat='Квартира №16', number='21666895', date=null, t1=47.754, t2=27.040, t3=64.070, total=138.864]
Counter[flat='Квартира №52', number='21666543', date=null, t1=46.166, t2=39.200, t3=55.074, total=140.440]
Counter[flat='Квартира №54', number='21666917', date=null, t1=52.435, t2=37.584, t3=50.984, total=141.003]
Counter[flat='Квартира №138', number='21967900', date=null, t1=48.790, t2=28.464, t3=64.166, total=141.420]
Counter[flat='Квартира №27', number='21666500', date=null, t1=51.963, t2=17.954, t3=73.421, total=143.338]
Counter[flat='Квартира №142', number='21968032', date=null, t1=42.646, t2=35.027, t3=65.933, total=143.606]
Counter[flat='Квартира №113', number='21949380', date=null, t1=47.334, t2=47.061, t3=50.173, total=144.568]
Counter[flat='Квартира №117', number='21967206', date=null, t1=38.576, t2=42.550, t3=65.853, total=146.979]
Counter[flat='Квартира №141', number='21967535', date=null, t1=37.481, t2=53.560, t3=56.801, total=147.842]
Counter[flat='Квартира №132', number='21967848', date=null, t1=54.996, t2=33.800, t3=59.755, total=148.551]
Counter[flat='Квартира №123', number='21949395', date=null, t1=62.577, t2=30.176, t3=56.129, total=148.882]
