Месяц/Потребитель;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь_21;февраль_21;март_21;апрель_21;май_21;июнь_21;июль_21;август_21;сентябрь_21;октябрь_21;ноябрь_21;декабрь_21;январь_22;февраль_22;март_22;апрель_22;май_22;июнь_22;июль_22;август_22;сентябрь_22;октябрь_22;ноябрь_22;декабрь_22;январь_23;февраль_23;март_23;апрель_23
Дом (Выставили);123820,21;134891,26;138349,58;151732,64;132480,28;149224,14;199525,33;177696,37;184130,94;222063,86;204454,29;169764,43;178820,4;157013,59;149582,62;176356,26;162451,12;192711,9;192711,9;188889,27;212139,74;199268,2;169766,66;184689,87;188785,04;145296,28;159698,4;175482,0;173778,74;203662,47;152631,46;184386,29;241059,95;147941,37;204614,83;204769,59;0,0
Дом (Оплатили)
Паркинг (Выставили);26699,72;19353,55;26474,4;28008,56;27111,37;28376,45;31371,54;27079;30058,33;30878,21;25611,16;24868,47;22626,06;19360,8;15066,76;13997,53;14881,03;16116,28;16116,28;19385,17;25441,36;27587,36;24635,68;26564,86;27167,4;20631,14;22373,93;14981,79;12896;20391,27;21946,62;24914,36;37746,07;55721,94;30320,99;31081,03;0,0
Паркинг (Оплатили)
