Counter[flat='Квартира №78', number='40628580', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.003, t2=0.000, t3=0.000, total=0.003]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.019, total=0.019]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.182, t2=0.000, t3=0.812, total=0.994]
Counter[flat='Квартира №97', number='21967959', date=null, t1=4.203, t2=0.761, t3=4.680, total=9.644]
Counter[flat='Квартира №108', number='21968246', date=null, t1=3.280, t2=0.031, t3=7.939, total=11.250]
Counter[flat='Квартира №102', number='21968242', date=null, t1=6.702, t2=7.804, t3=9.264, total=23.770]
Counter[flat='Квартира №36', number='21712963', date=null, t1=7.181, t2=8.171, t3=8.894, total=24.246]
Counter[flat='Квартира №140', number='21967475', date=null, t1=7.048, t2=8.109, t3=11.597, total=26.754]
Counter[flat='Квартира №5', number='21712960', date=null, t1=8.088, t2=9.342, t3=10.111, total=27.541]
Counter[flat='Квартира №99', number='21968207', date=null, t1=11.422, t2=11.357, t3=14.359, total=37.138]
Counter[flat='Квартира №100', number='21967497', date=null, t1=14.014, t2=9.989, t3=13.577, total=37.580]
Counter[flat='Квартира №38', number='21666552', date=null, t1=12.234, t2=7.063, t3=19.308, total=38.605]
Counter[flat='Квартира №94', number='21967987', date=null, t1=13.533, t2=13.310, t3=13.738, total=40.581]
Counter[flat='Квартира №92', number='21967967', date=null, t1=10.045, t2=14.089, t3=17.094, total=41.228]
Counter[flat='Квартира №45', number='21666907', date=null, t1=9.425, t2=17.188, t3=17.223, total=43.836]
Counter[flat='Квартира №51', number='21666920', date=null, t1=18.482, t2=12.076, t3=17.124, total=47.682]
Counter[flat='Квартира №63', number='21968441', date=null, t1=16.605, t2=11.817, t3=22.764, total=51.186]
Counter[flat='Квартира №53', number='21666929', date=null, t1=14.491, t2=16.819, t3=20.029, total=51.339]
Counter[flat='Квартира №62', number='21971329', date=null, t1=15.049, t2=18.806, t3=18.730, total=52.585]
Counter[flat='Квартира №20', number='21968040', date=null, t1=20.221, t2=13.400, t3=19.742, total=53.363]
Counter[flat='Квартира №41', number='21666577', date=null, t1=17.701, t2=11.358, t3=25.498, total=54.557]
Counter[flat='Квартира №134', number='21967568', date=null, t1=16.001, t2=18.714, t3=20.875, total=55.590]
Counter[flat='Квартира №81', number='21967486', date=null, t1=16.304, t2=17.435, t3=22.113, total=55.852]
Counter[flat='Квартира №17', number='21968056', date=null, t1=19.750, t2=16.989, t3=20.407, total=57.146]
Counter[flat='Квартира №75', number='21968458', date=null, t1=18.540, t2=12.218, t3=27.536, total=58.294]
Counter[flat='Квартира №88', number='21967504', date=null, t1=18.197, t2=7.812, t3=35.255, total=61.264]
Counter[flat='Квартира №124', number='21949405', date=null, t1=20.036, t2=17.900, t3=24.298, total=62.234]
Counter[flat='Квартира №101', number='21967802', date=null, t1=25.183, t2=12.289, t3=24.998, total=62.470]
Counter[flat='Квартира №84', number='21967477', date=null, t1=14.808, t2=14.463, t3=33.416, total=62.687]
Counter[flat='Квартира №65', number='21968139', date=null, t1=19.443, t2=20.207, t3=23.679, total=63.329]
Counter[flat='Квартира №91', number='21968076', date=null, t1=17.821, t2=25.697, t3=19.938, total=63.456]
Counter[flat='Квартира №14', number='21967940', date=null, t1=22.665, t2=22.089, t3=21.642, total=66.396]
Counter[flat='Квартира №93', number='21967981', date=null, t1=18.974, t2=19.315, t3=28.548, total=66.837]
Counter[flat='Квартира №47', number='21967923', date=null, t1=19.470, t2=18.798, t3=28.683, total=66.951]
Counter[flat='Квартира №54', number='21666917', date=null, t1=18.769, t2=19.739, t3=28.766, total=67.274]
Counter[flat='Квартира №11', number='21949329', date=null, t1=16.768, t2=20.480, t3=30.980, total=68.228]
Counter[flat='Квартира №89', number='21967810', date=null, t1=22.504, t2=19.275, t3=27.021, total=68.800]
Counter[flat='Квартира №71', number='21967505', date=null, t1=17.271, t2=19.812, t3=32.919, total=70.002]
Counter[flat='Квартира №68', number='21967522', date=null, t1=23.079, t2=18.610, t3=30.694, total=72.383]
Counter[flat='Квартира №44', number='21967861', date=null, t1=21.803, t2=22.078, t3=30.200, total=74.081]
Counter[flat='Квартира №27', number='21666500', date=null, t1=24.895, t2=12.423, t3=37.580, total=74.898]
Counter[flat='Квартира №8', number='21967610', date=null, t1=27.217, t2=23.352, t3=30.623, total=81.192]
Counter[flat='Квартира №103', number='21971417', date=null, t1=29.092, t2=20.125, t3=33.354, total=82.571]
Counter[flat='Квартира №131', number='21968035', date=null, t1=22.947, t2=28.863, t3=31.083, total=82.893]
Counter[flat='Квартира №136', number='21967551', date=null, t1=38.345, t2=16.553, t3=29.311, total=84.209]
Counter[flat='Квартира №16', number='21666895', date=null, t1=31.847, t2=19.220, t3=33.857, total=84.924]
Counter[flat='Квартира №32', number='21712993', date=null, t1=29.553, t2=20.013, t3=36.018, total=85.584]
Counter[flat='Квартира №83', number='21968203', date=null, t1=22.027, t2=22.614, t3=41.235, total=85.876]
Counter[flat='Квартира №116', number='21968082', date=null, t1=20.662, t2=26.709, t3=39.111, total=86.482]
Counter[flat='Квартира №39', number='21666569', date=null, t1=37.262, t2=23.462, t3=25.903, total=86.627]
Counter[flat='Квартира №70', number='21967516', date=null, t1=23.392, t2=32.702, t3=31.699, total=87.793]
Counter[flat='Квартира №3', number='21967585', date=null, t1=37.412, t2=17.058, t3=33.744, total=88.214]
Counter[flat='Квартира №86', number='21967885', date=null, t1=35.905, t2=15.591, t3=37.000, total=88.496]
Counter[flat='Квартира №135', number='21967542', date=null, t1=26.544, t2=30.826, t3=31.585, total=88.955]
Counter[flat='Квартира №24', number='21968031', date=null, t1=30.901, t2=19.852, t3=38.277, total=89.030]
Counter[flat='Квартира №122', number='21949370', date=null, t1=34.388, t2=13.567, t3=41.743, total=89.698]
Counter[flat='Квартира №117', number='21967206', date=null, t1=28.834, t2=25.214, t3=40.026, total=94.074]
Counter[flat='Квартира №43', number='21712964', date=null, t1=24.747, t2=34.997, t3=35.004, total=94.748]
Counter[flat='Квартира №23', number='21967854', date=null, t1=39.877, t2=12.056, t3=43.417, total=95.350]
Counter[flat='Квартира №111', number='21949373', date=null, t1=27.061, t2=25.626, t3=43.758, total=96.445]
