Counter[flat='Квартира №23', number='21967854', date=null, t1=45.531, t2=14.207, t3=56.160, total=115.898]
Counter[flat='Квартира №54', number='21666917', date=null, t1=35.624, t2=28.588, t3=51.874, total=116.086]
Counter[flat='Квартира №76', number='21968202', date=null, t1=35.669, t2=36.247, t3=44.699, total=116.615]
Counter[flat='Квартира №4', number='21967572', date=null, t1=30.807, t2=42.330, t3=44.382, total=117.519]
Counter[flat='Квартира №70', number='21967516', date=null, t1=29.983, t2=41.183, t3=46.754, total=117.920]
Counter[flat='Квартира №34', number='21712954', date=null, t1=48.266, t2=26.988, t3=43.285, total=118.539]
Counter[flat='Квартира №122', number='21949370', date=null, t1=46.619, t2=19.406, t3=53.502, total=119.527]
Counter[flat='Квартира №32', number='21712993', date=null, t1=41.922, t2=25.063, t3=53.649, total=120.634]
Counter[flat='Квартира №22', number='21968052', date=null, t1=55.457, t2=19.070, t3=52.339, total=126.866]
Counter[flat='Квартира №21', number='21968025', date=null, t1=44.303, t2=22.819, t3=66.364, total=133.486]
Counter[flat='Квартира №131', number='21968035', date=null, t1=36.971, t2=49.104, t3=47.623, total=133.698]
Counter[flat='Квартира №119', number='21967973', date=null, t1=33.043, t2=40.219, t3=60.696, total=133.958]
Counter[flat='Квартира №118', number='21971416', date=null, t1=33.925, t2=30.411, t3=72.260, total=136.596]
Counter[flat='Квартира №48', number='21968079', date=null, t1=51.305, t2=38.629, t3=49.322, total=139.256]
Counter[flat='Квартира №141', number='21967535', date=null, t1=37.321, t2=40.862, t3=61.363, total=139.546]
Counter[flat='Квартира №78', number='40628580', date=null, t1=87.490, t2=52.372, t3=0.000, total=139.862]
Counter[flat='Квартира №129', number='21967906', date=null, t1=51.030, t2=33.118, t3=55.772, total=139.920]
Counter[flat='Квартира №124', number='21949405', date=null, t1=42.788, t2=35.877, t3=62.986, total=141.651]
Counter[flat='Квартира №15', number='21666510', date=null, t1=44.876, t2=38.342, t3=62.060, total=145.278]
Counter[flat='Квартира №35', number='21948913', date=null, t1=32.147, t2=62.149, t3=53.559, total=147.855]
Counter[flat='Квартира №33', number='21948916', date=null, t1=51.715, t2=28.588, t3=70.511, total=150.814]
Counter[flat='Квартира №52', number='21666543', date=null, t1=45.375, t2=37.720, t3=68.410, total=151.505]
Counter[flat='Квартира №80', number='21967506', date=null, t1=40.694, t2=61.521, t3=50.423, total=152.638]
Counter[flat='Квартира №68', number='21967522', date=null, t1=53.373, t2=34.734, t3=67.561, total=155.668]
Counter[flat='Квартира №50', number='21666901', date=null, t1=54.970, t2=28.170, t3=73.776, total=156.916]
Counter[flat='Квартира №137', number='21967213', date=null, t1=43.642, t2=56.228, t3=59.504, total=159.374]
Counter[flat='Квартира №98', number='21967964', date=null, t1=60.338, t2=31.344, t3=74.220, total=165.902]
Counter[flat='Квартира №121', number='21971370', date=null, t1=60.264, t2=22.356, t3=83.735, total=166.355]
Counter[flat='Квартира №2', number='21949330', date=null, t1=51.971, t2=42.844, t3=74.560, total=169.375]
Counter[flat='Квартира №136', number='21967551', date=null, t1=55.500, t2=45.709, t3=69.186, total=170.395]
Counter[flat='Квартира №104', number='21971388', date=null, t1=77.587, t2=24.241, t3=72.886, total=174.714]
Counter[flat='Квартира №42', number='21666910', date=null, t1=69.688, t2=30.976, t3=82.204, total=182.868]
Counter[flat='Квартира №79', number='21967555', date=null, t1=63.155, t2=36.071, t3=88.609, total=187.835]
Counter[flat='Квартира №110', number='21949389', date=null, t1=50.926, t2=54.887, t3=83.094, total=188.907]
Counter[flat='Квартира №130', number='21967952', date=null, t1=59.985, t2=44.970, t3=85.894, total=190.849]
Counter[flat='Квартира №57', number='21967809', date=null, t1=58.200, t2=64.271, t3=69.403, total=191.874]
Counter[flat='Квартира №69', number='21967567', date=null, t1=68.488, t2=32.257, t3=91.936, total=192.681]
