Counter[flat='Квартира №131', number='21968035', date=null, t1=37.057, t2=43.864, t3=46.093, total=127.014]
Counter[flat='Квартира №22', number='21968052', date=null, t1=57.184, t2=23.330, t3=48.139, total=128.653]
Counter[flat='Квартира №4', number='21967572', date=null, t1=36.783, t2=39.448, t3=53.716, total=129.947]
Counter[flat='Квартира №32', number='21712993', date=null, t1=43.166, t2=27.154, t3=59.762, total=130.082]
Counter[flat='Квартира №15', number='21666510', date=null, t1=44.933, t2=31.942, t3=54.581, total=131.456]
Counter[flat='Квартира №43', number='21712964', date=null, t1=32.336, t2=51.270, t3=49.880, total=133.486]
Counter[flat='Квартира №44', number='21967861', date=null, t1=35.965, t2=42.565, t3=55.334, total=133.864]
Counter[flat='Квартира №8', number='21967610', date=null, t1=45.330, t2=36.771, t3=58.754, total=140.855]
Counter[flat='Квартира №117', number='21967206', date=null, t1=41.785, t2=35.200, t3=64.999, total=141.984]
Counter[flat='Квартира №113', number='21949380', date=null, t1=47.499, t2=43.210, t3=52.573, total=143.282]
Counter[flat='Квартира №21', number='21968025', date=null, t1=50.935, t2=26.637, t3=69.547, total=147.119]
Counter[flat='Квартира №111', number='21949373', date=null, t1=44.467, t2=36.988, t3=66.962, total=148.417]
Counter[flat='Квартира №80', number='21967506', date=null, t1=41.714, t2=54.368, t3=52.580, total=148.662]
Counter[flat='Квартира №129', number='21967906', date=null, t1=53.509, t2=36.875, t3=58.785, total=149.169]
Counter[flat='Квартира №34', number='21712954', date=null, t1=61.027, t2=37.457, t3=52.260, total=150.744]
Counter[flat='Квартира №142', number='21968032', date=null, t1=48.923, t2=46.941, t3=62.196, total=158.060]
Counter[flat='Квартира №110', number='21949389', date=null, t1=47.178, t2=38.107, t3=73.837, total=159.122]
Counter[flat='Квартира №137', number='21967213', date=null, t1=44.783, t2=50.336, t3=66.285, total=161.404]
Counter[flat='Квартира №72', number='21967501', date=null, t1=41.894, t2=38.113, t3=82.508, total=162.515]
Counter[flat='Квартира №46', number='21967731', date=null, t1=56.079, t2=38.319, t3=68.168, total=162.566]
Counter[flat='Квартира №119', number='21967973', date=null, t1=48.154, t2=44.925, t3=71.474, total=164.553]
Counter[flat='Квартира №69', number='21967567', date=null, t1=57.155, t2=34.318, t3=74.225, total=165.698]
Counter[flat='Квартира №76', number='21968202', date=null, t1=51.770, t2=67.074, t3=49.097, total=167.941]
Counter[flat='Квартира №98', number='21967964', date=null, t1=70.795, t2=30.796, t3=71.676, total=173.267]
Counter[flat='Квартира №57', number='21967809', date=null, t1=51.911, t2=50.114, t3=71.897, total=173.922]
Counter[flat='Квартира №30', number='21667094', date=null, t1=61.091, t2=33.961, t3=79.139, total=174.191]
Counter[flat='Квартира №2', number='21949330', date=null, t1=57.473, t2=43.753, t3=75.501, total=176.727]
Counter[flat='Квартира №105', number='21971386', date=null, t1=59.585, t2=27.417, t3=92.885, total=179.887]
Counter[flat='Квартира №79', number='21967555', date=null, t1=56.364, t2=37.180, t3=92.518, total=186.062]
Counter[flat='Квартира №144', number='21968041', date=null, t1=66.569, t2=36.450, t3=86.816, total=189.835]
Counter[flat='Квартира №141', number='21967535', date=null, t1=62.606, t2=41.457, t3=87.429, total=191.492]
Counter[flat='Квартира №58', number='21967732', date=null, t1=61.847, t2=49.817, t3=81.700, total=193.364]
Counter[flat='Квартира №90', number='21968383', date=null, t1=74.685, t2=36.929, t3=86.783, total=198.397]
Counter[flat='Квартира №104', number='21971388', date=null, t1=85.296, t2=30.865, t3=82.278, total=198.439]
Counter[flat='Квартира №138', number='21967900', date=null, t1=76.227, t2=42.297, t3=80.864, total=199.388]
Counter[flat='Квартира №77', number='21968450', date=null, t1=54.008, t2=70.767, t3=75.475, total=200.250]
Counter[flat='Квартира №33', number='21948916', date=null, t1=61.536, t2=49.195, t3=89.583, total=200.314]
Counter[flat='Квартира №130', number='21967952', date=null, t1=58.837, t2=51.709, t3=90.787, total=201.333]
Counter[flat='Квартира №128', number='21968471', date=null, t1=64.630, t2=63.180, t3=83.372, total=211.182]
Counter[flat='Квартира №56', number='21968075', date=null, t1=58.248, t2=61.834, t3=93.099, total=213.181]
Counter[flat='Квартира №10', number='21967590', date=null, t1=45.667, t2=68.482, t3=99.295, total=213.444]
Counter[flat='Квартира №120', number='21967526', date=null, t1=62.040, t2=47.495, t3=104.352, total=213.887]
Counter[flat='Квартира №38', number='21666552', date=null, t1=71.552, t2=52.526, t3=89.908, total=213.986]
Counter[flat='Квартира №16', number='21666895', date=null, t1=67.616, t2=48.785, t3=101.484, total=217.885]
Counter[flat='Квартира №96', number='21968073', date=null, t1=56.428, t2=33.835, t3=128.360, total=218.623]
Counter[flat='Квартира №132', number='21967848', date=null, t1=84.235, t2=54.275, t3=82.267, total=220.777]
Counter[flat='Квартира №52', number='21666543', date=null, t1=64.707, t2=81.503, t3=74.623, total=220.833]
Counter[flat='Квартира №123', number='21949395', date=null, t1=91.127, t2=47.985, t3=81.807, total=220.919]
Counter[flat='Квартира №109', number='21949350', date=null, t1=79.861, t2=55.635, t3=87.354, total=222.850]
Counter[flat='Квартира №121', number='21971370', date=null, t1=88.881, t2=28.303, t3=109.853, total=227.037]
Counter[flat='Квартира №64', number='21968468', date=null, t1=74.824, t2=48.977, t3=108.329, total=232.130]
Counter[flat='Квартира №18', number='21967958', date=null, t1=83.426, t2=48.879, t3=112.969, total=245.274]
Counter[flat='Квартира №78', number='40628580', date=null, t1=186.812, t2=58.872, t3=0.000, total=245.684]
Counter[flat='Квартира №48', number='21968079', date=null, t1=88.677, t2=70.479, t3=88.143, total=247.299]
Counter[flat='Квартира №12', number='21948923', date=null, t1=79.053, t2=77.375, t3=96.100, total=252.528]
Counter[flat='Квартира №13', number='21967904', date=null, t1=78.687, t2=87.821, t3=95.912, total=262.420]
Counter[flat='Квартира №112', number='21971429', date=null, t1=107.677, t2=37.761, t3=118.194, total=263.632]
Counter[flat='Квартира №118', number='21971416', date=null, t1=84.750, t2=67.148, t3=113.126, total=265.024]
Counter[flat='Квартира №95', number='21967997', date=null, t1=94.344, t2=62.251, t3=109.008, total=265.603]
Counter[flat='Квартира №67', number='21967528', date=null, t1=99.339, t2=46.195, t3=125.979, total=271.513]
Counter[flat='Квартира №82', number='21967513', date=null, t1=88.789, t2=38.858, t3=156.711, total=284.358]
Counter[flat='Квартира №133', number='21967899', date=null, t1=136.755, t2=30.498, t3=134.173, total=301.426]
Counter[flat='Квартира №9', number='21948896', date=null, t1=92.392, t2=137.147, t3=100.875, total=330.414]
Counter[flat='Квартира №114', number='21949338', date=null, t1=130.790, t2=64.183, t3=137.105, total=332.078]
Counter[flat='Квартира №28', number='21666499', date=null, t1=92.325, t2=68.653, t3=180.619, total=341.597]
Counter[flat='Квартира №125', number='21949344', date=null, t1=122.165, t2=83.334, t3=138.886, total=344.385]
Counter[flat='Квартира №55', number='21967879', date=null, t1=95.631, t2=109.098, t3=153.156, total=357.885]
Counter[flat='Квартира №61', number='21968453', date=null, t1=104.864, t2=106.796, t3=190.108, total=401.768]
Counter[flat='Квартира №7', number='21712970', date=null, t1=144.090, t2=106.450, t3=173.200, total=423.740]
Counter[flat='Квартира №74', number='21968454', date=null, t1=133.925, t2=119.955, t3=173.183, total=427.063]
Counter[flat='Квартира №60', number='21967979', date=null, t1=154.665, t2=100.967, t3=172.633, total=428.265]
Counter[flat='Квартира №115', number='21967511', date=null, t1=145.679, t2=97.624, t3=186.550, total=429.853]
Counter[flat='Квартира №49', number='21666570', date=null, t1=172.219, t2=117.180, t3=184.855, total=474.254]
Counter[flat='Квартира №42', number='21666910', date=null, t1=172.108, t2=115.535, t3=198.006, total=485.649]
Counter[flat='Квартира №126', number='21949403', date=null, t1=200.625, t2=130.934, t3=248.568, total=580.127]
Counter[flat='Квартира №25', number='21667083', date=null, t1=207.696, t2=164.193, t3=242.603, total=614.492]
Counter[flat='Квартира №31', number='21712977', date=null, t1=234.767, t2=146.260, t3=305.047, total=686.074]
Counter[flat='Квартира №127', number='21967896', date=null, t1=245.290, t2=221.548, t3=303.250, total=770.088]
Counter[flat='Квартира №1', number='21666896', date=null, t1=269.045, t2=176.128, t3=460.693, total=905.866]
Counter[flat='Квартира №73', number='21967479', date=null, t1=276.827, t2=281.245, t3=360.239, total=918.311]
Counter[flat='Квартира №37', number='21666539', date=null, t1=277.646, t2=262.122, t3=401.146, total=940.914]
Counter[flat='Квартира №85', number='21967450', date=null, t1=336.056, t2=316.271, t3=441.187, total=1093.514]
Counter[flat='Квартира №40', number='21666557', date=null, t1=497.424, t2=339.002, t3=618.268, total=1454.694]
