Counter[flat='Квартира №83', number='21968203', date=null, t1=28.105, t2=30.430, t3=63.733, total=122.268]
Counter[flat='Квартира №136', number='21967551', date=null, t1=45.050, t2=22.846, t3=54.511, total=122.407]
Counter[flat='Квартира №30', number='21667094', date=null, t1=34.648, t2=18.565, t3=69.865, total=123.078]
Counter[flat='Квартира №52', number='21666543', date=null, t1=40.822, t2=37.011, t3=47.218, total=125.051]
Counter[flat='Квартира №67', number='21967528', date=null, t1=38.449, t2=35.311, t3=51.520, total=125.280]
Counter[flat='Квартира №39', number='21666569', date=null, t1=49.623, t2=27.640, t3=54.240, total=131.503]
Counter[flat='Квартира №134', number='21967568', date=null, t1=33.945, t2=46.428, t3=55.280, total=135.653]
Counter[flat='Квартира №131', number='21968035', date=null, t1=38.872, t2=37.317, t3=61.575, total=137.764]
Counter[flat='Квартира №54', number='21666917', date=null, t1=37.588, t2=33.112, t3=68.899, total=139.599]
Counter[flat='Квартира №34', number='21712954', date=null, t1=50.518, t2=31.987, t3=64.036, total=146.541]
Counter[flat='Квартира №21', number='21968025', date=null, t1=25.510, t2=70.733, t3=51.246, total=147.489]
Counter[flat='Квартира №15', number='21666510', date=null, t1=47.506, t2=36.674, t3=64.180, total=148.360]
Counter[flat='Квартира №143', number='21967509', date=null, t1=59.910, t2=27.974, t3=60.484, total=148.368]
Counter[flat='Квартира №33', number='21948916', date=null, t1=39.534, t2=30.185, t3=79.149, total=148.868]
Counter[flat='Квартира №53', number='21666929', date=null, t1=53.491, t2=20.949, t3=75.272, total=149.712]
Counter[flat='Квартира №74', number='21968454', date=null, t1=47.002, t2=29.133, t3=74.936, total=151.071]
Counter[flat='Квартира №70', number='21967516', date=null, t1=39.274, t2=57.315, t3=57.778, total=154.367]
Counter[flat='Квартира №76', number='21968202', date=null, t1=48.102, t2=51.915, t3=60.549, total=160.566]
Counter[flat='Квартира №133', number='21967899', date=null, t1=65.097, t2=28.304, t3=68.564, total=161.965]
Counter[flat='Квартира №14', number='21967940', date=null, t1=52.042, t2=50.479, t3=62.169, total=164.690]
Counter[flat='Квартира №32', number='21712993', date=null, t1=50.873, t2=37.385, t3=79.230, total=167.488]
Counter[flat='Квартира №129', number='21967906', date=null, t1=58.120, t2=36.351, t3=73.123, total=167.594]
Counter[flat='Квартира №137', number='21967213', date=null, t1=46.836, t2=59.175, t3=62.765, total=168.776]
Counter[flat='Квартира №140', number='21967475', date=null, t1=52.780, t2=43.808, t3=78.702, total=175.290]
Counter[flat='Квартира №111', number='21949373', date=null, t1=48.097, t2=52.122, t3=77.352, total=177.571]
Counter[flat='Квартира №125', number='21949344', date=null, t1=72.187, t2=33.987, t3=78.043, total=184.217]
Counter[flat='Квартира №50', number='21666901', date=null, t1=73.799, t2=35.726, t3=80.835, total=190.360]
Counter[flat='Квартира №98', number='21967964', date=null, t1=79.520, t2=31.701, t3=80.506, total=191.727]
Counter[flat='Квартира №107', number='21971375', date=null, t1=52.293, t2=77.114, t3=63.810, total=193.217]
Counter[flat='Квартира №13', number='21967904', date=null, t1=69.393, t2=44.760, t3=79.674, total=193.827]
Counter[flat='Квартира №109', number='21949350', date=null, t1=62.821, t2=62.500, t3=75.982, total=201.303]
Counter[flat='Квартира №68', number='21967522', date=null, t1=61.231, t2=48.985, t3=94.042, total=204.258]
Counter[flat='Квартира №142', number='21968032', date=null, t1=53.279, t2=60.346, t3=92.262, total=205.887]
Counter[flat='Квартира №141', number='21967535', date=null, t1=54.237, t2=71.015, t3=81.643, total=206.895]
Counter[flat='Квартира №72', number='21967501', date=null, t1=60.568, t2=74.061, t3=75.425, total=210.054]
Counter[flat='Квартира №117', number='21967206', date=null, t1=56.469, t2=57.564, t3=96.632, total=210.665]
Counter[flat='Квартира №58', number='21967732', date=null, t1=71.194, t2=44.880, t3=96.859, total=212.933]
Counter[flat='Квартира №120', number='21967526', date=null, t1=55.992, t2=56.687, t3=103.471, total=216.150]
Counter[flat='Квартира №110', number='21949389', date=null, t1=60.926, t2=64.573, t3=91.938, total=217.437]
Counter[flat='Квартира №69', number='21967567', date=null, t1=63.376, t2=51.081, t3=106.048, total=220.505]
Counter[flat='Квартира №130', number='21967952', date=null, t1=65.386, t2=73.596, t3=90.602, total=229.584]
Counter[flat='Квартира №57', number='21967809', date=null, t1=59.728, t2=82.310, t3=90.054, total=232.092]
