Counter[flat='Квартира №107', number='21971375', date=null, t1=35.207, t2=49.815, t3=36.984, total=122.006]
Counter[flat='Квартира №23', number='21967854', date=null, t1=50.392, t2=13.887, t3=60.294, total=124.573]
Counter[flat='Квартира №105', number='21971386', date=null, t1=63.899, t2=20.300, t3=41.890, total=126.089]
Counter[flat='Квартира №116', number='21968082', date=null, t1=37.509, t2=30.126, t3=59.001, total=126.636]
Counter[flat='Квартира №80', number='21967506', date=null, t1=35.876, t2=33.926, t3=57.703, total=127.505]
Counter[flat='Квартира №58', number='21967732', date=null, t1=44.439, t2=26.499, t3=57.726, total=128.664]
Counter[flat='Квартира №39', number='21666569', date=null, t1=58.240, t2=22.560, t3=47.954, total=128.754]
Counter[flat='Квартира №48', number='21968079', date=null, t1=41.934, t2=35.790, t3=51.244, total=128.968]
Counter[flat='Квартира №113', number='21949380', date=null, t1=46.396, t2=40.250, t3=43.462, total=130.108]
Counter[flat='Квартира №111', number='21949373', date=null, t1=31.958, t2=44.118, t3=54.716, total=130.792]
Counter[flat='Квартира №134', number='21967568', date=null, t1=33.707, t2=46.212, t3=51.987, total=131.906]
Counter[flat='Квартира №101', number='21967802', date=null, t1=51.102, t2=20.235, t3=61.402, total=132.739]
Counter[flat='Квартира №70', number='21967516', date=null, t1=34.206, t2=47.363, t3=52.425, total=133.994]
Counter[flat='Квартира №76', number='21968202', date=null, t1=32.206, t2=50.606, t3=52.749, total=135.561]
Counter[flat='Квартира №110', number='21949389', date=null, t1=33.878, t2=44.375, t3=57.694, total=135.947]
Counter[flat='Квартира №26', number='21666497', date=null, t1=42.191, t2=36.373, t3=58.726, total=137.290]
Counter[flat='Квартира №73', number='21967479', date=null, t1=45.091, t2=31.325, t3=61.299, total=137.715]
Counter[flat='Квартира №38', number='21666552', date=null, t1=44.689, t2=31.898, t3=61.528, total=138.115]
Counter[flat='Квартира №34', number='21712954', date=null, t1=50.942, t2=35.039, t3=54.617, total=140.598]
Counter[flat='Квартира №129', number='21967906', date=null, t1=55.349, t2=36.091, t3=50.604, total=142.044]
Counter[flat='Квартира №33', number='21948916', date=null, t1=48.586, t2=35.018, t3=61.163, total=144.767]
Counter[flat='Квартира №4', number='21967572', date=null, t1=45.422, t2=45.520, t3=56.013, total=146.955]
Counter[flat='Квартира №63', number='21968441', date=null, t1=49.378, t2=18.820, t3=79.277, total=147.475]
Counter[flat='Квартира №62', number='21971329', date=null, t1=55.735, t2=17.219, t3=74.761, total=147.715]
Counter[flat='Квартира №121', number='21971370', date=null, t1=60.468, t2=20.627, t3=66.761, total=147.856]
Counter[flat='Квартира №14', number='21967940', date=null, t1=47.307, t2=50.428, t3=52.794, total=150.529]
Counter[flat='Квартира №50', number='21666901', date=null, t1=56.963, t2=34.051, t3=62.934, total=153.948]
Counter[flat='Квартира №137', number='21967213', date=null, t1=46.624, t2=53.382, t3=54.395, total=154.401]
Counter[flat='Квартира №68', number='21967522', date=null, t1=47.524, t2=41.835, t3=68.559, total=157.918]
Counter[flat='Квартира №109', number='21949350', date=null, t1=54.209, t2=53.200, t3=51.382, total=158.791]
Counter[flat='Квартира №141', number='21967535', date=null, t1=44.132, t2=47.260, t3=68.402, total=159.794]
Counter[flat='Квартира №117', number='21967206', date=null, t1=48.099, t2=42.034, t3=70.998, total=161.131]
Counter[flat='Квартира №140', number='21967475', date=null, t1=52.167, t2=50.804, t3=58.424, total=161.395]
Counter[flat='Квартира №32', number='21712993', date=null, t1=57.917, t2=35.327, t3=73.283, total=166.527]
Counter[flat='Квартира №143', number='21967509', date=null, t1=67.216, t2=31.089, t3=69.933, total=168.238]
Counter[flat='Квартира №125', number='21949344', date=null, t1=73.840, t2=55.291, t3=60.110, total=189.241]
Counter[flat='Квартира №2', number='21949330', date=null, t1=63.600, t2=47.744, t3=78.693, total=190.037]
Counter[flat='Квартира №52', number='21666543', date=null, t1=66.419, t2=44.746, t3=79.537, total=190.702]
Counter[flat='Квартира №132', number='21967848', date=null, t1=75.069, t2=47.036, t3=70.802, total=192.907]
Counter[flat='Квартира №98', number='21967964', date=null, t1=87.772, t2=27.764, t3=81.781, total=197.317]
Counter[flat='Квартира №90', number='21968383', date=null, t1=67.278, t2=46.431, t3=84.428, total=198.137]
Counter[flat='Квартира №142', number='21968032', date=null, t1=73.913, t2=47.176, t3=79.990, total=201.079]
Counter[flat='Квартира №104', number='21971388', date=null, t1=87.320, t2=28.528, t3=85.630, total=201.478]
Counter[flat='Квартира №133', number='21967899', date=null, t1=82.657, t2=48.042, t3=72.502, total=203.201]
Counter[flat='Квартира №12', number='21948923', date=null, t1=69.477, t2=53.137, t3=83.678, total=206.292]
Counter[flat='Квартира №74', number='21968454', date=null, t1=73.044, t2=64.061, t3=75.072, total=212.177]
Counter[flat='Квартира №79', number='21967555', date=null, t1=67.341, t2=43.220, t3=102.218, total=212.779]
Counter[flat='Квартира №138', number='21967900', date=null, t1=77.028, t2=41.833, t3=104.419, total=223.280]
Counter[flat='Квартира №64', number='21968468', date=null, t1=76.717, t2=47.079, t3=103.349, total=227.145]
Counter[flat='Квартира №114', number='21949338', date=null, t1=86.018, t2=45.639, t3=97.263, total=228.920]
Counter[flat='Квартира №53', number='21666929', date=null, t1=80.623, t2=50.846, t3=103.956, total=235.425]
Counter[flat='Квартира №130', number='21967952', date=null, t1=75.426, t2=48.979, t3=116.262, total=240.667]
Counter[flat='Квартира №57', number='21967809', date=null, t1=64.886, t2=85.596, t3=93.411, total=243.893]
Counter[flat='Квартира №54', number='21666917', date=null, t1=88.497, t2=64.777, t3=92.402, total=245.676]
Counter[flat='Квартира №144', number='21968041', date=null, t1=77.592, t2=61.806, t3=108.078, total=247.476]
Counter[flat='Квартира №112', number='21971429', date=null, t1=111.511, t2=38.959, t3=97.752, total=248.222]
Counter[flat='Квартира №123', number='21949395', date=null, t1=103.742, t2=43.992, t3=100.843, total=248.577]
Counter[flat='Квартира №120', number='21967526', date=null, t1=67.986, t2=64.378, t3=118.350, total=250.714]
Counter[flat='Квартира №96', number='21968073', date=null, t1=73.640, t2=36.507, t3=145.325, total=255.472]
Counter[flat='Квартира №10', number='21967590', date=null, t1=77.406, t2=70.854, t3=112.994, total=261.254]
Counter[flat='Квартира №9', number='21948896', date=null, t1=67.645, t2=133.479, t3=62.052, total=263.176]
Counter[flat='Квартира №16', number='21666895', date=null, t1=92.990, t2=43.354, t3=135.335, total=271.679]
Counter[flat='Квартира №13', number='21967904', date=null, t1=100.752, t2=54.663, t3=119.064, total=274.479]
Counter[flat='Квартира №95', number='21967997', date=null, t1=90.879, t2=53.292, t3=131.077, total=275.248]
Counter[flat='Квартира №46', number='21967731', date=null, t1=117.208, t2=50.323, t3=110.205, total=277.736]
Counter[flat='Квартира №115', number='21967511', date=null, t1=87.930, t2=94.151, t3=128.185, total=310.266]
Counter[flat='Квартира №42', number='21666910', date=null, t1=121.374, t2=78.208, t3=135.218, total=334.800]
Counter[flat='Квартира №20', number='21968040', date=null, t1=101.841, t2=115.453, t3=119.829, total=337.123]
Counter[flat='Квартира №82', number='21967513', date=null, t1=125.230, t2=41.190, t3=186.622, total=353.042]
Counter[flat='Квартира №118', number='21971416', date=null, t1=101.458, t2=121.178, t3=131.853, total=354.489]
Counter[flat='Квартира №55', number='21967879', date=null, t1=119.217, t2=111.306, t3=160.985, total=391.508]
Counter[flat='Квартира №61', number='21968453', date=null, t1=187.499, t2=68.250, t3=163.247, total=418.996]
Counter[flat='Квартира №7', number='21712970', date=null, t1=137.558, t2=91.011, t3=208.742, total=437.311]
Counter[flat='Квартира №49', number='21666570', date=null, t1=174.191, t2=118.007, t3=191.720, total=483.918]
Counter[flat='Квартира №60', number='21967979', date=null, t1=188.350, t2=122.746, t3=237.553, total=548.649]
Counter[flat='Квартира №77', number='21968450', date=null, t1=158.403, t2=192.278, t3=207.527, total=558.208]
Counter[flat='Квартира №25', number='21667083', date=null, t1=201.528, t2=155.122, t3=210.392, total=567.042]
Counter[flat='Квартира №126', number='21949403', date=null, t1=194.641, t2=143.832, t3=237.130, total=575.603]
Counter[flat='Квартира №85', number='21967450', date=null, t1=204.095, t2=177.280, t3=264.081, total=645.456]
Counter[flat='Квартира №31', number='21712977', date=null, t1=233.982, t2=149.781, t3=317.110, total=700.873]
Counter[flat='Квартира №1', number='21666896', date=null, t1=297.725, t2=218.066, t3=452.064, total=967.855]
Counter[flat='Квартира №37', number='21666539', date=null, t1=381.162, t2=371.525, t3=579.744, total=1332.431]
Counter[flat='Квартира №127', number='21967896', date=null, t1=475.015, t2=506.606, t3=546.970, total=1528.591]
