Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='76', number='21968202', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='45', number='21666907', date=null, t1=0.002, t2=0.000, t3=0.000, total=0.002]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.056, total=0.056]
Counter[flat='44', number='21967861', date=null, t1=0.127, t2=0.000, t3=0.000, total=0.127]
Counter[flat='19', number='21967946', date=null, t1=0.296, t2=0.397, t3=0.046, total=0.739]
Counter[flat='74', number='21968454', date=null, t1=1.518, t2=1.754, t3=1.973, total=5.245]
Counter[flat='108', number='21968246', date=null, t1=4.860, t2=0.000, t3=17.298, total=22.158]
Counter[flat='94', number='21967987', date=null, t1=7.814, t2=9.651, t3=10.500, total=27.965]
Counter[flat='5', number='21712960', date=null, t1=9.621, t2=9.280, t3=10.453, total=29.354]
Counter[flat='78', number='023240215710', date=null, t1=0.000, t2=30.000, t3=0.000, total=30.000]
Counter[flat='135', number='21967542', date=null, t1=8.908, t2=10.170, t3=11.422, total=30.500]
Counter[flat='24', number='21968031', date=null, t1=10.933, t2=10.914, t3=14.387, total=36.234]
Counter[flat='73', number='21967479', date=null, t1=11.640, t2=12.947, t3=14.674, total=39.261]
Counter[flat='143', number='21967509', date=null, t1=10.996, t2=15.872, t3=16.008, total=42.876]
Counter[flat='63', number='21968441', date=null, t1=14.039, t2=15.644, t3=17.608, total=47.291]
Counter[flat='29', number='21667085', date=null, t1=16.541, t2=12.354, t3=21.421, total=50.316]
Counter[flat='91', number='21968076', date=null, t1=15.791, t2=17.009, t3=22.038, total=54.838]
Counter[flat='107', number='21971375', date=null, t1=12.841, t2=26.855, t3=16.420, total=56.116]
Counter[flat='58', number='21967732', date=null, t1=14.140, t2=19.257, t3=23.262, total=56.659]
Counter[flat='32', number='21712993', date=null, t1=19.086, t2=15.822, t3=22.204, total=57.112]
Counter[flat='65', number='21968139', date=null, t1=21.253, t2=16.148, t3=20.437, total=57.838]
Counter[flat='116', number='21968082', date=null, t1=13.047, t2=13.629, t3=31.954, total=58.630]
Counter[flat='83', number='21968203', date=null, t1=18.921, t2=13.141, t3=27.125, total=59.187]
Counter[flat='124', number='21949405', date=null, t1=20.053, t2=17.220, t3=23.063, total=60.336]
