Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='44', number='21967861', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.039, total=0.039]
Counter[flat='106', number='21967200', date=null, t1=0.014, t2=0.000, t3=0.036, total=0.050]
Counter[flat='108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.131, total=0.131]
Counter[flat='5', number='21712960', date=null, t1=0.133, t2=0.063, t3=0.074, total=0.270]
Counter[flat='111', number='21949373', date=null, t1=10.782, t2=12.322, t3=13.843, total=36.947]
Counter[flat='135', number='21967542', date=null, t1=12.832, t2=13.159, t3=16.198, total=42.189]
Counter[flat='27', number='21666500', date=null, t1=13.555, t2=12.153, t3=16.934, total=42.642]
Counter[flat='73', number='21967479', date=null, t1=13.436, t2=15.121, t3=17.334, total=45.891]
Counter[flat='107', number='21971375', date=null, t1=14.204, t2=16.094, t3=18.023, total=48.321]
Counter[flat='143', number='21967509', date=null, t1=14.094, t2=17.142, t3=18.374, total=49.610]
Counter[flat='30', number='21667094', date=null, t1=17.429, t2=15.611, t3=22.366, total=55.406]
Counter[flat='95', number='21967997', date=null, t1=19.283, t2=17.745, t3=19.152, total=56.180]
Counter[flat='29', number='21667085', date=null, t1=18.579, t2=15.921, t3=22.637, total=57.137]
Counter[flat='74', number='21968454', date=null, t1=17.664, t2=18.856, t3=24.153, total=60.673]
Counter[flat='81', number='21967486', date=null, t1=18.876, t2=21.375, t3=23.636, total=63.887]
Counter[flat='75', number='21968458', date=null, t1=29.318, t2=16.575, t3=19.949, total=65.842]
Counter[flat='68', number='21967522', date=null, t1=19.231, t2=25.498, t3=24.755, total=69.484]
Counter[flat='24', number='21968031', date=null, t1=20.610, t2=25.143, t3=27.877, total=73.630]
Counter[flat='32', number='21712993', date=null, t1=28.663, t2=19.002, t3=27.226, total=74.891]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='8', number='21967610', date=null, t1=24.701, t2=19.050, t3=34.243, total=77.994]
Counter[flat='65', number='21968139', date=null, t1=27.183, t2=23.526, t3=27.875, total=78.584]
Counter[flat='70', number='21967516', date=null, t1=22.981, t2=27.105, t3=28.614, total=78.700]
Counter[flat='76', number='21968202', date=null, t1=25.471, t2=13.623, t3=39.941, total=79.035]
Counter[flat='71', number='21967505', date=null, t1=22.015, t2=22.323, t3=36.473, total=80.811]
Counter[flat='99', number='21968207', date=null, t1=27.511, t2=18.806, t3=35.308, total=81.625]
Counter[flat='124', number='21949405', date=null, t1=28.716, t2=22.318, t3=37.355, total=88.389]
Counter[flat='88', number='21967504', date=null, t1=34.948, t2=11.156, t3=44.326, total=90.430]
Counter[flat='83', number='21968203', date=null, t1=27.583, t2=23.844, t3=40.686, total=92.113]
