Counter[flat='20', number='21968040', date=null, t1=34.796, t2=28.984, t3=47.209, total=110.989]
Counter[flat='117', number='21967206', date=null, t1=37.647, t2=22.704, t3=51.654, total=112.005]
Counter[flat='22', number='21968052', date=null, t1=40.744, t2=23.493, t3=49.398, total=113.635]
Counter[flat='2', number='21949330', date=null, t1=38.381, t2=34.378, t3=46.450, total=119.209]
Counter[flat='29', number='21667085', date=null, t1=37.415, t2=33.672, t3=48.595, total=119.682]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='26', number='21666497', date=null, t1=57.337, t2=22.335, t3=41.600, total=121.272]
Counter[flat='50', number='21666901', date=null, t1=32.690, t2=33.761, t3=57.525, total=123.976]
Counter[flat='81', number='21967486', date=null, t1=40.996, t2=36.767, t3=50.936, total=128.699]
Counter[flat='137', number='21967213', date=null, t1=28.359, t2=46.339, t3=54.005, total=128.703]
Counter[flat='101', number='21967802', date=null, t1=50.672, t2=24.846, t3=54.286, total=129.804]
Counter[flat='62', number='21971329', date=null, t1=50.719, t2=23.691, t3=56.048, total=130.458]
Counter[flat='57', number='21967809', date=null, t1=40.713, t2=40.952, t3=54.754, total=136.419]
Counter[flat='109', number='21949350', date=null, t1=44.226, t2=46.465, t3=47.652, total=138.343]
Counter[flat='130', number='21967952', date=null, t1=46.698, t2=29.706, t3=63.007, total=139.411]
Counter[flat='98', number='21967964', date=null, t1=39.109, t2=31.815, t3=69.283, total=140.207]
Counter[flat='23', number='21967854', date=null, t1=66.543, t2=17.820, t3=61.527, total=145.890]
Counter[flat='47', number='21967923', date=null, t1=52.044, t2=26.096, t3=69.542, total=147.682]
Counter[flat='123', number='21949395', date=null, t1=45.456, t2=39.909, t3=63.016, total=148.381]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='80', number='21967506', date=null, t1=55.380, t2=44.798, t3=56.311, total=156.489]
Counter[flat='118', number='21971416', date=null, t1=54.182, t2=35.949, t3=66.715, total=156.846]
Counter[flat='8', number='21967610', date=null, t1=53.050, t2=23.539, t3=80.546, total=157.135]
Counter[flat='69', number='21967567', date=null, t1=51.683, t2=18.374, t3=87.572, total=157.629]
Counter[flat='15', number='21666510', date=null, t1=51.998, t2=43.240, t3=63.055, total=158.293]
Counter[flat='56', number='21968075', date=null, t1=49.763, t2=40.324, t3=68.215, total=158.302]
Counter[flat='79', number='21967555', date=null, t1=53.449, t2=45.059, t3=59.981, total=158.489]
Counter[flat='11', number='21949329', date=null, t1=41.301, t2=50.904, t3=68.201, total=160.406]
Counter[flat='120', number='21967526', date=null, t1=48.410, t2=33.823, t3=79.227, total=161.460]
Counter[flat='142', number='21968032', date=null, t1=44.866, t2=42.982, t3=76.397, total=164.245]
Counter[flat='60', number='21967979', date=null, t1=50.577, t2=45.087, t3=70.596, total=166.260]
Counter[flat='92', number='21967967', date=null, t1=47.405, t2=47.315, t3=75.778, total=170.498]
Counter[flat='114', number='21949338', date=null, t1=62.717, t2=37.104, t3=72.337, total=172.158]
Counter[flat='115', number='21967511', date=null, t1=52.839, t2=44.213, t3=76.289, total=173.341]
Counter[flat='132', number='21967848', date=null, t1=57.508, t2=41.712, t3=77.687, total=176.907]
Counter[flat='125', number='21949344', date=null, t1=66.973, t2=45.931, t3=70.698, total=183.602]
Counter[flat='10', number='21967590', date=null, t1=50.000, t2=50.000, t3=100.000, total=200.000]
Counter[flat='17', number='21968056', date=null, t1=95.000, t2=20.522, t3=85.000, total=200.522]
Counter[flat='67', number='21967528', date=null, t1=79.116, t2=23.579, t3=102.020, total=204.715]
Counter[flat='40', number='21666557', date=null, t1=135.000, t2=70.000, t3=0.000, total=205.000]
Counter[flat='33', number='21948916', date=null, t1=100.000, t2=30.000, t3=75.000, total=205.000]
Counter[flat='48', number='21968079', date=null, t1=70.698, t2=33.498, t3=104.892, total=209.088]
Counter[flat='66', number='21968442', date=null, t1=73.671, t2=34.990, t3=101.506, total=210.167]
Counter[flat='121', number='21971370', date=null, t1=70.998, t2=43.095, t3=98.099, total=212.192]
Counter[flat='96', number='21968073', date=null, t1=56.161, t2=33.403, t3=123.866, total=213.430]
Counter[flat='54', number='21666917', date=null, t1=91.932, t2=33.829, t3=89.947, total=215.708]
Counter[flat='104', number='21971388', date=null, t1=84.640, t2=33.961, t3=97.183, total=215.784]
Counter[flat='34', number='21712954', date=null, t1=75.658, t2=47.979, t3=95.133, total=218.770]
Counter[flat='82', number='21967513', date=null, t1=70.000, t2=30.000, t3=120.000, total=220.000]
Counter[flat='52', number='21666543', date=null, t1=73.550, t2=51.058, t3=121.166, total=245.774]
Counter[flat='16', number='21666895', date=null, t1=88.752, t2=48.210, t3=117.319, total=254.281]
Counter[flat='128', number='21968471', date=null, t1=79.604, t2=67.892, t3=109.084, total=256.580]
Counter[flat='46', number='21967731', date=null, t1=85.000, t2=75.000, t3=100.000, total=260.000]
Counter[flat='18', number='21967958', date=null, t1=100.000, t2=50.000, t3=110.000, total=260.000]
Counter[flat='112', number='21971429', date=null, t1=90.700, t2=47.094, t3=123.502, total=261.296]
Counter[flat='93', number='21967981', date=null, t1=89.585, t2=41.850, t3=131.081, total=262.516]
Counter[flat='97', number='21967959', date=null, t1=73.863, t2=99.992, t3=92.326, total=266.181]
Counter[flat='61', number='21968453', date=null, t1=96.583, t2=43.084, t3=132.653, total=272.320]
Counter[flat='74', number='21968454', date=null, t1=83.889, t2=85.929, t3=102.735, total=272.553]
Counter[flat='95', number='21967997', date=null, t1=92.788, t2=46.384, t3=134.562, total=273.734]
Counter[flat='4', number='21967572', date=null, t1=83.920, t2=81.661, t3=109.646, total=275.227]
Counter[flat='36', number='21712963', date=null, t1=93.832, t2=69.744, t3=115.929, total=279.505]
Counter[flat='55', number='21967879', date=null, t1=82.639, t2=75.765, t3=141.089, total=299.493]
Counter[flat='113', number='21949380', date=null, t1=121.013, t2=63.918, t3=114.990, total=299.921]
Counter[flat='126', number='21949403', date=null, t1=101.852, t2=89.335, t3=127.399, total=318.586]
Counter[flat='144', number='21968041', date=null, t1=92.168, t2=98.672, t3=135.278, total=326.118]
Counter[flat='13', number='21967904', date=null, t1=118.494, t2=132.014, t3=104.430, total=354.938]
Counter[flat='72', number='21967501', date=null, t1=143.553, t2=88.443, t3=136.237, total=368.233]
Counter[flat='7', number='21712970', date=null, t1=126.351, t2=77.339, t3=175.396, total=379.086]
Counter[flat='49', number='21666570', date=null, t1=149.354, t2=85.875, t3=153.939, total=389.168]
Counter[flat='25', number='21667083', date=null, t1=138.557, t2=127.522, t3=152.363, total=418.442]
Counter[flat='9', number='21948896', date=null, t1=139.665, t2=148.279, t3=150.700, total=438.644]
Counter[flat='85', number='21967450', date=null, t1=183.308, t2=119.885, t3=233.392, total=536.585]
Counter[flat='127', number='21967896', date=null, t1=218.682, t2=205.654, t3=280.564, total=704.900]
Counter[flat='39', number='21666569', date=null, t1=200.000, t2=30.000, t3=507.654, total=737.654]
Counter[flat='31', number='21712977', date=null, t1=223.500, t2=231.708, t3=284.260, total=739.468]
Counter[flat='1', number='21666896', date=null, t1=241.767, t2=186.074, t3=356.151, total=783.992]
