Counter[flat='Квартира №78', number='40628580', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.026, total=0.026]
Counter[flat='Квартира №97', number='21967959', date=null, t1=5.508, t2=0.657, t3=6.373, total=12.538]
Counter[flat='Квартира №88', number='21967504', date=null, t1=2.914, t2=7.096, t3=6.229, total=16.239]
Counter[flat='Квартира №108', number='21968246', date=null, t1=3.944, t2=0.000, t3=13.591, total=17.535]
Counter[flat='Квартира №92', number='21967967', date=null, t1=7.741, t2=4.639, t3=6.929, total=19.309]
Counter[flat='Квартира №102', number='21968242', date=null, t1=8.168, t2=8.430, t3=10.910, total=27.508]
Counter[flat='Квартира №100', number='21967497', date=null, t1=8.637, t2=9.616, t3=10.964, total=29.217]
Counter[flat='Квартира №36', number='21712963', date=null, t1=8.476, t2=9.996, t3=10.785, total=29.257]
Counter[flat='Квартира №63', number='21968441', date=null, t1=8.497, t2=10.424, t3=11.093, total=30.014]
Counter[flat='Квартира №5', number='21712960', date=null, t1=9.012, t2=9.817, t3=11.341, total=30.170]
Counter[flat='Квартира №94', number='21967987', date=null, t1=8.233, t2=9.767, t3=13.028, total=31.028]
Counter[flat='Квартира №27', number='21666500', date=null, t1=9.857, t2=11.557, t3=12.596, total=34.010]
Counter[flat='Квартира №84', number='21967477', date=null, t1=10.320, t2=11.871, t3=12.863, total=35.054]
Counter[flat='Квартира №24', number='21968031', date=null, t1=14.931, t2=13.192, t3=16.871, total=44.994]
Counter[flat='Квартира №61', number='21968453', date=null, t1=15.015, t2=12.609, t3=18.485, total=46.109]
Counter[flat='Квартира №45', number='21666907', date=null, t1=9.615, t2=17.622, t3=19.625, total=46.862]
Counter[flat='Квартира №28', number='21666499', date=null, t1=19.458, t2=12.267, t3=18.853, total=50.578]
Counter[flat='Квартира №8', number='21967610', date=null, t1=14.469, t2=18.111, t3=18.365, total=50.945]
Counter[flat='Квартира №99', number='21968207', date=null, t1=13.988, t2=18.558, t3=19.806, total=52.352]
Counter[flat='Квартира №135', number='21967542', date=null, t1=15.738, t2=17.331, t3=19.342, total=52.411]
Counter[flat='Квартира №65', number='21968139', date=null, t1=17.651, t2=15.192, t3=20.002, total=52.845]
Counter[flat='Квартира №59', number='21968016', date=null, t1=14.283, t2=11.344, t3=28.452, total=54.079]
Counter[flat='Квартира №75', number='21968458', date=null, t1=18.029, t2=12.071, t3=29.254, total=59.354]
Counter[flat='Квартира №81', number='21967486', date=null, t1=19.635, t2=18.792, t3=21.594, total=60.021]
Counter[flat='Квартира №62', number='21971329', date=null, t1=16.063, t2=20.418, t3=24.219, total=60.700]
Counter[flat='Квартира №51', number='21666920', date=null, t1=17.353, t2=14.906, t3=29.010, total=61.269]
Counter[flat='Квартира №140', number='21967475', date=null, t1=18.873, t2=18.447, t3=26.326, total=63.646]
Counter[flat='Квартира №11', number='21949329', date=null, t1=11.530, t2=23.881, t3=29.364, total=64.775]
Counter[flat='Квартира №101', number='21967802', date=null, t1=26.109, t2=15.280, t3=25.480, total=66.869]
Counter[flat='Квартира №93', number='21967981', date=null, t1=20.204, t2=19.087, t3=29.385, total=68.676]
Counter[flat='Квартира №71', number='21967505', date=null, t1=19.620, t2=17.436, t3=32.643, total=69.699]
Counter[flat='Квартира №17', number='21968056', date=null, t1=23.599, t2=14.905, t3=35.373, total=73.877]
Counter[flat='Квартира №119', number='21967973', date=null, t1=29.592, t2=18.520, t3=26.379, total=74.491]
Counter[flat='Квартира №54', number='21666917', date=null, t1=20.097, t2=20.432, t3=34.400, total=74.929]
Counter[flat='Квартира №91', number='21968076', date=null, t1=22.368, t2=26.162, t3=28.646, total=77.176]
Counter[flat='Квартира №53', number='21666929', date=null, t1=27.696, t2=15.268, t3=35.217, total=78.181]
Counter[flat='Квартира №20', number='21968040', date=null, t1=30.160, t2=19.607, t3=28.629, total=78.396]
Counter[flat='Квартира №103', number='21971417', date=null, t1=25.670, t2=21.290, t3=31.513, total=78.473]
Counter[flat='Квартира №87', number='21967753', date=null, t1=23.688, t2=25.230, t3=30.322, total=79.240]
Counter[flat='Квартира №43', number='21712964', date=null, t1=19.290, t2=31.426, t3=32.991, total=83.707]
Counter[flat='Квартира №44', number='21967861', date=null, t1=26.231, t2=21.517, t3=36.846, total=84.594]
Counter[flat='Квартира №89', number='21967810', date=null, t1=28.273, t2=24.702, t3=32.585, total=85.560]
Counter[flat='Квартира №116', number='21968082', date=null, t1=16.588, t2=28.662, t3=40.656, total=85.906]
Counter[flat='Квартира №124', number='21949405', date=null, t1=26.657, t2=22.545, t3=37.372, total=86.574]
Counter[flat='Квартира №23', number='21967854', date=null, t1=37.374, t2=12.948, t3=38.099, total=88.421]
Counter[flat='Квартира №70', number='21967516', date=null, t1=24.726, t2=32.135, t3=32.164, total=89.025]
Counter[flat='Квартира №3', number='21967585', date=null, t1=29.788, t2=18.571, t3=40.699, total=89.058]
Counter[flat='Квартира №122', number='21949370', date=null, t1=44.160, t2=14.221, t3=31.241, total=89.622]
Counter[flat='Квартира №107', number='21971375', date=null, t1=23.640, t2=38.780, t3=31.416, total=93.836]
Counter[flat='Квартира №26', number='21666497', date=null, t1=29.222, t2=26.257, t3=42.208, total=97.687]
Counter[flat='Квартира №131', number='21968035', date=null, t1=28.682, t2=31.895, t3=42.394, total=102.971]
Counter[flat='Квартира №83', number='21968203', date=null, t1=26.363, t2=30.635, t3=47.442, total=104.440]
Counter[flat='Квартира №136', number='21967551', date=null, t1=36.631, t2=23.435, t3=44.484, total=104.550]
Counter[flat='Квартира №105', number='21971386', date=null, t1=47.115, t2=16.044, t3=43.320, total=106.479]
Counter[flat='Квартира №35', number='21948913', date=null, t1=18.666, t2=43.715, t3=44.783, total=107.164]
Counter[flat='Квартира №32', number='21712993', date=null, t1=34.432, t2=28.654, t3=44.270, total=107.356]
Counter[flat='Квартира №113', number='21949380', date=null, t1=38.182, t2=27.107, t3=42.810, total=108.099]
Counter[flat='Квартира №86', number='21967885', date=null, t1=41.545, t2=17.842, t3=49.918, total=109.305]
Counter[flat='Квартира №4', number='21967572', date=null, t1=34.224, t2=24.106, t3=52.091, total=110.421]
Counter[flat='Квартира №16', number='21666895', date=null, t1=42.088, t2=25.719, t3=44.350, total=112.157]
Counter[flat='Квартира №143', number='21967509', date=null, t1=40.452, t2=20.403, t3=51.752, total=112.607]
Counter[flat='Квартира №29', number='21667085', date=null, t1=39.679, t2=16.458, t3=58.103, total=114.240]
Counter[flat='Квартира №38', number='21666552', date=null, t1=44.218, t2=29.713, t3=43.953, total=117.884]
Counter[flat='Квартира №80', number='21967506', date=null, t1=33.489, t2=42.534, t3=42.255, total=118.278]
Counter[flat='Квартира №90', number='21968383', date=null, t1=36.997, t2=21.172, t3=60.581, total=118.750]
Counter[flat='Квартира №15', number='21666510', date=null, t1=39.725, t2=25.516, t3=54.703, total=119.944]
Counter[flat='Квартира №76', number='21968202', date=null, t1=34.617, t2=33.108, t3=52.739, total=120.464]
Counter[flat='Квартира №50', number='21666901', date=null, t1=43.909, t2=24.222, t3=52.755, total=120.886]
Counter[flat='Квартира №47', number='21967923', date=null, t1=37.117, t2=31.074, t3=55.036, total=123.227]
Counter[flat='Квартира №39', number='21666569', date=null, t1=46.105, t2=32.166, t3=48.013, total=126.284]
Counter[flat='Квартира №34', number='21712954', date=null, t1=45.897, t2=26.578, t3=54.512, total=126.987]
Counter[flat='Квартира №30', number='21667094', date=null, t1=41.831, t2=27.949, t3=58.120, total=127.900]
Counter[flat='Квартира №121', number='21971370', date=null, t1=39.793, t2=24.227, t3=63.922, total=127.942]
Counter[flat='Квартира №111', number='21949373', date=null, t1=32.419, t2=36.491, t3=61.589, total=130.499]
Counter[flat='Квартира №33', number='21948916', date=null, t1=45.546, t2=31.294, t3=56.284, total=133.124]
Counter[flat='Квартира №14', number='21967940', date=null, t1=44.396, t2=40.882, t3=50.990, total=136.268]
Counter[flat='Квартира №120', number='21967526', date=null, t1=42.662, t2=32.407, t3=63.640, total=138.709]
Counter[flat='Квартира №110', number='21949389', date=null, t1=37.771, t2=38.386, t3=64.531, total=140.688]
Counter[flat='Квартира №21', number='21968025', date=null, t1=41.587, t2=24.364, t3=80.246, total=146.197]
