Counter[flat='139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='60', number='21967979', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.030, total=0.030]
Counter[flat='58', number='21967732', date=null, t1=0.756, t2=0.865, t3=1.009, total=2.630]
Counter[flat='111', number='21949373', date=null, t1=1.099, t2=1.261, t3=1.420, total=3.780]
Counter[flat='19', number='21967946', date=null, t1=2.597, t2=0.817, t3=4.416, total=7.830]
Counter[flat='62', number='21971329', date=null, t1=4.886, t2=0.000, t3=12.692, total=17.578]
Counter[flat='94', number='21967987', date=null, t1=5.878, t2=6.651, t3=7.529, total=20.058]
Counter[flat='68', number='21967522', date=null, t1=7.023, t2=7.677, t3=9.043, total=23.743]
Counter[flat='102', number='21968242', date=null, t1=8.757, t2=10.092, t3=11.321, total=30.170]
Counter[flat='108', number='21968246', date=null, t1=5.919, t2=0.000, t3=26.300, total=32.219]
Counter[flat='69', number='21967567', date=null, t1=12.255, t2=10.927, t3=11.975, total=35.157]
Counter[flat='5', number='21712960', date=null, t1=12.615, t2=10.176, t3=14.331, total=37.122]
Counter[flat='64', number='21968468', date=null, t1=11.056, t2=8.272, t3=23.043, total=42.371]
Counter[flat='45', number='21666907', date=null, t1=12.077, t2=15.035, t3=17.004, total=44.116]
Counter[flat='20', number='21968040', date=null, t1=12.213, t2=13.431, t3=20.064, total=45.708]
Counter[flat='8', number='21967610', date=null, t1=12.958, t2=15.577, t3=17.820, total=46.355]
Counter[flat='41', number='21666577', date=null, t1=13.056, t2=14.713, t3=20.303, total=48.072]
Counter[flat='48', number='21968079', date=null, t1=16.631, t2=11.310, t3=20.805, total=48.746]
Counter[flat='124', number='21949405', date=null, t1=15.299, t2=15.150, t3=18.505, total=48.954]
Counter[flat='14', number='21967940', date=null, t1=17.321, t2=11.435, t3=20.349, total=49.105]
Counter[flat='75', number='21968458', date=null, t1=17.686, t2=12.691, t3=19.684, total=50.061]
Counter[flat='24', number='21968031', date=null, t1=13.008, t2=16.506, t3=21.664, total=51.178]
Counter[flat='76', number='21968202', date=null, t1=12.717, t2=21.288, t3=20.923, total=54.928]
Counter[flat='27', number='21666500', date=null, t1=18.759, t2=10.897, t3=25.387, total=55.043]
Counter[flat='65', number='21968139', date=null, t1=19.388, t2=14.705, t3=22.755, total=56.848]
Counter[flat='17', number='21968056', date=null, t1=22.588, t2=16.231, t3=18.416, total=57.235]
Counter[flat='99', number='21968207', date=null, t1=16.328, t2=15.384, t3=26.682, total=58.394]
Counter[flat='143', number='21967509', date=null, t1=16.238, t2=14.004, t3=29.303, total=59.545]
Counter[flat='35', number='21948913', date=null, t1=11.830, t2=32.811, t3=15.501, total=60.142]
Counter[flat='110', number='21949389', date=null, t1=21.874, t2=15.276, t3=26.393, total=63.543]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='38', number='21666552', date=null, t1=22.934, t2=15.890, t3=26.480, total=65.304]
Counter[flat='116', number='21968082', date=null, t1=17.854, t2=20.497, t3=30.023, total=68.374]
Counter[flat='43', number='21712964', date=null, t1=20.121, t2=23.594, t3=26.776, total=70.491]
Counter[flat='88', number='21967504', date=null, t1=25.251, t2=8.966, t3=38.706, total=72.923]
Counter[flat='47', number='21967923', date=null, t1=28.177, t2=17.438, t3=28.234, total=73.849]
Counter[flat='122', number='21949370', date=null, t1=18.681, t2=23.773, t3=31.997, total=74.451]
Counter[flat='71', number='21967505', date=null, t1=22.458, t2=19.597, t3=35.479, total=77.534]
Counter[flat='70', number='21967516', date=null, t1=19.875, t2=24.567, t3=33.277, total=77.719]
Counter[flat='133', number='21967899', date=null, t1=27.214, t2=19.571, t3=31.640, total=78.425]
Counter[flat='97', number='21967959', date=null, t1=25.480, t2=19.656, t3=34.957, total=80.093]
Counter[flat='91', number='21968076', date=null, t1=23.854, t2=24.630, t3=32.116, total=80.600]
Counter[flat='118', number='21971416', date=null, t1=31.022, t2=20.176, t3=31.858, total=83.056]
Counter[flat='83', number='21968203', date=null, t1=27.643, t2=10.831, t3=44.686, total=83.160]
Counter[flat='51', number='21666920', date=null, t1=35.148, t2=15.512, t3=34.024, total=84.684]
Counter[flat='23', number='21967854', date=null, t1=32.855, t2=11.628, t3=40.408, total=84.891]
Counter[flat='103', number='21971417', date=null, t1=32.512, t2=19.444, t3=35.339, total=87.295]
Counter[flat='56', number='21968075', date=null, t1=25.405, t2=26.040, t3=38.418, total=89.863]
Counter[flat='84', number='21967477', date=null, t1=22.493, t2=21.116, t3=46.410, total=90.019]
Counter[flat='44', number='21967861', date=null, t1=24.716, t2=28.332, t3=38.606, total=91.654]
Counter[flat='140', number='21967475', date=null, t1=29.870, t2=24.147, t3=38.090, total=92.107]
Counter[flat='3', number='21967585', date=null, t1=33.877, t2=20.084, t3=42.657, total=96.618]
Counter[flat='107', number='21971375', date=null, t1=19.630, t2=55.231, t3=22.658, total=97.519]
Counter[flat='131', number='21968035', date=null, t1=29.204, t2=36.323, t3=32.515, total=98.042]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='135', number='21967542', date=null, t1=33.644, t2=25.346, t3=41.365, total=100.355]
Counter[flat='10', number='21967590', date=null, t1=31.137, t2=34.012, t3=37.907, total=103.056]
Counter[flat='86', number='21967885', date=null, t1=29.895, t2=28.162, t3=45.049, total=103.106]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='53', number='21666929', date=null, t1=44.501, t2=19.865, t3=40.751, total=105.117]
Counter[flat='117', number='21967206', date=null, t1=32.126, t2=26.295, t3=50.159, total=108.580]
Counter[flat='119', number='21967973', date=null, t1=37.566, t2=31.962, t3=42.011, total=111.539]
Counter[flat='21', number='21968025', date=null, t1=42.436, t2=19.699, t3=50.697, total=112.832]
Counter[flat='39', number='21666569', date=null, t1=52.125, t2=13.959, t3=51.637, total=117.721]
Counter[flat='81', number='21967486', date=null, t1=39.153, t2=23.727, t3=55.096, total=117.976]
Counter[flat='15', number='21666510', date=null, t1=44.253, t2=25.591, t3=49.104, total=118.948]
Counter[flat='2', number='21949330', date=null, t1=42.800, t2=30.820, t3=45.966, total=119.586]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='129', number='21967906', date=null, t1=42.801, t2=29.508, t3=48.054, total=120.363]
Counter[flat='26', number='21666497', date=null, t1=51.593, t2=13.931, t3=57.355, total=122.879]
Counter[flat='80', number='21967506', date=null, t1=56.299, t2=32.189, t3=34.840, total=123.328]
Counter[flat='137', number='21967213', date=null, t1=34.014, t2=33.492, t3=58.339, total=125.845]
Counter[flat='73', number='21967479', date=null, t1=42.445, t2=25.483, t3=58.287, total=126.215]
Counter[flat='32', number='21712993', date=null, t1=37.376, t2=28.587, t3=60.720, total=126.683]
Counter[flat='98', number='21967964', date=null, t1=43.744, t2=29.515, t3=55.391, total=128.650]
Counter[flat='29', number='21667085', date=null, t1=44.681, t2=28.093, t3=56.924, total=129.698]
Counter[flat='101', number='21967802', date=null, t1=63.348, t2=18.105, t3=51.388, total=132.841]
Counter[flat='130', number='21967952', date=null, t1=49.838, t2=24.746, t3=60.707, total=135.291]
Counter[flat='30', number='21667094', date=null, t1=46.455, t2=28.246, t3=60.729, total=135.430]
Counter[flat='54', number='21666917', date=null, t1=49.224, t2=22.077, t3=66.479, total=137.780]
Counter[flat='142', number='21968032', date=null, t1=41.636, t2=43.811, t3=53.712, total=139.159]
