Counter[flat='Квартира №34', number='21712954', date=null, t1=56.249, t2=21.184, t3=42.433, total=119.866]
Counter[flat='Квартира №71', number='21967505', date=null, t1=36.956, t2=24.315, t3=60.466, total=121.737]
Counter[flat='Квартира №119', number='21967973', date=null, t1=35.306, t2=29.176, t3=57.365, total=121.847]
Counter[flat='Квартира №80', number='21967506', date=null, t1=44.209, t2=34.595, t3=43.629, total=122.433]
Counter[flat='Квартира №132', number='21967848', date=null, t1=37.444, t2=43.105, t3=42.246, total=122.795]
Counter[flat='Квартира №9', number='21948896', date=null, t1=35.894, t2=47.900, t3=39.578, total=123.372]
Counter[flat='Квартира №42', number='21666910', date=null, t1=44.181, t2=23.891, t3=60.841, total=128.913]
Counter[flat='Квартира №40', number='21666557', date=null, t1=44.733, t2=35.109, t3=49.238, total=129.080]
Counter[flat='Квартира №113', number='21949380', date=null, t1=44.106, t2=35.445, t3=49.564, total=129.115]
Counter[flat='Квартира №77', number='21968450', date=null, t1=37.676, t2=42.583, t3=49.388, total=129.647]
Counter[flat='Квартира №43', number='21712964', date=null, t1=34.696, t2=51.387, t3=45.992, total=132.075]
Counter[flat='Квартира №28', number='21666499', date=null, t1=44.488, t2=36.281, t3=51.952, total=132.721]
Counter[flat='Квартира №131', number='21968035', date=null, t1=35.820, t2=40.670, t3=56.828, total=133.318]
Counter[flat='Квартира №130', number='21967952', date=null, t1=37.125, t2=42.953, t3=53.963, total=134.041]
Counter[flat='Квартира №116', number='21968082', date=null, t1=41.777, t2=32.958, t3=60.674, total=135.409]
Counter[flat='Квартира №23', number='21967854', date=null, t1=55.094, t2=16.677, t3=65.221, total=136.992]
Counter[flat='Квартира №137', number='21967213', date=null, t1=38.508, t2=48.700, t3=52.460, total=139.668]
Counter[flat='Квартира №63', number='21968441', date=null, t1=59.199, t2=21.283, t3=59.892, total=140.374]
Counter[flat='Квартира №98', number='21967964', date=null, t1=50.939, t2=30.464, t3=59.114, total=140.517]
Counter[flat='Квартира №109', number='21949350', date=null, t1=38.356, t2=48.387, t3=54.019, total=140.762]
Counter[flat='Квартира №32', number='21712993', date=null, t1=47.901, t2=33.770, t3=66.030, total=147.701]
Counter[flat='Квартира №121', number='21971370', date=null, t1=53.311, t2=24.935, t3=71.066, total=149.312]
Counter[flat='Квартира №93', number='21967981', date=null, t1=37.509, t2=45.654, t3=67.365, total=150.528]
Counter[flat='Квартира №46', number='21967731', date=null, t1=48.983, t2=38.813, t3=64.540, total=152.336]
Counter[flat='Квартира №58', number='21967732', date=null, t1=51.542, t2=38.448, t3=65.565, total=155.555]
