Counter[flat='78', number='40628580', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='141', number='21967535', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.015, total=0.015]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.025, total=0.025]
Counter[flat='19', number='21967946', date=null, t1=0.389, t2=0.000, t3=0.081, total=0.470]
Counter[flat='68', number='21967522', date=null, t1=0.320, t2=0.000, t3=0.213, total=0.533]
Counter[flat='133', number='21967899', date=null, t1=0.224, t2=0.097, t3=0.379, total=0.700]
Counter[flat='60', number='21967979', date=null, t1=0.326, t2=0.000, t3=2.511, total=2.837]
Counter[flat='108', number='21968246', date=null, t1=0.356, t2=0.000, t3=2.746, total=3.102]
Counter[flat='111', number='21949373', date=null, t1=1.356, t2=1.457, t3=2.832, total=5.645]
Counter[flat='47', number='21967923', date=null, t1=1.879, t2=2.045, t3=2.502, total=6.426]
Counter[flat='97', number='21967959', date=null, t1=3.236, t2=4.212, t3=8.487, total=15.935]
Counter[flat='119', number='21967973', date=null, t1=6.572, t2=7.223, t3=9.477, total=23.272]
Counter[flat='62', number='21971329', date=null, t1=4.982, t2=0.138, t3=24.518, total=29.638]
Counter[flat='4', number='21967572', date=null, t1=9.280, t2=10.522, t3=12.156, total=31.958]
Counter[flat='5', number='21712960', date=null, t1=10.174, t2=10.875, t3=13.542, total=34.591]
Counter[flat='94', number='21967987', date=null, t1=14.098, t2=9.819, t3=13.299, total=37.216]
Counter[flat='102', number='21968242', date=null, t1=11.084, t2=13.008, t3=13.911, total=38.003]
Counter[flat='30', number='21667094', date=null, t1=14.089, t2=4.758, t3=19.708, total=38.555]
Counter[flat='99', number='21968207', date=null, t1=11.780, t2=13.040, t3=18.588, total=43.408]
Counter[flat='72', number='21967501', date=null, t1=12.690, t2=14.522, t3=16.344, total=43.556]
Counter[flat='121', number='21971370', date=null, t1=13.708, t2=12.929, t3=21.259, total=47.896]
Counter[flat='8', number='21967610', date=null, t1=13.720, t2=14.842, t3=20.206, total=48.768]
Counter[flat='20', number='21968040', date=null, t1=15.784, t2=15.994, t3=18.145, total=49.923]
Counter[flat='83', number='21968203', date=null, t1=13.696, t2=19.132, t3=17.361, total=50.189]
Counter[flat='45', number='21666907', date=null, t1=13.539, t2=17.000, t3=21.759, total=52.298]
Counter[flat='50', number='21666901', date=null, t1=13.935, t2=11.967, t3=31.202, total=57.104]
Counter[flat='40', number='21666557', date=null, t1=17.398, t2=20.468, t3=21.902, total=59.768]
Counter[flat='38', number='21666552', date=null, t1=21.059, t2=18.126, t3=21.038, total=60.223]
Counter[flat='91', number='21968076', date=null, t1=18.769, t2=20.849, t3=22.975, total=62.593]
Counter[flat='122', number='21949370', date=null, t1=20.812, t2=18.374, t3=24.672, total=63.858]
Counter[flat='65', number='21968139', date=null, t1=24.103, t2=15.500, t3=25.792, total=65.395]
Counter[flat='98', number='21967964', date=null, t1=22.282, t2=18.586, t3=28.019, total=68.887]
Counter[flat='14', number='21967940', date=null, t1=19.687, t2=19.688, t3=30.027, total=69.402]
