Counter[flat='Квартира №35', number='21948913', date=null, t1=19.467, t2=46.418, t3=38.918, total=104.803]
Counter[flat='Квартира №59', number='21968016', date=null, t1=37.939, t2=30.614, t3=36.761, total=105.314]
Counter[flat='Квартира №89', number='21967810', date=null, t1=31.693, t2=29.266, t3=44.942, total=105.901]
Counter[flat='Квартира №76', number='21968202', date=null, t1=33.249, t2=38.386, t3=38.439, total=110.074]
Counter[flat='Квартира №23', number='21967854', date=null, t1=50.678, t2=16.127, t3=43.598, total=110.403]
Counter[flat='Квартира №16', number='21666895', date=null, t1=35.593, t2=28.434, t3=46.642, total=110.669]
Counter[flat='Квартира №11', number='21949329', date=null, t1=19.744, t2=36.549, t3=57.108, total=113.401]
Counter[flat='Квартира №131', number='21968035', date=null, t1=30.212, t2=36.682, t3=47.595, total=114.489]
Counter[flat='Квартира №103', number='21971417', date=null, t1=41.607, t2=30.715, t3=43.071, total=115.393]
Counter[flat='Квартира №21', number='21968025', date=null, t1=40.380, t2=22.028, t3=55.432, total=117.840]
Counter[flat='Квартира №39', number='21666569', date=null, t1=46.151, t2=32.406, t3=41.153, total=119.710]
Counter[flat='Квартира №142', number='21968032', date=null, t1=40.759, t2=26.550, t3=56.963, total=124.272]
Counter[flat='Квартира №33', number='21948916', date=null, t1=45.844, t2=25.296, t3=55.602, total=126.742]
Counter[flat='Квартира №87', number='21967753', date=null, t1=40.886, t2=19.362, t3=68.967, total=129.215]
Counter[flat='Квартира №34', number='21712954', date=null, t1=52.220, t2=25.970, t3=51.708, total=129.898]
Counter[flat='Квартира №22', number='21968052', date=null, t1=48.497, t2=24.427, t3=57.881, total=130.805]
Counter[flat='Квартира №81', number='21967486', date=null, t1=43.933, t2=27.001, t3=61.917, total=132.851]
Counter[flat='Квартира №136', number='21967551', date=null, t1=33.218, t2=41.385, t3=58.498, total=133.101]
Counter[flat='Квартира №40', number='21666557', date=null, t1=43.372, t2=39.688, t3=51.103, total=134.163]
Counter[flat='Квартира №32', number='21712993', date=null, t1=42.320, t2=29.754, t3=64.466, total=136.540]
Counter[flat='Квартира №57', number='21967809', date=null, t1=37.815, t2=41.686, t3=58.977, total=138.478]
Counter[flat='Квартира №69', number='21967567', date=null, t1=47.429, t2=21.871, t3=71.594, total=140.894]
Counter[flat='Квартира №119', number='21967973', date=null, t1=34.440, t2=47.223, t3=59.256, total=140.919]
Counter[flat='Квартира №44', number='21967861', date=null, t1=33.390, t2=59.974, t3=51.474, total=144.838]
