Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.010, t2=0.000, t3=0.001, total=0.011]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.011, total=0.011]
Counter[flat='30', number='21667094', date=null, t1=0.019, t2=0.018, t3=0.231, total=0.268]
Counter[flat='45', number='21666907', date=null, t1=0.806, t2=0.000, t3=0.429, total=1.235]
Counter[flat='44', number='21967861', date=null, t1=1.655, t2=0.000, t3=0.451, total=2.106]
Counter[flat='111', number='21949373', date=null, t1=2.288, t2=1.968, t3=2.144, total=6.400]
Counter[flat='108', number='21968246', date=null, t1=1.018, t2=0.000, t3=7.506, total=8.524]
Counter[flat='78', number='40628580', date=null, t1=7.339, t2=25.000, t3=0.000, total=32.339]
Counter[flat='5', number='21712960', date=null, t1=10.621, t2=11.444, t3=13.442, total=35.507]
Counter[flat='27', number='21666500', date=null, t1=12.424, t2=14.676, t3=16.418, total=43.518]
Counter[flat='77', number='21968450', date=null, t1=14.903, t2=14.291, t3=20.465, total=49.659]
Counter[flat='107', number='21971375', date=null, t1=15.476, t2=18.035, t3=20.343, total=53.854]
Counter[flat='73', number='21967479', date=null, t1=17.896, t2=17.443, t3=22.025, total=57.364]
Counter[flat='42', number='21666910', date=null, t1=18.218, t2=16.828, t3=23.195, total=58.241]
Counter[flat='101', number='21967802', date=null, t1=21.886, t2=16.797, t3=25.485, total=64.168]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='65', number='21968139', date=null, t1=21.387, t2=19.049, t3=25.590, total=66.026]
Counter[flat='58', number='21967732', date=null, t1=18.160, t2=23.029, t3=25.779, total=66.968]
Counter[flat='75', number='21968458', date=null, t1=25.672, t2=18.906, t3=27.444, total=72.022]
Counter[flat='91', number='21968076', date=null, t1=20.847, t2=20.340, t3=30.980, total=72.167]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='124', number='21949405', date=null, t1=25.284, t2=21.843, t3=29.193, total=76.320]
Counter[flat='102', number='21968242', date=null, t1=23.727, t2=24.908, t3=27.958, total=76.593]
Counter[flat='116', number='21968082', date=null, t1=22.085, t2=22.998, t3=32.619, total=77.702]
Counter[flat='88', number='21967504', date=null, t1=31.424, t2=9.257, t3=38.383, total=79.064]
Counter[flat='68', number='21967522', date=null, t1=20.998, t2=28.415, t3=29.715, total=79.128]
Counter[flat='64', number='21968468', date=null, t1=26.068, t2=26.083, t3=32.294, total=84.445]
Counter[flat='66', number='21968442', date=null, t1=19.776, t2=8.021, t3=60.546, total=88.343]
Counter[flat='3', number='21967585', date=null, t1=32.523, t2=21.132, t3=34.848, total=88.503]
Counter[flat='38', number='21666552', date=null, t1=26.370, t2=25.272, t3=39.659, total=91.301]
Counter[flat='35', number='21948913', date=null, t1=23.236, t2=30.850, t3=38.567, total=92.653]
Counter[flat='90', number='21968383', date=null, t1=35.877, t2=19.782, t3=38.597, total=94.256]
Counter[flat='22', number='21968052', date=null, t1=40.417, t2=21.910, t3=35.707, total=98.034]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='135', number='21967542', date=null, t1=37.564, t2=19.602, t3=43.711, total=100.877]
Counter[flat='24', number='21968031', date=null, t1=31.760, t2=32.968, t3=38.067, total=102.795]
Counter[flat='50', number='21666901', date=null, t1=29.498, t2=30.002, t3=45.066, total=104.566]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='53', number='21666929', date=null, t1=46.039, t2=20.754, t3=38.626, total=105.419]
Counter[flat='122', number='21949370', date=null, t1=29.481, t2=30.311, t3=48.059, total=107.851]
Counter[flat='59', number='21968016', date=null, t1=41.551, t2=19.814, t3=46.602, total=107.967]
Counter[flat='99', number='21968207', date=null, t1=33.632, t2=24.740, t3=50.857, total=109.229]
Counter[flat='84', number='21967477', date=null, t1=31.110, t2=28.842, t3=51.195, total=111.147]
Counter[flat='20', number='21968040', date=null, t1=39.682, t2=27.259, t3=44.212, total=111.153]
Counter[flat='140', number='21967475', date=null, t1=33.250, t2=31.270, t3=48.404, total=112.924]
Counter[flat='41', number='21666577', date=null, t1=33.351, t2=27.433, t3=52.511, total=113.295]
Counter[flat='121', number='21971370', date=null, t1=35.600, t2=29.129, t3=50.593, total=115.322]
Counter[flat='143', number='21967509', date=null, t1=33.429, t2=43.995, t3=38.522, total=115.946]
Counter[flat='70', number='21967516', date=null, t1=28.471, t2=40.386, t3=47.364, total=116.221]
Counter[flat='125', number='21949344', date=null, t1=42.015, t2=29.656, t3=48.277, total=119.948]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='71', number='21967505', date=null, t1=35.114, t2=21.951, t3=63.672, total=120.737]
Counter[flat='15', number='21666510', date=null, t1=40.666, t2=33.380, t3=50.643, total=124.689]
Counter[flat='83', number='21968203', date=null, t1=44.750, t2=20.595, t3=60.063, total=125.408]
Counter[flat='103', number='21971417', date=null, t1=39.221, t2=30.704, t3=56.009, total=125.934]
Counter[flat='137', number='21967213', date=null, t1=30.958, t2=36.287, t3=58.945, total=126.190]
Counter[flat='56', number='21968075', date=null, t1=35.316, t2=37.620, t3=53.702, total=126.638]
Counter[flat='43', number='21712964', date=null, t1=33.523, t2=41.142, t3=53.075, total=127.740]
Counter[flat='69', number='21967567', date=null, t1=41.422, t2=17.851, t3=68.755, total=128.028]
Counter[flat='60', number='21967979', date=null, t1=38.043, t2=35.969, t3=57.083, total=131.095]
Counter[flat='110', number='21949389', date=null, t1=39.241, t2=28.461, t3=64.575, total=132.277]
Counter[flat='26', number='21666497', date=null, t1=55.751, t2=23.492, t3=53.235, total=132.478]
Counter[flat='80', number='21967506', date=null, t1=50.000, t2=38.000, t3=45.000, total=133.000]
Counter[flat='119', number='21967973', date=null, t1=45.245, t2=34.183, t3=53.720, total=133.148]
Counter[flat='113', number='21949380', date=null, t1=40.895, t2=36.014, t3=61.992, total=138.901]
Counter[flat='57', number='21967809', date=null, t1=40.023, t2=40.696, t3=59.024, total=139.743]
Counter[flat='139', number='21967531', date=null, t1=47.548, t2=41.343, t3=51.467, total=140.358]
Counter[flat='2', number='21949330', date=null, t1=43.628, t2=43.711, t3=53.908, total=141.247]
Counter[flat='131', number='21968035', date=null, t1=48.626, t2=44.162, t3=49.279, total=142.067]
Counter[flat='11', number='21949329', date=null, t1=32.394, t2=46.291, t3=65.997, total=144.682]
Counter[flat='48', number='21968079', date=null, t1=46.153, t2=26.892, t3=74.575, total=147.620]
Counter[flat='141', number='21967535', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='130', number='21967952', date=null, t1=52.474, t2=25.144, t3=73.947, total=151.565]
Counter[flat='62', number='21971329', date=null, t1=66.708, t2=32.192, t3=53.997, total=152.897]
Counter[flat='94', number='21967987', date=null, t1=42.984, t2=26.025, t3=83.893, total=152.902]
Counter[flat='123', number='21949395', date=null, t1=51.706, t2=41.418, t3=62.765, total=155.889]
Counter[flat='21', number='21968025', date=null, t1=50.343, t2=31.498, t3=74.484, total=156.325]
Counter[flat='32', number='21712993', date=null, t1=61.935, t2=26.512, t3=68.467, total=156.914]
Counter[flat='98', number='21967964', date=null, t1=51.418, t2=34.732, t3=71.408, total=157.558]
Counter[flat='117', number='21967206', date=null, t1=50.048, t2=34.020, t3=77.470, total=161.538]
Counter[flat='51', number='21666920', date=null, t1=68.773, t2=27.880, t3=67.073, total=163.726]
Counter[flat='47', number='21967923', date=null, t1=63.756, t2=25.145, t3=76.355, total=165.256]
Counter[flat='109', number='21949350', date=null, t1=42.324, t2=65.483, t3=60.698, total=168.505]
Counter[flat='28', number='21666499', date=null, t1=60.920, t2=38.635, t3=71.634, total=171.189]
Counter[flat='129', number='21967906', date=null, t1=64.278, t2=36.491, t3=71.367, total=172.136]
Counter[flat='23', number='21967854', date=null, t1=74.572, t2=19.276, t3=78.870, total=172.718]
Counter[flat='118', number='21971416', date=null, t1=53.972, t2=56.345, t3=73.424, total=183.741]
Counter[flat='63', number='21968441', date=null, t1=58.517, t2=45.825, t3=79.744, total=184.086]
Counter[flat='92', number='21967967', date=null, t1=57.865, t2=51.998, t3=75.065, total=184.928]
Counter[flat='115', number='21967511', date=null, t1=54.858, t2=48.472, t3=81.999, total=185.329]
Counter[flat='132', number='21967848', date=null, t1=55.083, t2=55.436, t3=76.544, total=187.063]
Counter[flat='10', number='21967590', date=null, t1=50.000, t2=50.000, t3=100.000, total=200.000]
Counter[flat='17', number='21968056', date=null, t1=95.000, t2=20.476, t3=85.000, total=200.476]
Counter[flat='142', number='21968032', date=null, t1=78.333, t2=51.398, t3=72.775, total=202.506]
Counter[flat='40', number='21666557', date=null, t1=135.000, t2=70.000, t3=0.000, total=205.000]
Counter[flat='33', number='21948916', date=null, t1=100.000, t2=30.000, t3=75.000, total=205.000]
Counter[flat='81', number='21967486', date=null, t1=46.189, t2=93.924, t3=65.294, total=205.407]
Counter[flat='54', number='21666917', date=null, t1=74.237, t2=38.787, t3=94.395, total=207.419]
Counter[flat='114', number='21949338', date=null, t1=69.792, t2=48.418, t3=92.127, total=210.337]
Counter[flat='36', number='21712963', date=null, t1=68.386, t2=51.434, t3=92.972, total=212.792]
Counter[flat='76', number='21968202', date=null, t1=54.043, t2=41.688, t3=119.353, total=215.084]
Counter[flat='8', number='21967610', date=null, t1=69.874, t2=45.582, t3=102.162, total=217.618]
Counter[flat='82', number='21967513', date=null, t1=70.000, t2=30.000, t3=120.000, total=220.000]
Counter[flat='34', number='21712954', date=null, t1=72.776, t2=42.421, t3=106.455, total=221.652]
Counter[flat='104', number='21971388', date=null, t1=82.856, t2=48.994, t3=101.455, total=233.305]
Counter[flat='96', number='21968073', date=null, t1=64.548, t2=44.910, t3=128.616, total=238.074]
Counter[flat='97', number='21967959', date=null, t1=65.736, t2=79.055, t3=95.286, total=240.077]
Counter[flat='16', number='21666895', date=null, t1=80.129, t2=50.502, t3=110.977, total=241.608]
Counter[flat='120', number='21967526', date=null, t1=73.692, t2=54.579, t3=116.866, total=245.137]
Counter[flat='95', number='21967997', date=null, t1=94.409, t2=46.524, t3=115.510, total=256.443]
Counter[flat='46', number='21967731', date=null, t1=85.000, t2=75.000, t3=100.000, total=260.000]
Counter[flat='18', number='21967958', date=null, t1=100.000, t2=50.000, t3=110.000, total=260.000]
Counter[flat='144', number='21968041', date=null, t1=74.878, t2=78.476, t3=115.582, total=268.936]
Counter[flat='52', number='21666543', date=null, t1=66.509, t2=67.104, t3=138.325, total=271.938]
Counter[flat='126', number='21949403', date=null, t1=89.482, t2=82.845, t3=119.552, total=291.879]
Counter[flat='112', number='21971429', date=null, t1=104.142, t2=48.294, t3=139.465, total=291.901]
Counter[flat='79', number='21967555', date=null, t1=104.896, t2=72.782, t3=120.758, total=298.436]
Counter[flat='67', number='21967528', date=null, t1=117.453, t2=49.189, t3=137.176, total=303.818]
Counter[flat='37', number='21666539', date=null, t1=93.411, t2=95.909, t3=126.445, total=315.765]
Counter[flat='9', number='21948896', date=null, t1=94.032, t2=81.277, t3=144.351, total=319.660]
Counter[flat='93', number='21967981', date=null, t1=114.486, t2=47.701, t3=165.071, total=327.258]
Counter[flat='29', number='21667085', date=null, t1=112.888, t2=83.045, t3=136.610, total=332.543]
Counter[flat='128', number='21968471', date=null, t1=105.754, t2=84.825, t3=145.208, total=335.787]
Counter[flat='61', number='21968453', date=null, t1=106.298, t2=51.016, t3=189.039, total=346.353]
Counter[flat='74', number='21968454', date=null, t1=105.033, t2=94.243, t3=152.184, total=351.460]
Counter[flat='55', number='21967879', date=null, t1=106.724, t2=74.957, t3=171.147, total=352.828]
Counter[flat='4', number='21967572', date=null, t1=95.457, t2=123.553, t3=135.852, total=354.862]
Counter[flat='72', number='21967501', date=null, t1=140.122, t2=81.342, t3=193.787, total=415.251]
Counter[flat='25', number='21667083', date=null, t1=148.338, t2=115.281, t3=180.734, total=444.353]
Counter[flat='133', number='21967899', date=null, t1=146.511, t2=135.489, t3=203.672, total=485.672]
Counter[flat='7', number='21712970', date=null, t1=178.520, t2=134.339, t3=208.827, total=521.686]
Counter[flat='49', number='21666570', date=null, t1=188.535, t2=128.441, t3=212.915, total=529.891]
Counter[flat='127', number='21967896', date=null, t1=153.408, t2=136.617, t3=246.560, total=536.585]
Counter[flat='13', number='21967904', date=null, t1=172.286, t2=170.212, t3=214.574, total=557.072]
Counter[flat='85', number='21967450', date=null, t1=177.584, t2=145.664, t3=266.280, total=589.528]
Counter[flat='39', number='21666569', date=null, t1=200.000, t2=30.000, t3=507.654, total=737.654]
Counter[flat='31', number='21712977', date=null, t1=256.673, t2=265.399, t3=358.666, total=880.738]
Counter[flat='1', number='21666896', date=null, t1=281.877, t2=217.034, t3=386.394, total=885.305]
